Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-03,17.049999237060547,18.453399925231935,3,71.42785087409946,-349.5923555773169,49650.40764442268,40.09032539330465,LOSS,49650.40764442268,0.0
2019-01-04,19.0,16.708999252319337,3,64.67577311963038,64.67577311963038,49715.083417542315,40.09032539330465,WIN,49715.083417542315,0.0
2019-01-07,20.56999969482422,18.62,3,72.07271227331924,72.07271227331924,49787.15612981564,40.09032539330465,WIN,49787.15612981564,0.0
2019-01-08,20.75,20.158599700927734,3,78.02819312985949,78.02819312985949,49865.1843229455,40.09032539330465,WIN,49865.1843229455,0.0
2019-01-09,20.190000534057617,20.335,3,78.71098840375653,35.21114862104143,49900.39547156654,40.09032539330465,LOSS,49900.39547156654,0.0
2019-01-10,19.739999771118164,19.786200523376465,3,76.5867420678577,62.726516390367465,49963.1219879569,40.09032539330465,LOSS,49963.1219879569,0.0
2019-01-11,20.270000457763672,19.3451997756958,3,74.8797538831151,74.8797538831151,50038.00174184002,40.09032539330465,WIN,50038.00174184002,0.0
2019-01-14,20.229999542236328,19.8646004486084,3,76.89020583012896,76.89020583012896,50114.89194767015,40.09032539330465,WIN,50114.89194767015,0.0
2019-01-15,20.3799991607666,19.8253995513916,3,76.73847033141993,76.73847033141993,50191.630418001565,40.09032539330465,WIN,50191.630418001565,0.0
2019-01-16,19.729999542236328,19.97239917755127,3,77.30746398128521,4.587573386802404,50196.21799138837,40.09032539330465,LOSS,50196.21799138837,0.0
2019-01-17,20.25,19.3353995513916,3,74.84182000843785,74.84182000843785,50271.0598113968,40.09032539330465,WIN,50271.0598113968,0.0
2019-01-18,20.770000457763672,19.845,3,76.81433808077445,76.81433808077445,50347.874149477575,40.09032539330465,WIN,50347.874149477575,0.0
2019-01-22,19.760000228881836,20.354600448608398,3,78.78685615311105,-99.59320976485759,50248.28093971272,40.09032539330465,LOSS,50347.874149477575,-0.19781015871528732
2019-01-23,19.799999237060547,19.364800224304197,3,74.95562163246963,74.95562163246963,50323.23656134519,40.09032539330465,WIN,50347.874149477575,-0.04893471382572659
2019-01-24,20.850000381469727,19.403999252319334,3,75.10734989603185,75.10734989603185,50398.34391124122,40.09032539330465,WIN,50398.34391124122,0.0
2019-01-25,21.93000030517578,20.433000373840333,3,79.09031991538231,79.09031991538231,50477.43423115661,40.09032539330465,WIN,50477.43423115661,0.0
2019-01-28,20.18000030517578,21.491400299072264,3,83.18708432361775,-310.23291384532723,50167.20131731128,40.09032539330465,LOSS,50477.43423115661,-0.6145972325468163
2019-01-29,19.25,19.776400299072264,3,76.54880819318045,-81.3712815284989,50085.83003578278,40.09032539330465,LOSS,50477.43423115661,-0.7758005162871588
2019-01-30,23.09000015258789,18.865,3,73.02103743481028,73.02103743481028,50158.85107321759,40.09032539330465,WIN,50477.43423115661,-0.6311397613438372
2019-01-31,24.40999984741211,22.62820014953613,3,87.58731249412443,87.58731249412443,50246.43838571171,40.09032539330465,WIN,50477.43423115661,-0.4576220027093094
2019-02-01,24.510000228881836,23.921799850463866,3,199.47552607125414,199.47552607125414,50445.91391178297,69.051888357987,WIN,50477.43423115661,-0.06244437708401263
2019-02-04,24.1299991607666,24.0198002243042,3,185.66802887978406,185.66802887978406,50631.581940662756,65.10520463527115,WIN,50631.581940662756,0.0
2019-02-05,23.309999465942383,23.647399177551268,3,172.27170802983719,71.05179454717164,50702.63373520993,62.22214185986712,LOSS,50702.63373520993,0.0
2019-02-06,23.260000228881836,22.843799476623534,3,162.43554602134094,162.43554602134094,50865.06928123127,61.09224245986922,WIN,50865.06928123127,0.0
2019-02-07,22.670000076293945,22.7948002243042,3,162.20285160288807,124.76280719981152,50989.83208843108,61.12515080222191,LOSS,50989.83208843108,0.0
2019-02-08,23.049999237060547,22.216600074768067,3,157.95473981324056,157.95473981324056,51147.78682824432,61.0861224683845,WIN,51147.78682824432,0.0
2019-02-11,22.959999084472656,22.588999252319336,3,159.5167517844245,159.5167517844245,51307.30358002875,60.77458450539052,WIN,51307.30358002875,0.0
2019-02-12,22.81999969482422,22.5007991027832,3,158.66353414988882,158.66353414988882,51465.96711417864,60.70821757775032,WIN,51465.96711417864,0.0
2019-02-13,22.850000381469727,22.363599700927733,3,157.81637048982947,157.81637048982947,51623.78348466847,60.743084434136065,WIN,51623.78348466847,0.0
2019-02-14,23.1299991607666,22.39300037384033,3,158.06971203030653,158.06971203030653,51781.85319669878,60.75636114463009,WIN,51781.85319669878,0.0
2019-02-15,23.68000030517578,22.667399177551268,3,157.96433638361455,157.96433638361455,51939.817533082394,60.17232655128039,WIN,51939.817533082394,0.0
2019-02-19,23.950000762939453,23.206400299072264,3,161.61409817605616,161.61409817605616,52101.43163125845,60.14259993932123,WIN,52101.43163125845,0.0
2019-02-20,23.950000762939453,23.471000747680662,3,163.09175780496003,163.09175780496003,52264.52338906341,60.04177643952424,WIN,52264.52338906341,0.0
2019-02-21,23.920000076293945,23.471000747680662,3,158.60886345093715,158.60886345093715,52423.13225251435,58.803715558867275,WIN,52423.13225251435,0.0
2019-02-22,24.360000610351562,23.441600074768065,3,158.5047349964111,158.5047349964111,52581.636987510756,58.82986089978249,WIN,52581.636987510756,0.0
2019-02-25,24.709999084472656,23.87280059814453,3,158.91793239082338,158.91793239082338,52740.55491990158,58.15038151066644,WIN,52740.55491990158,0.0
2019-02-26,24.209999084472656,24.2157991027832,3,158.50272989814243,156.76272440497897,52897.31764430656,57.428047447687376,LOSS,52897.31764430656,0.0
2019-02-27,23.479999542236328,23.725799102783203,3,144.94012371579709,71.20025555173471,52968.51789985829,54.598878237141314,LOSS,52968.51789985829,0.0
2019-02-28,23.530000686645508,23.0103995513916,3,138.2422780592258,138.2422780592258,53106.76017791752,53.94321715826963,WIN,53106.76017791752,0.0
2019-03-01,23.68000030517578,23.0594006729126,3,59.19943812647729,59.19943812647729,53165.95961604399,31.641201282062465,WIN,53165.95961604399,0.0
2019-03-04,23.3700008392334,23.206400299072264,3,46.61173242673424,46.61173242673424,53212.57134847072,28.019747739621973,WIN,53212.57134847072,0.0
2019-03-05,23.5,22.90260082244873,3,46.41406399975537,46.41406399975537,53258.98541247048,28.136506875197952,WIN,53258.98541247048,0.0
2019-03-06,22.40999984741211,23.03,3,46.05422389691378,-139.94582187945375,53119.039590591026,27.962555665459767,LOSS,53258.98541247048,-0.2627647162176045
2019-03-07,22.079999923706055,21.961799850463866,3,47.8948041914756,47.8948041914756,53166.934394782504,29.136294271038523,WIN,53258.98541247048,-0.1728365964448556
2019-03-08,22.010000228881836,21.638399925231933,3,47.8067131308631,47.8067131308631,53214.74110791337,29.321181428976175,WIN,53258.98541247048,-0.08307387798407612
2019-03-11,22.959999084472656,21.5698002243042,3,45.48903849442265,45.48903849442265,53260.23014640779,28.6702273948364,WIN,53260.23014640779,0.0
