Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2021-04-15,322.75,331.5627987670899,2,2707.08743743656,944.5276840185852,50944.52768401858,56.31523152952117,LOSS,50944.52768401858,0.0
2021-04-16,342.0,325.9775,2,2661.4855418591837,2661.4855418591837,53606.01322587777,56.31523152952117,WIN,53606.01322587777,0.0
2021-04-19,333.0,345.42,2,2820.2263526439674,336.2263526439642,53942.23957852173,56.31523152952117,LOSS,53942.23957852173,0.0
2021-04-20,320.82000732421875,336.33,2,2746.0098696796463,-355.98866547660054,53586.25091304513,56.31523152952117,LOSS,53942.23957852173,-0.6599441703906304
2021-04-21,311.9200134277344,324.02820739746096,2,2645.57028979881,223.93149585349283,53810.182408898625,56.31523152952117,LOSS,53942.23957852173,-0.24481217438307262
2021-04-22,293.45001220703125,315.0392135620117,2,2572.1784847542517,-1745.6617862418375,52064.52062265679,56.31523152952117,LOSS,53942.23957852173,-3.4809807129561507
2021-04-23,291.6000061035156,296.38451232910154,2,2419.869759093453,1462.96851397627,53527.48913663306,56.31523152952117,LOSS,53942.23957852173,-0.7688787954102841
2021-04-26,304.5400085449219,294.5160061645508,2,2404.614098375076,2404.614098375076,55932.10323500814,56.31523152952117,WIN,55932.10323500814,0.0
2021-04-27,302.0,307.5854086303711,2,2511.3209284584987,1394.2392023842804,57326.34243739242,56.31523152952117,LOSS,57326.34243739242,0.0
2021-04-28,298.04998779296875,305.02,2,2490.3753172470056,1096.3728758407592,58422.71531323318,56.31523152952117,LOSS,58422.71531323318,0.0
2021-04-29,294.7699890136719,301.0304876708984,2,2457.80242683901,1205.7026953937002,59628.41800862688,56.31523152952117,LOSS,59628.41800862688,0.0
2021-04-30,297.6400146484375,297.7176889038086,2,2430.75465200272,2415.2198009284984,62043.63780955538,56.31523152952117,LOSS,62043.63780955538,0.0
2021-05-03,294.2099914550781,300.61641479492187,2,2454.421675183796,1173.137007215048,63216.77481677043,56.31523152952117,LOSS,63216.77481677043,0.0
2021-05-04,280.6600036621094,297.1520913696289,2,2426.136757639672,-872.280783864237,62344.49403290619,56.31523152952117,LOSS,63216.77481677043,-1.3798248746357078
2021-05-05,273.0,283.46660369873047,2,2314.399820061498,221.07908031540455,62565.57311322159,56.31523152952117,LOSS,63216.77481677043,-1.030109026340403
2021-05-06,256.760009765625,275.73,2,2251.2333165842206,-1542.764730290783,61022.8083829308,56.31523152952117,LOSS,63216.77481677043,-3.4705447093729305
2021-05-07,263.70001220703125,259.3276098632812,2,2117.3138767430864,2117.3138767430864,63140.12225967389,56.31523152952117,WIN,63216.77481677043,-0.12125350797903078
2021-05-10,293.45001220703125,266.3370123291016,2,2174.5430515169764,2174.5430515169764,65314.66531119087,56.31523152952117,WIN,65314.66531119087,0.0
2021-05-11,303.0,296.38451232910154,2,2419.869759093453,2419.869759093453,67734.53507028431,56.31523152952117,WIN,67734.53507028431,0.0
2021-05-12,283.6099853515625,306.03000000000003,2,2498.6215931319393,-1985.3813365555661,65749.15373372874,56.31523152952117,LOSS,67734.53507028431,-2.931121228625029
2021-05-13,265.1000061035156,286.44608520507813,2,2068.0273923283166,-2201.188427984185,63547.96530574456,50.0019693285672,LOSS,67734.53507028431,-6.180849636297916
2021-05-14,258.3699951171875,267.7510061645508,2,1993.2832030867316,117.0809936140713,63665.04629935863,51.504660329534275,LOSS,67734.53507028431,-6.0079969054235045
2021-05-17,248.24000549316406,260.95369506835937,2,1855.361622086437,-687.3762929526238,62977.67000640601,49.269265050355855,LOSS,67734.53507028431,-7.022806104658974
2021-05-18,239.0,250.7224055480957,2,1791.6609978204697,-552.8201117986719,62424.84989460734,49.510219124176594,LOSS,67734.53507028431,-7.83896304915567
2021-05-19,224.8000030517578,241.39000000000001,2,1725.491147099692,-1592.5082425487483,60832.34165205859,49.5245955855698,LOSS,67734.53507028431,-10.190065394357113
2021-05-20,233.39999389648438,227.0480030822754,2,1652.6358296649626,1652.6358296649626,62484.97748172355,50.39739284069909,WIN,67734.53507028431,-7.750193580148725
2021-05-21,224.35000610351562,235.7339938354492,2,1723.5642001773183,-553.2333462093991,61931.74413551416,50.61574174772331,LOSS,67734.53507028431,-8.566960603994591
2021-05-24,225.3000030517578,226.59350616455077,2,1668.2515626007742,1409.5509400421818,63341.295075556336,50.95531564055685,LOSS,67734.53507028431,-6.485967594181254
2021-05-25,242.41000366210938,227.55300308227538,2,1627.2476987804675,1627.2476987804675,64968.542774336805,49.544131528995194,WIN,67734.53507028431,-4.083577591663387
2021-05-26,241.52000427246094,244.83410369873047,2,1879.9359904954827,1217.1161052415755,66185.65887957838,53.067013384351995,LOSS,67734.53507028431,-2.2866860887119937
2021-05-27,247.08999633789062,243.93520431518556,2,1873.4068596039797,1873.4068596039797,68059.06573918235,53.07722811751464,WIN,68059.06573918235,0.0
2021-05-28,236.5399932861328,249.56089630126954,2,1932.661226629628,-671.5193763977168,67387.54636278463,53.50685648024733,LOSS,68059.06573918235,-0.9866714582464712
2021-06-01,238.92999267578125,238.90539321899413,2,1862.1766469552472,1862.1766469552472,69249.72300973989,53.84337125559541,WIN,69249.72300973989,0.0
2021-06-02,240.47999572753906,241.31929260253906,2,1887.0177202587697,1719.1583452587693,70968.88135499865,54.01018121327577,LOSS,70968.88135499865,0.0
2021-06-03,233.66000366210938,242.88479568481446,2,1879.8466632034617,34.88825866244406,71003.76961366109,53.476238268924156,LOSS,71003.76961366109,0.0
2021-06-04,228.7899932861328,235.99660369873047,2,1827.2229905914446,385.9009080719136,71389.670521733,53.49573145285543,LOSS,71389.670521733,0.0
2021-06-07,231.4499969482422,231.07789321899415,2,1748.8292873889386,1748.8292873889386,73138.49980912195,52.330353498834725,WIN,73138.49980912195,0.0
2021-06-08,220.66000366210938,233.7644969177246,2,1757.4133335988397,-863.4853175242081,72275.01449159774,51.99460370347303,LOSS,73138.49980912195,-1.1806166653373265
2021-06-09,224.32000732421875,222.86660369873047,2,1452.3558342584502,1452.3558342584502,73727.37032585619,45.306232668478856,WIN,73727.37032585619,0.0
2021-06-10,221.85000610351562,226.56320739746093,2,1453.437367275857,510.79710848679633,74238.16743434298,44.62780655166743,LOSS,74238.16743434298,0.0
2021-06-11,223.9199981689453,224.0685061645508,2,1387.3062652502008,1357.6046661291039,75595.77210047208,43.13328163661183,LOSS,75595.77210047208,0.0
