Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2021-04-15,322.75,328.2799987792969,3,3075.7911598169403,1416.7915260278778,51416.791526027875,56.31523152952117,LOSS,51416.791526027875,0.0
2021-04-16,342.0,322.75,3,3023.9783127887695,3023.9783127887695,54440.76983881665,56.31523152952117,WIN,54440.76983881665,0.0
2021-04-19,333.0,342.0,3,3204.3395289659466,504.33952896594656,54945.10936778259,56.31523152952117,LOSS,54945.10936778259,0.0
2021-04-20,320.82000732421875,333.0,3,3120.014804519474,-533.9829982149008,54411.12636956769,56.31523152952117,LOSS,54945.10936778259,-0.9718480941417627
2021-04-21,311.9200134277344,320.82000732421875,3,3005.895412725552,335.8972437802395,54747.02361334793,56.31523152952117,LOSS,54945.10936778259,-0.36051571598256615
2021-04-22,293.45001220703125,311.9200134277344,3,2922.507686848181,-2618.4926793627565,52128.53093398517,56.31523152952117,LOSS,54945.10936778259,-5.126167672074821
2021-04-23,291.6000061035156,293.45001220703125,3,2749.454602019093,2194.4527709644053,54322.98370494957,56.31523152952117,LOSS,54945.10936778259,-1.1322675848522565
2021-04-26,304.5400085449219,291.6000061035156,3,2732.121129252065,2732.121129252065,57055.10483420164,56.31523152952117,WIN,57055.10483420164,0.0
2021-04-27,302.0,304.5400085449219,3,2853.361367052983,2091.3588035764205,59146.463637778055,56.31523152952117,LOSS,59146.463637778055,0.0
2021-04-28,298.04998779296875,302.0,3,2829.562975870514,1644.559313761139,60791.02295153919,56.31523152952117,LOSS,60791.02295153919,0.0
2021-04-29,294.7699890136719,298.04998779296875,4,3723.4049025061504,2411.4053907874004,63202.42834232659,56.31523152952117,LOSS,63202.42834232659,0.0
2021-04-30,297.6400146484375,294.7699890136719,4,3682.429347950747,3682.429347950747,66884.85769027733,56.31523152952117,WIN,66884.85769027733,0.0
2021-05-03,294.2099914550781,297.6400146484375,4,3718.283291773846,2346.274014430096,69231.13170470743,56.31523152952117,LOSS,69231.13170470743,0.0
2021-05-04,280.6600036621094,294.2099914550781,4,3675.433549459026,-1744.561567728474,67486.57013697895,56.31523152952117,LOSS,69231.13170470743,-2.5199090709214245
2021-05-05,273.0,280.6600036621094,4,3506.1596254745587,442.15816063080865,67928.72829760975,56.31523152952117,LOSS,69231.13170470743,-1.881239516136813
2021-05-06,256.760009765625,273.0,4,3410.4666331684343,-3085.5294605815657,64843.19883702818,56.31523152952117,LOSS,69231.13170470743,-6.338092068746122
2021-05-07,263.70001220703125,256.760009765625,5,4009.484643029604,4009.484643029604,68852.68348005779,56.31523152952117,WIN,69231.13170470743,-0.5466445735190845
2021-05-10,293.45001220703125,263.70001220703125,5,4117.857567757274,4117.857567757274,72970.54104781507,56.31523152952117,WIN,72970.54104781507,0.0
2021-05-11,303.0,293.45001220703125,4,3665.93946935879,3665.93946935879,76636.48051717387,56.31523152952117,WIN,76636.48051717387,0.0
2021-05-12,283.6099853515625,303.0,5,4731.553982829833,-4963.453341388917,71673.02717578496,56.31523152952117,LOSS,76636.48051717387,-6.476619630616555
2021-05-13,265.1000061035156,283.6099853515625,5,3752.018554062974,-5502.971069960464,66170.0561058245,50.0019693285672,LOSS,76636.48051717387,-13.657235223639871
2021-05-14,258.3699951171875,265.1000061035156,4,2926.166381759392,234.16198722814215,66404.21809305264,51.504660329534275,LOSS,76636.48051717387,-13.351686240116717
2021-05-17,248.24000549316406,258.3699951171875,5,3346.5540796301593,-1718.4407323815594,64685.777360671076,49.269265050355855,LOSS,76636.48051717387,-15.59401355053707
2021-05-18,239.0,248.24000549316406,5,3237.952467085351,-1382.05027949668,63303.727081174395,49.510219124176594,LOSS,76636.48051717387,-17.397397878953573
2021-05-19,224.8000030517578,239.0,5,3118.7278677492222,-3981.2706063718715,59322.45647480252,49.5245955855698,LOSS,76636.48051717387,-22.592404981973772
2021-05-20,233.39999389648438,224.8000030517578,5,3007.58955890362,3007.58955890362,62330.046033706145,50.39739284069909,WIN,76636.48051717387,-18.667916880997325
2021-05-21,224.35000610351562,233.39999389648438,5,3141.910530960877,-1383.0833655234978,60946.96266818265,50.61574174772331,LOSS,76636.48051717387,-20.472649243691816
2021-05-24,225.3000030517578,224.35000610351562,5,3048.878875984361,3048.878875984361,63995.84154416701,50.95531564055685,WIN,76636.48051717387,-16.494284298682214
2021-05-25,242.41000366210938,225.3000030517578,5,2941.6192316923843,2941.6192316923843,66937.46077585939,49.544131528995194,WIN,76636.48051717387,-12.655878343918694
2021-05-26,241.52000427246094,242.41000366210938,5,3487.789957928157,3042.7902631039383,69980.25103896332,53.067013384351995,LOSS,76636.48051717387,-8.68545819600747
2021-05-27,247.08999633789062,241.52000427246094,5,3475.917127647639,3475.917127647639,73456.16816661097,53.07722811751464,WIN,76636.48051717387,-4.149867437936703
2021-05-28,236.5399932861328,247.08999633789062,5,3596.2030848846143,-1678.798440994292,71777.36972561668,53.50685648024733,LOSS,76636.48051717387,-6.34046704489292
2021-06-01,238.92999267578125,236.5399932861328,6,4167.289981148948,4167.289981148948,75944.65970676563,53.84337125559541,WIN,76636.48051717387,-0.9027304042925227
2021-06-02,240.47999572753906,238.92999267578125,6,4227.473204721621,4227.473204721621,80172.13291148725,54.01018121327577,WIN,80172.13291148725,0.0
2021-06-03,233.66000366210938,240.47999572753906,6,4196.660015245146,104.66477598733309,80276.79768747458,53.476238268924156,LOSS,80276.79768747458,0.0
2021-06-04,228.7899932861328,233.66000366210938,6,4079.7089498016785,1157.702724215741,81434.50041169031,53.49573145285543,LOSS,81434.50041169031,0.0
2021-06-07,231.4499969482422,228.7899932861328,7,4519.37255285835,4519.37255285835,85953.87296454866,52.330353498834725,WIN,85953.87296454866,0.0
2021-06-08,220.66000366210938,231.4499969482422,7,4530.79668895824,-3022.1986113347284,82931.67435321394,51.99460370347303,LOSS,85953.87296454866,-3.516070314343156
2021-06-09,224.32000732421875,220.66000366210938,7,3538.625394269807,3538.625394269807,86470.29974748375,45.306232668478856,WIN,86470.29974748375,0.0
2021-06-10,221.85000610351562,224.32000732421875,7,3516.790734195975,1787.7898797037874,88258.08962718754,44.62780655166743,LOSS,88258.08962718754,0.0
2021-06-11,223.9199981689453,221.85000610351562,7,3302.6218856510827,3302.6218856510827,91560.71151283862,43.13328163661183,WIN,91560.71151283862,0.0
2021-06-14,239.10000610351562,223.9199981689453,8,3586.1213739479226,3586.1213739479226,95146.83288678655,41.4826316439613,WIN,95146.83288678655,0.0
2021-06-15,232.2100067138672,239.10000610351562,7,3724.57765031152,-1098.4219224423864,94048.41096434416,44.438686592347196,LOSS,95146.83288678655,-1.1544492749951842
2021-06-16,228.0500030517578,232.2100067138672,8,4082.6454721266473,754.6425424391473,94803.05350678331,44.07299507499523,LOSS,95146.83288678655,-0.3613145803941729
2021-06-17,230.66000366210938,228.0500030517578,8,3931.7660195133876,3931.7660195133876,98734.8195262967,43.5093043239453,WIN,98734.8195262967,0.0
2021-06-18,229.2899932861328,230.66000366210938,8,3690.3035940120253,2594.2952932307753,101329.11481952749,41.45567452383911,LOSS,101329.11481952749,0.0
2021-06-21,222.60000610351562,229.2899932861328,8,3547.692085590049,-1804.297660503701,99524.81715902379,40.5852611909182,LOSS,101329.11481952749,-1.7806310296080707
2021-06-22,222.47000122070312,222.60000610351562,8,3387.0902057804406,3283.0862995304406,102807.90345855422,40.16115820676999,LOSS,102807.90345855422,0.0
2021-06-23,226.00999450683594,222.47000122070312,9,3806.455798197773,3806.455798197773,106614.359256752,40.14929694223811,WIN,106614.359256752,0.0
2021-06-24,229.92999267578125,226.00999450683594,9,3236.427692441353,3236.427692441353,109850.78694919335,36.048191128614164,WIN,109850.78694919335,0.0
2021-06-25,224.5399932861328,229.92999267578125,9,3341.273106337267,-1509.7263443463266,108341.06060484702,36.35958766028504,LOSS,109850.78694919335,-1.374342766469746
2021-06-28,246.69000244140625,224.5399932861328,9,3228.7317856115314,3228.7317856115314,111569.79239045855,36.135609617392205,WIN,111569.79239045855,0.0
2021-06-29,254.89999389648438,246.69000244140625,9,4495.306690877078,4495.306690877078,116065.09908133562,41.784546176532686,WIN,116065.09908133562,0.0
2021-06-30,253.3000030517578,254.89999389648438,9,4735.991580175308,3295.9998199214015,119361.09890125702,42.30974288931057,LOSS,119361.09890125702,0.0
2021-07-01,241.44000244140625,253.3000030517578,9,4715.236969949479,-5958.763579366927,113402.33532189009,42.36181130175274,LOSS,119361.09890125702,-4.99221575054063
2021-07-02,240.72000122070312,241.44000244140625,9,4640.122222723935,3992.1211240911225,117394.45644598121,43.248585639249,LOSS,119361.09890125702,-1.6476410433375288
2021-07-06,235.41000366210938,240.72000122070312,9,4575.93740309718,-203.06039963719468,117191.39604634402,42.941158751060975,LOSS,119361.09890125702,-1.8177638065379396
2021-07-07,251.97000122070312,235.41000366210938,9,4522.71524022141,4522.71524022141,121714.11128656543,43.23909960928968,WIN,121714.11128656543,0.0
2021-07-08,244.2899932861328,251.97000122070312,9,5014.42996113361,-1897.5771799796712,119816.53410658575,44.251574437074375,LOSS,121714.11128656543,-1.5590445182744634
2021-07-09,253.8800048828125,244.2899932861328,9,4975.9852984378285,4975.9852984378285,124792.51940502357,44.93987107536622,WIN,124792.51940502357,0.0
2021-07-12,247.6699981689453,253.8800048828125,9,5247.085686085465,-341.9203563950041,124450.59904862857,45.3784893261699,LOSS,124792.51940502357,-0.27399106775404636
2021-07-13,243.30999755859375,247.6699981689453,10,5784.4611127984645,1424.460502446902,125875.05955107548,45.89644625133211,LOSS,125875.05955107548,0.0
2021-07-14,229.94000244140625,243.30999755859375,10,5308.308924653549,-8061.686192533951,117813.37335854153,43.86125814364824,LOSS,125875.05955107548,-6.404514302742245
2021-07-15,224.6300048828125,229.94000244140625,10,5234.786812057839,-75.21074653591131,117738.16261200562,45.11643020808206,LOSS,125875.05955107548,-6.4642646192895805
2021-07-16,225.00999450683594,224.6300048828125,10,5133.756598751307,5133.756598751307,122871.91921075693,45.23336810885685,WIN,125875.05955107548,-2.38581046239743
2021-07-19,220.61000061035156,225.00999450683594,10,5129.882486453317,729.8885899689421,123601.80780072587,45.1595343439929,LOSS,125875.05955107548,-1.8059588281086003
2021-07-20,224.9600067138672,220.61000061035156,10,5059.031519942868,5059.031519942868,128660.83932066875,45.33620243772819,WIN,128660.83932066875,0.0
2021-07-21,230.8699951171875,224.9600067138672,10,5115.8802085278,5115.8802085278,133776.71952919656,45.08389572591407,WIN,133776.71952919656,0.0
2021-07-22,226.0800018310547,230.8699951171875,10,5306.686808980023,516.6935228472103,134293.41305204376,45.40709897174252,LOSS,134293.41305204376,0.0
2021-07-23,224.9199981689453,226.0800018310547,10,5224.102495975421,4064.0988338660463,138357.5118859098,45.568108448157766,LOSS,138357.5118859098,0.0
2021-07-26,245.4499969482422,224.9199981689453,10,5172.515634627096,5172.515634627096,143530.0275205369,45.42235046511361,WIN,143530.0275205369,0.0
2021-07-27,235.0800018310547,245.4499969482422,10,6332.763136970935,-4037.231980216565,139492.79554032034,49.13101768307509,LOSS,143530.0275205369,-2.8128134927298807
2021-07-28,241.75,235.0800018310547,10,5384.782748209716,5384.782748209716,144877.57828853006,45.30201613260283,WIN,144877.57828853006,0.0
2021-07-29,235.77999877929688,241.75,10,5505.406261732988,-464.59495897013676,144412.9833295599,45.12603068236455,LOSS,144877.57828853006,-0.3206810635976309
2021-07-30,236.5800018310547,235.77999877929688,10,5416.401803773196,5416.401803773196,149829.3851333331,45.389456798241056,WIN,149829.3851333331,0.0
2021-08-02,235.39999389648438,236.5800018310547,10,5234.380446200067,4054.3725116297546,153883.75764496284,44.2688917511176,LOSS,153883.75764496284,0.0
2021-08-03,230.17999267578125,235.39999389648438,10,5209.708007463732,-10.293213239392571,153873.46443172343,44.27695868393292,LOSS,153883.75764496284,-0.006688953660173529
2021-08-04,244.36000061035156,230.17999267578125,10,5094.677924991673,5094.677924991673,158968.1423567151,44.27980543140574,WIN,158968.1423567151,0.0
2021-08-05,255.5,244.36000061035156,10,5285.1900242757265,5285.1900242757265,164253.33238099085,43.61208544979976,WIN,164253.33238099085,0.0
2021-08-06,258.260009765625,255.5,10,5637.0474802398585,5637.0474802398585,169890.3798612307,44.186351783518504,WIN,169890.3798612307,0.0
2021-08-09,280.4700012207031,258.260009765625,10,5551.769371307764,5551.769371307764,175442.14923253848,43.437622042599415,WIN,175442.14923253848,0.0
2021-08-10,269.6700134277344,280.4700012207031,10,6715.271977404802,-4084.715815563948,171357.43341697453,46.67351153607544,LOSS,175442.14923253848,-2.32824086653766
