Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2021-04-15,322.75,328.2799987792969,4,4101.05487975592,1889.0553680371704,51889.05536803717,56.31523152952117,LOSS,51889.05536803717,0.0
2021-04-16,342.0,322.75,4,4031.9710837183593,4031.9710837183593,55921.026451755526,56.31523152952117,WIN,55921.026451755526,0.0
2021-04-19,333.0,342.0,4,4272.452705287928,672.4527052879284,56593.47915704345,56.31523152952117,LOSS,56593.47915704345,0.0
2021-04-20,320.82000732421875,333.0,4,4160.019739359299,-711.9773309532011,55881.50182609025,56.31523152952117,LOSS,56593.47915704345,-1.258055418323919
2021-04-21,311.9200134277344,320.82000732421875,4,4007.860550300736,447.8629917069861,56329.364817797235,56.31523152952117,LOSS,56593.47915704345,-0.46668687484880894
2021-04-22,293.45001220703125,311.9200134277344,4,3896.6769157975746,-3491.3235724836754,52838.04124531356,56.31523152952117,LOSS,56593.47915704345,-6.635813821074306
2021-04-23,291.6000061035156,293.45001220703125,4,3665.93946935879,2925.93702795254,55763.9782732661,56.31523152952117,LOSS,56593.47915704345,-1.4657181288952783
2021-04-26,304.5400085449219,291.6000061035156,4,3642.828172336087,3642.828172336087,59406.80644560218,56.31523152952117,WIN,59406.80644560218,0.0
2021-04-27,302.0,304.5400085449219,4,3804.4818227373107,2788.4784047685607,62195.28485037074,56.31523152952117,LOSS,62195.28485037074,0.0
2021-04-28,298.04998779296875,302.0,4,3772.750634494019,2192.745751681519,64388.03060205226,56.31523152952117,LOSS,64388.03060205226,0.0
2021-04-29,294.7699890136719,298.04998779296875,4,3723.4049025061504,2411.4053907874004,66799.43599283966,56.31523152952117,LOSS,66799.43599283966,0.0
2021-04-30,297.6400146484375,294.7699890136719,4,3682.429347950747,3682.429347950747,70481.8653407904,56.31523152952117,WIN,70481.8653407904,0.0
2021-05-03,294.2099914550781,297.6400146484375,4,3718.283291773846,2346.274014430096,72828.1393552205,56.31523152952117,LOSS,72828.1393552205,0.0
2021-05-04,280.6600036621094,294.2099914550781,4,3675.433549459026,-1744.561567728474,71083.57778749202,56.31523152952117,LOSS,72828.1393552205,-2.3954498675564833
2021-05-05,273.0,280.6600036621094,4,3506.1596254745587,442.15816063080865,71525.73594812282,56.31523152952117,LOSS,72828.1393552205,-1.7883244287557352
2021-05-06,256.760009765625,273.0,4,3410.4666331684343,-3085.5294605815657,68440.20648754125,56.31523152952117,LOSS,72828.1393552205,-6.0250514519903255
2021-05-07,263.70001220703125,256.760009765625,4,3207.587714423683,3207.587714423683,71647.79420196493,56.31523152952117,WIN,72828.1393552205,-1.6207267736148099
2021-05-10,293.45001220703125,263.70001220703125,4,3294.2860542058197,3294.2860542058197,74942.08025617075,56.31523152952117,WIN,74942.08025617075,0.0
2021-05-11,303.0,293.45001220703125,4,3665.93946935879,3665.93946935879,78608.01972552955,56.31523152952117,WIN,78608.01972552955,0.0
2021-05-12,283.6099853515625,303.0,4,3785.243186263867,-3970.762673111133,74637.25705241841,56.31523152952117,LOSS,78608.01972552955,-5.051345507717391
2021-05-13,265.1000061035156,283.6099853515625,4,3001.614843250379,-4402.37685596837,70234.88019645005,50.0019693285672,LOSS,78608.01972552955,-10.651762451611738
2021-05-14,258.3699951171875,265.1000061035156,4,2926.166381759392,234.16198722814215,70469.04218367819,51.504660329534275,LOSS,78608.01972552955,-10.353876831231332
2021-05-17,248.24000549316406,258.3699951171875,4,2677.2432637041275,-1374.7525859052475,69094.28959777293,49.269265050355855,LOSS,78608.01972552955,-12.1027474817138
2021-05-18,239.0,248.24000549316406,4,2590.361973668281,-1105.6402235973442,67988.64937417558,49.510219124176594,LOSS,78608.01972552955,-13.509270922270936
2021-05-19,224.8000030517578,239.0,4,2494.982294199378,-3185.016485097497,64803.632889078086,49.5245955855698,LOSS,78608.01972552955,-17.561041334778988
2021-05-20,233.39999389648438,224.8000030517578,4,2406.071647122896,2406.071647122896,67209.70453620098,50.39739284069909,WIN,78608.01972552955,-14.500193783188173
2021-05-21,224.35000610351562,233.39999389648438,4,2513.528424768702,-1106.4666924187982,66103.23784378219,50.61574174772331,LOSS,78608.01972552955,-15.907768603520969
2021-05-24,225.3000030517578,224.35000610351562,4,2439.103100787489,2439.103100787489,68542.34094456967,50.95531564055685,WIN,78608.01972552955,-12.804900589158134
2021-05-25,242.41000366210938,225.3000030517578,4,2353.2953853539075,2353.2953853539075,70895.63632992358,49.544131528995194,WIN,78608.01972552955,-9.811191558488295
2021-05-26,241.52000427246094,242.41000366210938,4,2790.2319663425255,2434.2322104831505,73329.86854040674,53.067013384351995,LOSS,78608.01972552955,-6.714519973346468
2021-05-27,247.08999633789062,241.52000427246094,4,2780.733702118111,2780.733702118111,76110.60224252485,53.07722811751464,WIN,78608.01972552955,-3.1770517712121054
2021-05-28,236.5399932861328,247.08999633789062,4,2876.9624679076915,-1343.0387527954335,74767.56348972942,53.50685648024733,LOSS,78608.01972552955,-4.8855781499261735
2021-06-01,238.92999267578125,236.5399932861328,4,2778.1933207659654,2778.1933207659654,77545.75681049538,53.84337125559541,WIN,78608.01972552955,-1.3513416553975037
2021-06-02,240.47999572753906,238.92999267578125,4,2818.315469814414,2818.315469814414,80364.0722803098,54.01018121327577,WIN,80364.0722803098,0.0
2021-06-03,233.66000366210938,240.47999572753906,4,2797.7733434967636,69.77651732488857,80433.8487976347,53.476238268924156,LOSS,80433.8487976347,0.0
2021-06-04,228.7899932861328,233.66000366210938,4,2719.805966534452,771.8018161438272,81205.65061377852,53.49573145285543,LOSS,81205.65061377852,0.0
2021-06-07,231.4499969482422,228.7899932861328,4,2582.498601633343,2582.498601633343,83788.14921541186,52.330353498834725,WIN,83788.14921541186,0.0
2021-06-08,220.66000366210938,231.4499969482422,4,2589.026679404709,-1726.9706350484162,82061.17858036344,51.99460370347303,LOSS,83788.14921541186,-2.061115624607642
2021-06-09,224.32000732421875,220.66000366210938,4,2022.0716538684612,2022.0716538684612,84083.2502342319,45.306232668478856,WIN,84083.2502342319,0.0
2021-06-10,221.85000610351562,224.32000732421875,4,2009.594705254843,1021.5942169735929,85104.8444512055,44.62780655166743,LOSS,85104.8444512055,0.0
2021-06-11,223.9199981689453,221.85000610351562,4,1887.212506086333,1887.212506086333,86992.05695729183,43.13328163661183,WIN,86992.05695729183,0.0
2021-06-14,239.10000610351562,223.9199981689453,4,1793.0606869739613,1793.0606869739613,88785.11764426579,41.4826316439613,WIN,88785.11764426579,0.0
2021-06-15,232.2100067138672,239.10000610351562,4,2128.330085892297,-627.6696699670779,88157.44797429872,44.438686592347196,LOSS,88785.11764426579,-0.7069536951924175
2021-06-16,228.0500030517578,232.2100067138672,4,2041.3227360633236,377.32127121957365,88534.76924551828,44.07299507499523,LOSS,88785.11764426579,-0.2819711291599257
2021-06-17,230.66000366210938,228.0500030517578,4,1965.8830097566938,1965.8830097566938,90500.65225527498,43.5093043239453,WIN,90500.65225527498,0.0
2021-06-18,229.2899932861328,230.66000366210938,4,1845.1517970060127,1297.1476466153877,91797.79990189036,41.45567452383911,LOSS,91797.79990189036,0.0
2021-06-21,222.60000610351562,229.2899932861328,4,1773.8460427950245,-902.1488302518505,90895.65107163851,40.5852611909182,LOSS,91797.79990189036,-0.9827564835061781
2021-06-22,222.47000122070312,222.60000610351562,4,1693.5451028902203,1641.5431497652203,92537.19422140373,40.16115820676999,LOSS,92537.19422140373,0.0
2021-06-23,226.00999450683594,222.47000122070312,4,1691.7581325323436,1691.7581325323436,94228.95235393607,40.14929694223811,WIN,94228.95235393607,0.0
2021-06-24,229.92999267578125,226.00999450683594,4,1438.4123077517124,1438.4123077517124,95667.36466168778,36.048191128614164,WIN,95667.36466168778,0.0
2021-06-25,224.5399932861328,229.92999267578125,4,1485.0102694832299,-670.9894863761451,94996.37517531164,36.35958766028504,LOSS,95667.36466168778,-0.7013776210403516
2021-06-28,246.69000244140625,224.5399932861328,4,1434.9919047162361,1434.9919047162361,96431.36708002788,36.135609617392205,WIN,96431.36708002788,0.0
2021-06-29,254.89999389648438,246.69000244140625,4,1997.9140848342568,1997.9140848342568,98429.28116486213,41.784546176532686,WIN,98429.28116486213,0.0
2021-06-30,253.3000030517578,254.89999389648438,4,2104.885146744581,1464.888808853956,99894.16997371608,42.30974288931057,LOSS,99894.16997371608,0.0
2021-07-01,241.44000244140625,253.3000030517578,4,2095.6608755331017,-2648.3393686075233,97245.83060510855,42.36181130175274,LOSS,99894.16997371608,-2.6511450761384308
2021-07-02,240.72000122070312,241.44000244140625,4,2062.27654343286,1774.2760551516099,99020.10666026016,43.248585639249,LOSS,99894.16997371608,-0.8749893148778342
