Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2021-04-27,302.0,301.49460845947266,2,1268.1606075791037,1268.1606075791037,51268.160607579106,56.31523152952117,WIN,51268.160607579106,0.0
2021-04-28,298.04998779296875,298.98,2,1257.5835448313396,1071.581103425086,52339.74171100419,56.31523152952117,LOSS,52339.74171100419,0.0
2021-04-29,294.7699890136719,295.0694879150391,2,1241.1349675020501,1181.23518722861,53520.9768982328,56.31523152952117,LOSS,53520.9768982328,0.0
2021-05-11,303.0,290.51551208496096,2,1221.9798231195969,1221.9798231195969,54742.9567213524,56.31523152952117,WIN,54742.9567213524,0.0
2021-05-12,283.6099853515625,299.96999999999997,2,1261.7477287546221,-2010.255200932872,52732.70152041953,56.31523152952117,LOSS,54742.9567213524,-3.6721714012732076
2021-05-13,265.1000061035156,280.77388549804687,2,1000.5382810834599,-2134.2375978227883,50598.46392259674,50.0019693285672,LOSS,54742.9567213524,-7.570823804515305
2021-05-26,241.52000427246094,239.98590362548828,2,930.0773221141751,930.0773221141751,51528.54124471091,53.067013384351995,WIN,54742.9567213524,-5.871833874452948
2021-05-27,247.08999633789062,239.10480422973632,2,926.9112340393704,926.9112340393704,52455.45247875028,53.07722811751464,WIN,54742.9567213524,-4.17862749768114
2021-05-28,236.5399932861328,244.6190963745117,2,958.9874893025637,-656.8331283732164,51798.61935037706,53.50685648024733,LOSS,54742.9567213524,-5.378477063199807
2021-06-15,232.2100067138672,236.70900604248047,2,709.4433619640992,-190.35650375855687,51608.262846618505,44.438686592347196,LOSS,54742.9567213524,-5.726204908313276
2021-06-16,228.0500030517578,229.8879066467285,2,680.440912021108,312.86019302696855,51921.12303964547,44.07299507499523,LOSS,54742.9567213524,-5.154697244561284
2021-06-25,224.5399932861328,227.63069274902344,2,495.00342316107674,-123.13646941704849,51797.98657022842,36.35958766028504,LOSS,54742.9567213524,-5.379632974729872
2021-06-29,254.89999389648438,244.2231024169922,2,665.9713616114188,665.9713616114188,52463.95793183984,41.784546176532686,WIN,54742.9567213524,-4.163090424788181
2021-06-30,253.3000030517578,252.35099395751953,2,701.6283822481937,701.6283822481937,53165.58631408803,42.30974288931057,WIN,54742.9567213524,-2.8814125172181577
2021-07-01,241.44000244140625,250.76700302124024,2,698.5536251777006,-1166.846490789098,51998.739823298936,42.36181130175274,LOSS,54742.9567213524,-5.012913189950307
2021-07-08,244.2899932861328,249.4503012084961,2,742.8785127605349,-289.1830717121197,51709.55675158682,44.251574437074375,LOSS,54742.9567213524,-5.541169405967452
2021-07-09,253.8800048828125,241.84709335327148,2,737.1830071759746,737.1830071759746,52446.73975876279,44.93987107536622,WIN,54742.9567213524,-4.194543188957804
2021-07-12,247.6699981689453,251.34120483398436,2,777.3460275682171,43.10469456040687,52489.8444533232,45.3784893261699,LOSS,54742.9567213524,-4.115803023752958
2021-07-13,243.30999755859375,245.19329818725586,2,771.2614817064621,394.6013559740395,52884.44580929724,45.89644625133211,LOSS,54742.9567213524,-3.3949772233077935
2021-07-22,226.0800018310547,228.5612951660156,2,707.5582411973364,211.29957420515166,53095.74538350239,45.40709897174252,LOSS,54742.9567213524,-3.008992273169482
2021-07-23,224.9199981689453,223.81920181274413,2,696.5469994633896,696.5469994633896,53792.29238296578,45.568108448157766,WIN,54742.9567213524,-1.7365966241567887
2021-07-27,235.0800018310547,242.99549697875977,2,844.3684182627916,-738.7306112782259,53053.56177168756,49.13101768307509,LOSS,54742.9567213524,-3.086049879008264
2021-07-28,241.75,232.72920181274415,2,717.9710330946289,717.9710330946289,53771.53280478218,45.30201613260283,WIN,54742.9567213524,-1.7745185403756505
2021-07-29,235.77999877929688,239.3325,2,734.0541682310652,23.55392409043816,53795.08672887262,45.12603068236455,LOSS,54742.9567213524,-1.7314921393532647
2021-08-05,255.5,241.91640060424805,2,704.6920032367636,704.6920032367636,54499.778732109386,43.61208544979976,WIN,54742.9567213524,-0.4442178570675595
2021-08-06,258.260009765625,252.945,2,751.6063306986479,751.6063306986479,55251.38506280803,44.186351783518504,WIN,55251.38506280803,0.0
2021-08-09,280.4700012207031,255.67740966796876,2,740.2359161743686,740.2359161743686,55991.6209789824,43.437622042599415,WIN,55991.6209789824,0.0
2021-08-10,269.6700134277344,277.6653012084961,2,895.3695969873072,-703.6879591650356,55287.93301981736,46.67351153607544,LOSS,55991.6209789824,-1.2567736866006782
2021-08-11,278.3999938964844,266.973313293457,2,881.1777569006592,881.1777569006592,56169.11077671802,47.41986162968809,WIN,56169.11077671802,0.0
2021-08-12,256.5,275.61599395751955,2,859.7037362813707,-2963.495055222539,53205.61572149548,45.6379625169725,LOSS,56169.11077671802,-5.2760227360603045
2021-08-23,256.0,254.74680725097656,2,901.1857520785311,901.1857520785311,54106.801473574014,49.74729884786478,WIN,56169.11077671802,-3.6716075341517254
2021-08-24,259.2799987792969,253.44,2,801.7447957613385,801.7447957613385,54908.546269335355,46.07251969518711,WIN,56169.11077671802,-2.244230841384743
2021-08-25,256.7699890136719,256.68719879150393,2,782.4174281801417,782.4174281801417,55690.96369751549,44.93986153222544,WIN,56169.11077671802,-0.8512633947566772
2021-08-26,248.5399932861328,254.20228912353517,2,769.6848327944259,-362.7743346860449,55328.18936282945,44.740547122953785,LOSS,56169.11077671802,-1.4971243130968932
2021-08-30,262.6600036621094,256.52879516601564,2,804.381788471164,804.381788471164,56132.57115130061,45.79935278366277,WIN,56169.11077671802,-0.0650528821128456
2021-08-31,259.0,260.0334036254883,2,814.625661746087,607.9449366484289,56740.516087949036,45.771199686023316,LOSS,56740.516087949036,0.0
2021-09-01,265.8999938964844,256.41,2,797.5829709121489,797.5829709121489,57538.09905886118,45.55317844073758,WIN,57538.09905886118,0.0
2021-09-02,268.17999267578125,263.24099395751955,2,778.8256423707397,778.8256423707397,58316.924701231925,44.06044112013917,WIN,58316.924701231925,0.0
2021-09-03,278.44000244140625,265.4981927490234,2,758.6306227705022,758.6306227705022,59075.555324002424,43.066243096414034,WIN,59075.555324002424,0.0
2021-09-07,266.80999755859375,275.65560241699217,2,806.389169180896,-962.7318024987874,58112.82352150363,43.733818545490884,LOSS,59075.555324002424,-1.6296618748967266
2021-09-20,236.52999877929688,242.73810241699218,2,492.8907338826957,-748.7299936563647,57364.09352784727,34.94473101059708,LOSS,59075.555324002424,-2.8970727177570654
2021-09-23,237.5,239.43150604248046,2,481.8561692611528,95.55496076505995,57459.64848861233,34.7674936850362,LOSS,59075.555324002424,-2.7353222945219633
2021-10-04,229.30999755859375,228.83849395751952,2,393.68552344330413,393.68552344330413,57853.33401205563,31.898021046407543,WIN,59075.555324002424,-2.0689120995028603
2021-10-05,240.08999633789062,227.01689758300782,2,337.7448187032952,337.7448187032952,58191.078830758925,29.613222380238525,WIN,59075.555324002424,-1.497195393919786
2021-10-06,250.3800048828125,237.6890963745117,2,398.96600786906157,398.96600786906157,58590.04483862799,31.48701821957983,WIN,59075.555324002424,-0.8218466719637777
2021-10-07,251.58999633789062,247.87620483398436,2,447.2109480841147,447.2109480841147,59037.25578671211,32.72119771659341,WIN,59075.555324002424,-0.06483144691617623
2021-10-08,248.13999938964844,249.07409637451173,2,449.35960812631555,262.54021115365794,59299.79599786577,32.720703172498574,LOSS,59299.79599786577,0.0
2021-10-11,256.5,245.65859939575196,2,424.06005562975616,424.06005562975616,59723.856053495525,31.955510763765965,WIN,59723.856053495525,0.0
2021-10-12,249.3300018310547,253.935,2,450.13625730634755,-470.8633764827154,59252.99267701281,32.41152913634469,LOSS,59723.856053495525,-0.7884008294122171
