Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2021-04-15,322.75,321.71439880371094,3,2050.52743987796,2050.52743987796,52050.52743987796,56.31523152952117,WIN,52050.52743987796,0.0
2021-04-16,342.0,316.295,3,2015.9855418591796,2015.9855418591796,54066.512981737134,56.31523152952117,WIN,54066.512981737134,0.0
2021-04-19,333.0,335.15999999999997,3,2136.2263526439647,1488.2263526439742,55554.739334381105,56.31523152952117,LOSS,55554.739334381105,0.0
2021-04-20,320.82000732421875,326.34,3,2080.0098696796495,424.01206694528196,55978.751401326386,56.31523152952117,LOSS,55978.751401326386,0.0
2021-04-21,311.9200134277344,314.4036071777344,3,2003.9302751503683,1258.8521501503649,57237.60355147675,56.31523152952117,LOSS,57237.60355147675,0.0
2021-04-22,293.45001220703125,305.6816131591797,3,1948.338457898788,-1721.1418277457396,55516.46172373101,56.31523152952117,LOSS,57237.60355147675,-3.0070123851321435
2021-04-23,291.6000061035156,287.5810119628906,3,1832.9697346793953,1832.9697346793953,57349.43145841041,56.31523152952117,WIN,57349.43145841041,0.0
2021-04-26,304.5400085449219,285.7680059814453,3,1821.414086168044,1821.414086168044,59170.84554457845,56.31523152952117,WIN,59170.84554457845,0.0
2021-04-27,302.0,298.44920837402344,3,1902.2409113686556,1902.2409113686556,61073.08645594711,56.31523152952117,WIN,61073.08645594711,0.0
2021-04-28,298.04998779296875,295.96,3,1886.3753172470094,1886.3753172470094,62959.46177319412,56.31523152952117,WIN,62959.46177319412,0.0
2021-04-29,294.7699890136719,292.08898803710935,3,1861.7024512530752,1861.7024512530752,64821.164224447195,56.31523152952117,WIN,64821.164224447195,0.0
2021-04-30,297.6400146484375,288.8745892333984,3,1841.2146739753734,1841.2146739753734,66662.37889842257,56.31523152952117,WIN,66662.37889842257,0.0
2021-05-03,294.2099914550781,291.68721435546877,3,1859.1416458869235,1859.1416458869235,68521.52054430949,56.31523152952117,WIN,68521.52054430949,0.0
2021-05-04,280.6600036621094,288.32579162597654,3,1837.7167747295132,-462.0196144306349,68059.50092987885,56.31523152952117,LOSS,68521.52054430949,-0.674269354737792
2021-05-05,273.0,275.0468035888672,3,1753.0798127372796,1139.038736077122,69198.53966595598,56.31523152952117,LOSS,69198.53966595598,0.0
2021-05-06,256.760009765625,267.54,3,1705.233316584217,-1528.7637537282894,67669.77591222769,56.31523152952117,LOSS,69198.53966595598,-2.209242797764418
2021-05-07,263.70001220703125,251.6248095703125,3,1603.7938572118414,1603.7938572118414,69273.56976943953,56.31523152952117,WIN,69273.56976943953,0.0
2021-05-10,293.45001220703125,258.42601196289064,3,1647.1430271029099,1647.1430271029099,70920.71279654244,56.31523152952117,WIN,70920.71279654244,0.0
2021-05-13,265.1000061035156,277.93778564453123,3,1500.8074216251898,-2350.526440679492,68570.18635586296,50.0019693285672,LOSS,70920.71279654244,-3.3143017716455927
2021-05-14,258.3699951171875,259.7980059814453,3,1463.0831908796963,1034.6799316023478,69604.86628746531,51.504660329534275,LOSS,70920.71279654244,-1.8553768810136464
2021-05-17,248.24000549316406,253.20259521484374,3,1338.621631852064,-150.1552846518391,69454.71100281346,49.269265050355855,LOSS,70920.71279654244,-2.067099632704837
2021-05-18,239.0,243.27520538330077,3,1295.1809868341406,12.619371843908993,69467.33037465737,49.510219124176594,LOSS,70920.71279654244,-2.0493059990168834
2021-05-19,224.8000030517578,234.22,3,1247.491147099689,-1578.5079373729668,67888.8224372844,49.5245955855698,LOSS,70920.71279654244,-4.275042141716684
2021-05-20,233.39999389648438,220.30400299072267,3,1203.035823561448,1203.035823561448,69091.85826084585,50.39739284069909,WIN,70920.71279654244,-2.578731182444845
2021-05-21,224.35000610351562,228.73199401855467,3,1256.7642123843511,-57.83216212736306,69034.02609871849,50.61574174772331,LOSS,70920.71279654244,-2.6602759947386434
2021-05-24,225.3000030517578,219.8630059814453,3,1219.5515503937447,1219.5515503937447,70253.57764911224,50.95531564055685,WIN,70920.71279654244,-0.9406774426310206
2021-05-25,242.41000366210938,220.79400299072265,3,1176.6476926769542,1176.6476926769542,71430.22534178919,49.544131528995194,WIN,71430.22534178919,0.0
2021-05-27,247.08999633789062,236.68960418701172,3,1390.3668510590555,1390.3668510590555,72820.59219284824,53.07722811751464,WIN,72820.59219284824,0.0
2021-06-01,238.92999267578125,231.80919342041014,3,1389.096660382983,1389.096660382983,74209.68885323123,53.84337125559541,WIN,74209.68885323123,0.0
2021-06-02,240.47999572753906,234.15139282226562,3,1409.1577349072072,1409.1577349072072,75618.84658813843,54.01018121327577,WIN,75618.84658813843,0.0
2021-06-03,233.66000366210938,235.6703958129883,3,1398.8866717483816,795.7690264847073,76414.61561462314,53.476238268924156,LOSS,76414.61561462314,0.0
2021-06-04,228.7899932861328,228.9868035888672,3,1359.9029832672263,1300.8598924469131,77715.47550707005,53.49573145285543,LOSS,77715.47550707005,0.0
