Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2021-04-15,322.75,329.92139877319335,3,3568.2111579858815,1416.7915260278778,51416.791526027875,56.31523152952117,LOSS,51416.791526027875,0.0
2021-04-16,342.0,324.36375,3,3508.103312788764,3508.103312788764,54924.89483881664,56.31523152952117,WIN,54924.89483881664,0.0
2021-04-19,333.0,343.71,3,3717.33952896594,504.33952896594656,55429.234367782585,56.31523152952117,LOSS,55429.234367782585,0.0
2021-04-20,320.82000732421875,334.66499999999996,4,4826.019739359284,-711.9773309532011,54717.25703682938,56.31523152952117,LOSS,55429.234367782585,-1.284479822017944
2021-04-21,311.9200134277344,322.4241073608398,4,4649.500564949155,447.86299170698567,55165.12002853637,56.31523152952117,LOSS,55429.234367782585,-0.4764892430116817
2021-04-22,293.45001220703125,313.47961349487304,4,4520.516942653039,-3491.323572483675,51673.79645605269,56.31523152952117,LOSS,55429.234367782585,-6.775193550053234
2021-04-23,291.6000061035156,294.9172622680664,4,4252.839493772848,2925.93702795254,54599.73348400523,56.31523152952117,LOSS,55429.234367782585,-1.496504314444386
2021-04-26,304.5400085449219,293.0580061340332,4,4226.028184543108,4226.028184543108,58825.76166854834,56.31523152952117,WIN,58825.76166854834,0.0
2021-04-27,302.0,306.06270858764645,4,4413.561839827143,2788.4784047685607,61614.2400733169,56.31523152952117,LOSS,61614.2400733169,0.0
2021-04-28,298.04998779296875,303.51,4,4376.750634494015,2192.7457516815184,63806.98582499842,56.31523152952117,LOSS,63806.98582499842,0.0
2021-04-29,294.7699890136719,299.5402377319336,4,4319.504878092085,2411.4053907874004,66218.39121578581,56.31523152952117,LOSS,66218.39121578581,0.0
2021-04-30,297.6400146484375,296.2438389587402,4,4271.969325978071,4271.969325978071,70490.36054176389,56.31523152952117,WIN,70490.36054176389,0.0
2021-05-03,294.2099914550781,299.1282147216797,4,4313.563321070719,2346.274014430096,72836.63455619398,56.31523152952117,LOSS,72836.63455619398,0.0
2021-05-04,280.6600036621094,295.68104141235347,4,4263.853532369162,-1744.561567728474,71092.0729884655,56.31523152952117,LOSS,72836.63455619398,-2.395170477546624
2021-05-05,273.0,282.0633036804199,4,4067.4796327987656,442.15816063080865,71534.2311490963,56.31523152952117,LOSS,72836.63455619398,-1.7881158499887366
