Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2021-04-21,311.9200134277344,320.82000732421875,1,2240.4621587030397,1350.4627690546022,51350.462769054604,56.31523152952117,LOSS,51350.462769054604,0.0
2021-04-28,298.04998779296875,302.0,1,2109.0317202210217,1714.0304995178967,53064.4932685725,56.31523152952117,LOSS,53064.4932685725,0.0
2021-05-05,273.0,280.6600036621094,1,1960.0028156315786,1194.0024494206411,54258.495717993144,56.31523152952117,LOSS,54258.495717993144,0.0
2021-05-12,283.6099853515625,303.0,1,2116.015268963476,177.01380411972605,54435.50952211287,56.31523152952117,LOSS,54435.50952211287,0.0
2021-05-19,224.8000030517578,239.0,2,2789.475006244094,-50.52438340434355,54384.98513870853,49.5245955855698,LOSS,54435.50952211287,-0.09281511985080071
2021-05-26,241.52000427246094,242.41000366210938,2,3119.574174867396,2941.5742969377084,57326.55943564624,53.067013384351995,LOSS,57326.55943564624,0.0
2021-06-03,233.66000366210938,240.47999572753906,2,3128.0056908478155,1764.007277761878,59090.566713408116,53.476238268924156,LOSS,59090.566713408116,0.0
2021-06-10,221.85000610351562,224.32000732421875,2,2246.795184086741,1752.7949399461158,60843.36165335423,44.62780655166743,LOSS,60843.36165335423,0.0
2021-06-17,230.66000366210938,228.0500030517578,2,2197.9240228139242,2197.9240228139242,63041.285676168154,43.5093043239453,WIN,63041.285676168154,0.0
2021-06-24,229.92999267578125,226.00999450683594,2,1608.1938499025882,1608.1938499025882,64649.47952607074,36.048191128614164,WIN,64649.47952607074,0.0
2021-07-01,241.44000244140625,253.3000030517578,2,2343.02008773937,-28.980034330942544,64620.4994917398,42.36181130175274,LOSS,64649.47952607074,-0.04482640006290112
2021-07-09,253.8800048828125,244.2899932861328,2,2472.5869738547913,2472.5869738547913,67093.08646559459,44.93987107536622,WIN,67093.08646559459,0.0
2021-07-16,225.00999450683594,224.6300048828125,2,2295.885746949207,2295.885746949207,69388.9722125438,45.23336810885685,WIN,69388.9722125438,0.0
2021-07-23,224.9199981689453,226.0800018310547,3,3504.4344907282093,3156.433392095397,72545.40560463919,45.568108448157766,LOSS,72545.40560463919,0.0
2021-07-30,236.5800018310547,235.77999877929688,3,3633.4327880068013,3633.4327880068013,76178.838392646,45.389456798241056,WIN,76178.838392646,0.0
2021-08-06,258.260009765625,255.5,2,2520.964271642045,2520.964271642045,78699.80266428804,44.186351783518504,WIN,78699.80266428804,0.0
2021-08-13,261.25,256.5,3,4428.111312439096,4428.111312439096,83127.91397672714,49.044262264893625,WIN,83127.91397672714,0.0
2021-08-20,257.32000732421875,248.24000549316406,3,4328.10623543812,4328.10623543812,87456.02021216525,49.382615254021395,WIN,87456.02021216525,0.0
2021-08-27,259.1199951171875,248.5399932861328,3,3781.087686342551,3781.087686342551,91237.1078985078,45.00082753086396,WIN,91237.1078985078,0.0
2021-09-03,278.44000244140625,268.17999267578125,3,3816.786695237646,3816.786695237646,95053.89459374546,43.066243096414034,WIN,95053.89459374546,0.0
