Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2021-04-21,311.9200134277344,311.1954071044922,5,7468.2071956767995,7468.2071956767995,57468.2071956768,56.31523152952117,WIN,57468.2071956768,0.0
2021-04-28,298.04998779296875,292.94,5,7030.105734070074,7030.105734070074,64498.31292974687,56.31523152952117,WIN,64498.31292974687,0.0
2021-05-05,273.0,272.2402035522461,5,6533.34271877193,6533.34271877193,71031.6556485188,56.31523152952117,WIN,71031.6556485188,0.0
2021-05-12,283.6099853515625,293.90999999999997,5,7053.384229878253,1903.3769056595193,72935.03255417832,56.31523152952117,LOSS,72935.03255417832,0.0
2021-05-19,224.8000030517578,231.82999999999998,5,4649.125010406823,1134.1265362857375,74069.15909046406,49.5245955855698,LOSS,74069.15909046406,0.0
2021-05-26,241.52000427246094,235.13770355224608,5,5199.29029144566,5199.29029144566,79268.44938190973,53.067013384351995,WIN,79268.44938190973,0.0
2021-06-03,233.66000366210938,233.2655958557129,5,5213.342818079693,5213.342818079693,84481.79219998942,53.476238268924156,WIN,84481.79219998942,0.0
2021-06-10,221.85000610351562,217.5904071044922,5,3744.658640144569,3744.658640144569,88226.45084013398,44.62780655166743,WIN,88226.45084013398,0.0
2021-06-17,230.66000366210938,221.20850296020507,5,3663.206704689874,3663.206704689874,91889.65754482386,43.5093043239453,WIN,91889.65754482386,0.0
2021-06-24,229.92999267578125,219.22969467163085,5,2680.3230831709807,2680.3230831709807,94569.98062799484,36.048191128614164,WIN,94569.98062799484,0.0
2021-07-01,241.44000244140625,245.70100296020507,5,3905.033479565617,1774.5332201662054,96344.51384816105,42.36181130175274,LOSS,96344.51384816105,0.0
2021-07-09,253.8800048828125,236.96129348754883,5,4120.978289757985,4120.978289757985,100465.49213791903,44.93987107536622,WIN,100465.49213791903,0.0
2021-07-16,225.00999450683594,217.89110473632812,5,3826.476244915344,3826.476244915344,104291.96838283438,45.23336810885685,WIN,104291.96838283438,0.0
2021-07-23,224.9199981689453,219.29760177612303,5,3893.8161008091215,3893.8161008091215,108185.78448364351,45.568108448157766,WIN,108185.78448364351,0.0
2021-07-30,236.5800018310547,228.70659881591797,5,4037.14754222978,4037.14754222978,112222.93202587329,45.389456798241056,WIN,112222.93202587329,0.0
2021-08-06,258.260009765625,247.83499999999998,5,4201.607119403408,4201.607119403408,116424.5391452767,44.186351783518504,WIN,116424.5391452767,0.0
2021-08-13,261.25,248.805,5,4920.123680487885,4920.123680487885,121344.6628257646,49.044262264893625,WIN,121344.6628257646,0.0
2021-08-20,257.32000732421875,240.79280532836913,5,4809.006928264578,4809.006928264578,126153.66975402916,49.382615254021395,WIN,126153.66975402916,0.0
2021-08-27,259.1199951171875,241.08379348754883,5,4201.208540380612,4201.208540380612,130354.87829440978,45.00082753086396,WIN,130354.87829440978,0.0
2021-09-03,278.44000244140625,260.1345928955078,5,4240.8741058196065,4240.8741058196065,134595.7524002294,43.066243096414034,WIN,134595.7524002294,0.0
2021-09-13,242.83999633789062,240.8704071044922,5,2901.354393582147,2901.354393582147,137497.10679381154,35.73692441028433,WIN,137497.10679381154,0.0
2021-09-20,236.52999877929688,237.83430236816406,5,2755.342966103666,2103.1911716700733,139600.29796548162,34.94473101059708,LOSS,139600.29796548162,0.0
2021-09-27,232.24000549316406,224.8654071044922,5,2556.996854877561,2556.996854877561,142157.29482035918,34.57647776807319,WIN,142157.29482035918,0.0
2021-10-04,229.30999755859375,224.21549407958983,5,2200.7689804420374,2200.7689804420374,144358.06380080123,31.898021046407543,WIN,144358.06380080123,0.0
2021-10-11,256.5,240.695799407959,5,2370.5677773261923,2370.5677773261923,146728.63157812742,31.955510763765965,WIN,146728.63157812742,0.0
2021-10-18,293.3399963378906,272.19168579101563,5,3833.4166894446203,3833.4166894446203,150562.04826757204,39.24589304782596,WIN,150562.04826757204,0.0
2021-10-25,325.5400085449219,291.8147964477539,5,4314.904925780921,4314.904925780921,154876.95319335297,40.45604518164359,WIN,154876.95319335297,0.0
2021-11-01,330.989990234375,309.83741302490233,5,5173.229155125608,5173.229155125608,160050.1823484786,43.744507355270244,WIN,160050.1823484786,0.0
2021-11-08,353.9200134277344,326.93848815917966,5,5334.448826629237,5334.448826629237,165384.63117510782,43.08992078342902,WIN,165384.63117510782,0.0
2021-11-15,345.3599853515625,332.6906106567383,5,5617.733198686196,5617.733198686196,171002.364373794,44.0701703355999,WIN,171002.364373794,0.0
2021-11-22,315.4800109863281,322.5734881591797,5,5471.457494193964,1924.7189077681742,172927.08328156217,44.20124515443527,LOSS,172927.08328156217,0.0
2021-11-30,315.0,309.80831420898437,5,5150.950234039112,5150.950234039112,178078.03351560127,43.62340506502129,WIN,178078.03351560127,0.0
2021-12-07,286.4200134277344,255.34279052734374,5,4642.276442569472,4642.276442569472,182720.30995817075,46.29928448750393,WIN,182720.30995817075,0.0
2021-12-14,255.86000061035156,243.82889526367188,5,4731.423701572614,4731.423701572614,187451.73365974336,48.40670801990818,WIN,187451.73365974336,0.0
2021-12-21,247.69000244140625,230.90850296020508,5,4260.003579935026,4260.003579935026,191711.7372396784,46.76121075248123,WIN,191711.7372396784,0.0
2021-12-29,252.60000610351562,253.49008697509765,5,5299.100147955292,4854.059712164278,196565.79695184267,50.98886564661721,LOSS,196565.79695184267,0.0
2022-01-05,234.22999572753906,242.64549407958984,5,4609.400650477817,401.6514744524293,196967.4484262951,47.70387687290839,LOSS,196967.4484262951,0.0
2022-01-12,234.6999969482422,230.11309585571288,5,3811.211185357643,3811.211185357643,200778.65961165275,43.51337922972449,WIN,200778.65961165275,0.0
2022-01-20,221.6199951171875,212.915,5,3465.8994075822775,3465.8994075822775,204244.55901923502,43.02442471360517,WIN,204244.55901923502,0.0
2022-01-27,170.1999969482422,173.28079940795897,5,2944.347068292293,1403.9458384339036,205648.50485766892,44.252673910659496,LOSS,205648.50485766892,0.0
2022-02-03,181.30999755859375,181.74889526367187,5,3873.256508099911,3653.8076555608513,209302.31251322976,51.68862964104376,LOSS,209302.31251322976,0.0
2022-02-10,204.77000427246094,208.065,5,4742.43752175884,3094.93965798931,212397.25217121906,54.24005418893779,LOSS,212397.25217121906,0.0
2022-02-17,191.9199981689453,201.72120651245118,5,4955.041508435087,54.437336682155546,212451.68950790123,57.28854579641274,LOSS,212451.68950790123,0.0
2022-02-25,176.8300018310547,174.17319763183593,5,3955.7926550099637,3955.7926550099637,216407.48216291118,54.1002204343453,WIN,216407.48216291118,0.0
2022-03-04,165.75,172.68909881591796,5,3965.8552258596083,496.3058179006289,216903.78798081182,54.5365658910566,LOSS,216903.78798081182,0.0
2022-03-11,160.07000732421875,167.78090118408204,5,4063.85990238924,208.4129724575946,217112.2009532694,56.69876725478657,LOSS,217112.2009532694,0.0
2022-03-18,185.94000244140625,171.903401184082,5,4585.795905519397,4585.795905519397,221697.9968587888,60.92585643695663,WIN,221697.9968587888,0.0
2022-03-25,186.7100067138672,184.48430236816407,5,4813.239085638756,4813.239085638756,226511.23594442755,59.916408980874365,WIN,226511.23594442755,0.0
2022-04-01,186.9600067138672,184.164200592041,5,4599.985131039883,4599.985131039883,231111.22107546745,58.00096747416759,WIN,231111.22107546745,0.0
2022-04-08,160.94000244140625,161.20430236816406,5,3754.6497486216294,3622.4997852427223,234733.72086071016,55.09773237401341,LOSS,234733.72086071016,0.0
2022-04-18,145.16000366210938,142.87129348754883,5,2803.4183093387555,2803.4183093387555,237537.13917004893,48.7808007457051,WIN,237537.13917004893,0.0
2022-04-25,135.13999938964844,127.5744041442871,5,2309.078001928319,2309.078001928319,239846.21717197725,46.16033129798629,WIN,239846.21717197725,0.0
2022-05-02,121.33999633789062,109.32869911193848,5,1849.6524821913822,1849.6524821913822,241695.86965416864,44.1261425193995,WIN,241695.86965416864,0.0
2022-05-09,83.51000213623047,100.62779792785645,5,2402.35902747705,-6156.53886833594,235539.3307858327,56.100485734155185,LOSS,241695.86965416864,-2.547225518228778
2022-05-16,61.70000076293945,65.83390266418456,5,3027.7367451483183,960.7857945257633,236500.11658035844,80.0,LOSS,241695.86965416864,-2.149707018677875
2022-05-23,66.0999984741211,64.16550148010253,5,3239.6994720589446,3239.6994720589446,239739.8160524174,80.0,WIN,241695.86965416864,-0.8093036941632787
2022-05-31,78.0999984741211,73.06039970397948,5,3858.7028475417937,3858.7028475417937,243598.5188999592,80.0,WIN,243598.5188999592,0.0
2022-06-07,69.56999969482422,68.54989822387695,5,3640.5092499906323,3640.5092499906323,247239.02814994982,80.0,WIN,247239.02814994982,0.0
2022-06-14,51.58000183105469,50.44969837188721,5,1861.125082203036,1861.125082203036,249100.15323215286,78.5102758775656,WIN,249100.15323215286,0.0
2022-06-22,51.90999984741211,55.765301628112795,5,1925.1440877023379,-2.50680264800485,249097.64642950485,74.43280057900303,LOSS,249100.15323215286,-0.0010063432781908408
2022-06-29,49.75,49.644600296020506,5,1897.769982167639,1897.769982167639,250995.4164116725,80.0,WIN,250995.4164116725,0.0
2022-07-07,57.459999084472656,50.158699111938475,5,1874.6909612017341,1874.6909612017341,252870.10737287422,79.34435210687612,WIN,252870.10737287422,0.0
2022-07-14,53.41999816894531,51.50699851989746,5,1952.3574456707597,1952.3574456707597,254822.46481854498,80.0,WIN,254822.46481854498,0.0
2022-07-21,73.9800033569336,73.01189674377441,5,2910.663963638375,2910.663963638375,257733.12878218334,80.0,WIN,257733.12878218334,0.0
2022-07-28,62.25,57.06510177612304,5,2389.268675935967,2389.268675935967,260122.39745811932,80.0,WIN,260122.39745811932,0.0
2022-08-04,88.9000015258789,78.38569763183594,5,3391.2672863849557,3391.2672863849557,263513.66474450426,80.0,WIN,263513.66474450426,0.0
2022-08-11,84.0,91.31579940795898,5,3918.7223040407116,260.82260006122306,263774.4873445655,80.0,LOSS,263774.4873445655,0.0
2022-08-18,83.47000122070312,82.87680236816406,5,3526.960542133181,3526.960542133181,267301.4478866987,80.0,WIN,267301.4478866987,0.0
2022-08-25,71.37000274658203,69.33560325622558,5,2472.107723985474,2472.107723985474,269773.55561068415,76.38158578903963,WIN,269773.55561068415,0.0
2022-09-01,65.52999877929688,64.79600296020507,5,1818.8000676490265,1818.8000676490265,271592.3556783332,63.324097985660806,WIN,271592.3556783332,0.0
2022-09-09,80.87000274658203,70.88760177612305,5,1707.828913153854,1707.828913153854,273300.18459148705,56.47640333723576,WIN,273300.18459148705,0.0
2022-09-16,74.0,74.91310325622558,5,1859.6869300832723,1403.1353019704811,274703.3198934575,57.73749490510343,LOSS,274703.3198934575,0.0
2022-09-23,61.880001068115234,61.05179866790771,5,1454.9961555490354,1454.9961555490354,276158.31604900653,56.02894913320751,WIN,276158.31604900653,0.0
2022-09-30,64.48999786376953,60.08179866790771,5,1533.354238975446,1533.354238975446,277691.670287982,58.936613890823004,WIN,277691.670287982,0.0
2022-10-07,67.0,71.69270355224609,5,1909.6137047986958,-436.7380713243474,277254.9322166576,60.8561485836372,LOSS,277691.670287982,-0.1572744587086245
2022-10-14,63.59000015258789,67.18220207214355,5,1622.1579029765694,-173.94305680126217,277080.98915985634,56.568648334367204,LOSS,277691.670287982,-0.21991337640496267
2022-10-21,66.37999725341797,61.68230014801025,5,1602.048996375016,1602.048996375016,278683.03815623134,59.71386848362925,WIN,278683.03815623134,0.0
2022-10-28,72.06999969482422,70.29590118408203,5,1920.3115211401055,1920.3115211401055,280603.34967737144,62.029319619597594,WIN,280603.34967737144,0.0
2022-11-04,58.81999969482422,54.12599925994873,5,1432.155762285337,1432.155762285337,282035.5054396568,60.55240788898745,WIN,282035.5054396568,0.0
2022-11-11,57.459999084472656,49.39239822387695,5,1544.4272023127098,1544.4272023127098,283579.93264196947,68.83123454417384,WIN,283579.93264196947,0.0
2022-11-18,45.2599983215332,47.326300888061525,5,1650.131783655735,616.9805003915744,284196.91314236104,75.02650810544849,LOSS,284196.91314236104,0.0
2022-11-28,42.5099983215332,42.95159881591797,5,1444.0577952178319,1223.2575480254493,285420.1706903865,72.88049704222199,LOSS,285420.1706903865,0.0
2022-12-05,46.0,46.23989822387695,5,1559.2616860822445,1439.31257414377,286859.48326453025,73.05359906811854,LOSS,286859.48326453025,0.0
2022-12-12,42.599998474121094,39.03280162811279,5,1146.9672168120123,1146.9672168120123,288006.45048134227,65.58809105535394,WIN,288006.45048134227,0.0
2022-12-19,35.16999816894531,35.50199851989746,5,881.4339151769342,715.4337397008593,288721.88422104315,57.74289822228053,LOSS,288721.88422104315,0.0
2022-12-27,32.650001525878906,34.42530162811279,5,725.4865326520418,-162.16351846490068,288559.72070257826,51.28094679413273,LOSS,288721.88422104315,-0.05616599479544133
2023-01-04,37.70000076293945,32.59199851989746,5,707.0479272989014,707.0479272989014,289266.76862987713,52.34778694943024,WIN,289266.76862987713,0.0
2023-01-11,43.790000915527344,41.933099555969235,5,1404.256228151945,1404.256228151945,290671.0248580291,72.65226904671634,WIN,290671.0248580291,0.0
2023-01-19,49.41999816894531,48.70369911193848,5,1619.814156771681,1619.814156771681,292290.8390148008,72.25721943830308,WIN,292290.8390148008,0.0
2023-01-26,53.02000045776367,51.17719837188721,5,1785.5878637151661,1785.5878637151661,294076.426878516,75.06641734763997,WIN,294076.426878516,0.0
2023-02-02,81.45999908447266,63.72899703979492,5,2396.2715786952385,2396.2715786952385,296472.6984572112,79.73303424672866,WIN,296472.6984572112,0.0
2023-02-09,59.630001068115234,67.35680236816405,5,2662.138223342135,-1201.2624266822745,295271.4360305289,80.0,LOSS,296472.6984572112,-0.4051848392561705
2023-02-16,65.58999633789062,67.2597964477539,5,3004.26662286572,2169.366567934083,297440.802598463,80.0,LOSS,297440.802598463,0.0
2023-02-24,58.439998626708984,60.489200592041016,5,2664.59322908216,1639.9922464161446,299080.7948448792,80.0,LOSS,299080.7948448792,0.0
2023-03-03,64.51000213623047,61.789000740051264,5,2460.130897269137,2460.130897269137,301540.9257421483,80.0,WIN,301540.9257421483,0.0
2023-03-10,53.439998626708984,56.347300148010255,5,1698.0373474717112,244.38658682107598,301785.31232896936,66.88013976211681,LOSS,301785.31232896936,0.0
2023-03-17,74.9800033569336,65.74659881591796,5,1591.3935664031105,1591.3935664031105,303376.7058953725,56.670750109372776,WIN,303376.7058953725,0.0
2023-03-24,67.83000183105469,64.31100296020507,5,2123.759857476268,2123.759857476268,305500.4657528488,71.85218180381706,WIN,305500.4657528488,0.0
2023-03-31,67.56999969482422,62.23520355224609,5,1997.0334560974984,1997.0334560974984,307497.49920894625,70.2428705491296,WIN,307497.49920894625,0.0
