Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-03,12.656999588012695,12.857000350952148,2,71.42163288711458,31.42148029922396,50031.42148029922,51.74338369981129,LOSS,50031.42148029922,0.0
2019-01-04,13.039999961853027,12.656999588012695,2,70.31061315639283,70.31061315639283,50101.73209345561,51.74338369981129,WIN,50101.73209345561,0.0
2019-01-07,13.123000144958496,13.039999961853027,2,72.43820990130743,72.43820990130743,50174.17030335692,51.74338369981129,WIN,50174.17030335692,0.0
2019-01-08,13.230999946594238,13.123000144958496,2,72.8992823478741,72.8992823478741,50247.0695857048,51.74338369981129,WIN,50247.0695857048,0.0
2019-01-09,13.157999992370605,13.230999946594238,2,73.49922961191365,58.899238767187086,50305.96882447199,51.74338369981129,LOSS,50305.96882447199,0.0
2019-01-10,13.25100040435791,13.157999992370605,2,73.09370921143,73.09370921143,50379.06253368342,51.74338369981129,WIN,50379.06253368342,0.0
2019-01-11,13.38599967956543,13.25100040435791,2,73.6103337040797,73.6103337040797,50452.6728673875,51.74338369981129,WIN,50452.6728673875,0.0
2019-01-14,13.211000442504883,13.38599967956543,2,74.36026513526177,39.360417723152395,50492.03328511065,51.74338369981129,LOSS,50492.03328511065,0.0
2019-01-15,13.430999755859375,13.211000442504883,2,73.38813081748229,73.38813081748229,50565.42141592813,51.74338369981129,WIN,50565.42141592813,0.0
2019-01-16,13.383999824523926,13.430999755859375,2,74.61024404490072,65.21025777781088,50630.631673705946,51.74338369981129,LOSS,50630.631673705946,0.0
2019-01-17,13.48799991607666,13.383999824523926,2,74.34915578559212,74.34915578559212,50704.980829491535,51.74338369981129,WIN,50704.980829491535,0.0
2019-01-18,13.631999969482422,13.48799991607666,2,74.92688435029233,74.92688435029233,50779.90771384183,51.74338369981129,WIN,50779.90771384183,0.0
2019-01-22,13.723999977111816,13.631999969482422,2,75.72681580158994,75.72681580158994,50855.634529643416,51.74338369981129,WIN,50855.634529643416,0.0
2019-01-23,13.748000144958496,13.723999977111816,2,76.23788297053747,76.23788297053747,50931.87241261395,51.74338369981129,WIN,50931.87241261395,0.0
2019-01-24,13.82800006866455,13.748000144958496,2,76.37120576204286,76.37120576204286,51008.24361837599,51.74338369981129,WIN,51008.24361837599,0.0
2019-01-25,13.9399995803833,13.82800006866455,2,76.81561153523768,76.81561153523768,51085.05922991123,51.74338369981129,WIN,51085.05922991123,0.0
2019-01-28,13.85099983215332,13.9399995803833,2,77.43777749861655,59.63782785262046,51144.69705776385,51.74338369981129,LOSS,51144.69705776385,0.0
2019-01-29,13.82699966430664,13.85099983215332,2,76.94337700304088,72.14334343370494,51216.84040119755,51.74338369981129,LOSS,51216.84040119755,0.0
2019-01-30,12.737000465393066,13.82699966430664,2,76.81005421153549,-141.18978557117936,51075.65061562637,51.74338369981129,LOSS,51216.84040119755,-0.2756706279910977
2019-01-31,12.689000129699707,12.737000465393066,2,70.75502422732234,61.15495708865046,51136.80557271502,51.74338369981129,LOSS,51216.84040119755,-0.1562666260854683
