Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-09,13.157999992370605,12.834069948196412,2,109.56618247073627,109.56618247073627,50109.566182470735,51.74338369981129,WIN,50109.566182470735,0.0
2019-01-16,13.383999824523926,13.028069763183593,2,111.2223850014979,111.2223850014979,50220.788567472235,51.74338369981129,WIN,50220.788567472235,0.0
2019-01-24,13.82800006866455,13.335560140609742,2,113.84747173836762,113.84747173836762,50334.6360392106,51.74338369981129,WIN,50334.6360392106,0.0
2019-01-31,12.689000129699707,12.354890451431274,2,105.47536261462487,105.47536261462487,50440.11140182523,51.74338369981129,WIN,50440.11140182523,0.0
2019-02-07,12.913999557495117,12.442189674377442,2,48.974989148378135,48.974989148378135,50489.08639097361,31.941214864795786,WIN,50489.08639097361,0.0
2019-02-14,14.005999565124512,13.621710214614868,2,62.87470025294507,62.87470025294507,50551.96109122655,34.86604022507745,WIN,50551.96109122655,0.0
2019-02-22,14.541000366210938,13.883609733581542,2,65.05008635301436,65.05008635301436,50617.01117757957,35.16566276183393,WIN,50617.01117757957,0.0
2019-03-01,14.173999786376953,13.725499629974365,2,47.28765812963217,47.28765812963217,50664.298835709196,29.82813952965503,WIN,50664.298835709196,0.0
2019-03-08,13.812000274658203,13.322949666976928,2,43.57658698586817,43.57658698586817,50707.87542269506,29.07731552935895,WIN,50707.87542269506,0.0
2019-03-15,14.833000183105469,14.356000185012817,2,37.880667085129495,37.880667085129495,50745.75608978019,26.3566746194853,WIN,50745.75608978019,0.0
2019-03-22,14.383000373840332,14.513139896392822,2,36.734869480428486,61.66433744460089,50807.42042722479,25.89391893895005,ASSIGNED_WHEEL,50807.42042722479,0.0
2019-03-29,14.425000190734863,14.045599555969238,2,39.085450534496324,39.085450534496324,50846.505877759286,26.976829300615517,WIN,50846.505877759286,0.0
2019-04-05,14.652000427246094,14.023289785385131,2,41.64822695273063,41.64822695273063,50888.15410471202,27.78243604730517,WIN,50888.15410471202,0.0
2019-04-12,15.0649995803833,14.406440229415892,2,40.14600771969958,40.14600771969958,50928.300112431716,26.993686752313845,WIN,50928.300112431716,0.0
2019-04-22,14.734000205993652,14.208559770584106,2,42.45367527348509,42.45367527348509,50970.7537877052,27.85974198144998,WIN,50970.7537877052,0.0
2019-04-29,14.92300033569336,14.493740377426146,2,36.07926323445907,36.07926323445907,51006.83305093966,25.713816469625744,WIN,51006.83305093966,0.0
2019-05-06,14.145000457763672,13.67990969657898,2,43.62269202818434,43.62269202818434,51050.455742967846,28.724491178283593,WIN,51050.455742967846,0.0
2019-05-13,13.505000114440918,13.508219652175903,2,40.08421288927321,80.14847794969805,51130.60422091754,27.7715105343527,ASSIGNED_WHEEL,51130.60422091754,0.0
2019-05-20,13.626999855041504,13.273480014801025,2,40.88969318886931,40.88969318886931,51171.49391410641,28.25855124280564,WIN,51171.49391410641,0.0
2019-05-28,13.532999992370605,13.005759992599486,2,38.90239773473398,38.90239773473398,51210.39631184114,27.87382657090092,WIN,51210.39631184114,0.0
2019-06-04,13.381999969482422,12.697300148010253,2,26.282101709527577,26.282101709527577,51236.67841355067,23.908728539072868,WIN,51236.67841355067,0.0
2019-06-11,13.413999557495117,13.245349740982055,2,31.399290146945173,31.399290146945173,51268.077703697614,25.202895053532252,WIN,51268.077703697614,0.0
2019-06-18,14.559000015258789,13.70125,2,43.51552565244107,43.51552565244107,51311.59322935005,28.66945070247926,WIN,51311.59322935005,0.0
2019-06-25,14.015999794006348,13.733259992599487,2,50.43212673345238,50.43212673345238,51362.025356083504,30.805224195540035,WIN,51362.025356083504,0.0
2019-07-02,14.050000190734863,13.582910251617431,2,51.697617591941025,51.697617591941025,51413.722973675445,31.381162497558314,WIN,51413.722973675445,0.0
2019-07-10,12.295999526977539,12.027030162811279,2,67.7899648631719,67.7899648631719,51481.51293853862,39.25906334351401,WIN,51481.51293853862,0.0
2019-07-17,12.25100040435791,12.076499814987182,2,59.891409920147844,59.891409920147844,51541.40434845877,36.34472077338323,WIN,51541.40434845877,0.0
2019-07-24,12.27299976348877,11.793259992599486,2,53.04085486257848,53.04085486257848,51594.445203321346,34.35725012303013,WIN,51594.445203321346,0.0
2019-07-31,13.67300033569336,11.949430236816406,2,52.63059409414046,52.63059409414046,51647.075797415484,33.956497332705474,WIN,51647.075797415484,0.0
2019-08-07,13.835000038146973,13.007699851989745,2,62.88085629692972,62.88085629692972,51709.95665371241,35.80582589011266,WIN,51709.95665371241,0.0
2019-08-14,13.795000076293945,13.456810140609742,2,67.3946326144412,67.3946326144412,51777.351286326855,36.55510808766634,WIN,51777.351286326855,0.0
2019-08-21,14.08899974822998,13.629469652175903,2,67.52510965726822,67.52510965726822,51844.87639598412,36.32324814727315,WIN,51844.87639598412,0.0
2019-08-28,13.946000099182129,13.455839748382568,2,68.27196426268921,68.27196426268921,51913.148360246814,36.837283471008135,WIN,51913.148360246814,0.0
2019-09-05,14.140999794006348,13.305490007400513,2,39.78551154833916,39.78551154833916,51952.933871795154,27.869482780518176,WIN,51952.933871795154,0.0
2019-09-12,14.84000015258789,14.311379718780517,2,45.359397393918385,45.359397393918385,51998.293269189075,28.641206749127296,WIN,51998.293269189075,0.0
2019-09-19,15.045000076293945,14.368609733581543,2,46.06139196420699,46.06139196420699,52044.35466115328,28.79714818910106,WIN,52044.35466115328,0.0
2019-09-26,14.937000274658203,14.50828978538513,2,45.60819501958398,45.60819501958398,52089.96285617287,28.52987185717632,WIN,52089.96285617287,0.0
2019-10-03,14.541999816894531,14.055299777984619,2,36.9903987375325,36.9903987375325,52126.9532549104,26.327026583677213,WIN,52126.9532549104,0.0
2019-10-10,14.35200023651123,14.003890266418457,2,29.31439626768632,29.31439626768632,52156.26765117808,24.00947065597059,WIN,52156.26765117808,0.0
2019-10-17,14.371999740600586,13.91076961517334,2,25.540825991789834,25.540825991789834,52181.80847716987,22.902250634915134,WIN,52181.80847716987,0.0
2019-10-24,14.460000038146973,13.83220022201538,2,21.481084136913925,21.481084136913925,52203.28956130678,21.683930866498134,WIN,52203.28956130678,0.0
2019-10-31,15.324999809265137,14.880769615173339,2,34.92155513791202,34.92155513791202,52238.21111644469,25.10032160657294,WIN,52238.21111644469,0.0
2019-11-07,15.57800006866455,15.031120281219483,2,31.489476709783,31.489476709783,52269.70059315447,24.01656490664008,WIN,52269.70059315447,0.0
2019-11-14,15.663999557495117,15.225120096206664,2,32.05086267541889,32.05086267541889,52301.751455829886,24.060371727196987,WIN,52301.751455829886,0.0
2019-11-21,14.949999809265137,14.93994041442871,2,35.93207297940208,35.93207297940208,52337.68352880929,25.351431857298834,WIN,52337.68352880929,0.0
2019-11-29,15.032999992370605,14.80414008140564,2,29.77890128336911,29.77890128336911,52367.46243009266,23.6575000758438,WIN,52367.46243009266,0.0
2019-12-06,15.15999984741211,14.5364200592041,2,31.24725937761106,31.24725937761106,52398.70968947027,24.25169885534413,WIN,52398.70968947027,0.0
2019-12-13,14.53499984741211,14.244450407028198,2,33.586252353787,33.586252353787,52432.29594182406,25.148056325975283,WIN,52432.29594182406,0.0
2019-12-20,14.520000457763672,14.157150259017945,2,31.293414900620476,31.293414900620476,52463.589356724675,24.51358354833031,WIN,52463.589356724675,0.0
2019-12-30,14.20199966430664,14.04171983718872,2,24.45036689233233,24.45036689233233,52488.03972361701,22.49431764325214,WIN,52488.03972361701,0.0
2020-01-07,14.38700008392334,13.992250185012818,2,25.44241608794153,25.44241608794153,52513.48213970495,22.825963334185474,WIN,52513.48213970495,0.0
2020-01-14,14.47700023651123,14.02522964477539,2,21.054343817504282,21.054343817504282,52534.53648352245,21.460985249322746,WIN,52534.53648352245,0.0
2020-01-22,14.592000007629395,14.157150259017945,2,19.93038911702293,19.93038911702293,52554.466872639474,21.059083759879826,WIN,52554.466872639474,0.0
2020-01-29,15.260000228881836,13.967999629974365,2,22.58126655003643,22.58126655003643,52577.04813918951,21.957946773565045,WIN,52577.04813918951,0.0
2020-02-05,15.284000396728516,14.725569763183593,2,43.4525332657679,43.4525332657679,52620.50067245527,27.70018399869479,WIN,52620.50067245527,0.0
2020-02-12,14.984000205993652,14.753700037002563,2,42.832801241824626,42.832801241824626,52663.3334736971,27.495180909504192,WIN,52663.3334736971,0.0
2020-02-20,14.979999542236328,14.511200037002563,2,44.303884477483926,44.303884477483926,52707.63735817459,28.140306547543766,WIN,52707.63735817459,0.0
2020-02-27,13.621999740600586,13.59164008140564,2,48.4964664635318,48.4964664635318,52756.13382463812,30.356959913552274,WIN,52756.13382463812,0.0
2020-03-05,13.687999725341797,13.208489637374878,2,34.88885990617134,34.88885990617134,52791.02268454429,26.368433818733962,WIN,52791.02268454429,0.0
2020-03-12,10.852999687194824,12.042549962997436,2,42.466814510390336,-91.51122504039078,52699.5114595039,30.177430339278636,ASSIGNED_WHEEL,52791.02268454429,-0.1733461872622194
2020-03-19,10.538000106811523,8.943400259017944,2,77.08789122030137,77.08789122030137,52776.5993507242,52.098001753950136,WIN,52791.02268454429,-0.027321565460616273
2020-03-26,11.053999900817871,10.100610103607178,2,114.20479185972323,114.20479185972323,52890.804142583926,63.663544607027646,WIN,52890.804142583926,0.0
2020-04-02,11.449000358581543,10.998829755783081,2,136.18780910215995,136.18780910215995,53026.99195168608,68.29160168600991,WIN,53026.99195168608,0.0
