Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-03,3.173304319381714,3.411127927303314,2,19.214205275625062,-28.350516308694992,49971.649483691304,39.40129571864019,LOSS,49971.649483691304,0.0
2019-01-04,3.376610040664673,3.205037362575531,2,18.053338107802457,18.053338107802457,49989.70282179911,39.40129571864019,WIN,49989.70282179911,0.0
2019-01-07,3.555370807647705,3.41037614107132,2,19.20997061328094,19.20997061328094,50008.91279241239,39.40129571864019,WIN,50008.91279241239,0.0
2019-01-08,3.466858386993408,3.5909245157241823,2,20.226963703746183,-4.586262042408627,50004.32653036998,39.40129571864019,LOSS,50008.91279241239,-0.009170889320162317
2019-01-09,3.5350401401519775,3.5015269708633423,2,19.72340511119258,19.72340511119258,50024.04993548118,39.40129571864019,WIN,50024.04993548118,0.0
2019-01-10,3.6007418632507324,3.5703905415534973,2,20.111299910640685,20.111299910640685,50044.16123539182,39.40129571864019,WIN,50044.16123539182,0.0
2019-01-11,3.6899988651275635,3.63674928188324,2,20.485085498780624,20.485085498780624,50064.6463208906,39.40129571864019,WIN,50064.6463208906,0.0
2019-01-14,3.7299158573150635,3.726898853778839,2,20.99288011007243,20.99288011007243,50085.639201000675,39.40129571864019,WIN,50085.639201000675,0.0
2019-01-15,3.7157835960388184,3.767215015888214,2,21.219973033939212,10.933689064060072,50096.57289006474,39.40129571864019,LOSS,50096.57289006474,0.0
2019-01-16,3.690246343612671,3.7529414319992065,2,21.13957277434559,8.600555097038473,50105.173445161774,39.40129571864019,LOSS,50105.173445161774,0.0
2019-01-17,3.761651039123535,3.7271488070487977,2,20.994288047136294,20.994288047136294,50126.16773320891,39.40129571864019,WIN,50126.16773320891,0.0
2019-01-18,3.8908259868621826,3.7992675495147705,2,21.400518581872223,21.400518581872223,50147.568251790784,39.40129571864019,WIN,50147.568251790784,0.0
2019-01-22,3.688511610031128,3.9297342467308045,2,22.135411542607216,-26.1091157973281,50121.45913599346,39.40129571864019,LOSS,50147.568251790784,-0.05206457004302589
2019-01-23,3.701403856277466,3.7253967261314394,2,20.984418923748652,16.185844952953946,50137.64498094641,39.40129571864019,LOSS,50147.568251790784,-0.019788139665216645
2019-01-24,3.9133870601654053,3.7384178948402407,2,21.057764577688193,21.057764577688193,50158.7027455241,39.40129571864019,WIN,50158.7027455241,0.0
2019-01-25,3.9706599712371826,3.9525209307670592,2,22.263764402410228,22.263764402410228,50180.966509926504,39.40129571864019,WIN,50180.966509926504,0.0
2019-01-28,3.421734571456909,4.010366570949555,2,22.589597390340778,-95.13680250818831,50085.829707418314,39.40129571864019,LOSS,50180.966509926504,-0.18958742552192723
2019-01-29,3.2628092765808105,3.455951917171478,2,19.466689896827834,-19.161838221305675,50066.66786919701,39.40129571864019,LOSS,50180.966509926504,-0.2277728961375939
