Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-09,3.5350401401519775,3.432189803123474,2,8.526458891470506,8.526458891470506,50008.52645889147,39.40129571864019,WIN,50008.52645889147,0.0
2019-01-10,3.6007418632507324,3.4996897387504577,2,8.694146420224486,8.694146420224486,50017.2206053117,39.40129571864019,WIN,50017.2206053117,0.0
2019-01-11,3.6899988651275635,3.564734444618225,2,8.85573451485276,8.85573451485276,50026.07633982655,39.40129571864019,WIN,50026.07633982655,0.0
2019-01-14,3.7299158573150635,3.653098876476288,2,9.075254919878219,9.075254919878219,50035.15159474643,39.40129571864019,WIN,50035.15159474643,0.0
2019-01-15,3.7157835960388184,3.692616698741913,2,9.173427546206065,9.173427546206065,50044.325022292636,39.40129571864019,WIN,50044.325022292636,0.0
2019-01-16,3.690246343612671,3.6786257600784302,2,9.138670388178644,9.138670388178644,50053.463692680816,39.40129571864019,WIN,50053.463692680816,0.0
2019-01-17,3.761651039123535,3.653343880176544,2,9.075863573273958,9.075863573273958,50062.53955625409,39.40129571864019,WIN,50062.53955625409,0.0
2019-01-18,3.8908259868621826,3.7240345287323,2,9.251477669083435,9.251477669083435,50071.79103392317,39.40129571864019,WIN,50071.79103392317,0.0
2019-01-22,3.688511610031128,3.8519177269935607,2,9.56917304592189,-23.11205034656467,50048.6789835766,39.40129571864019,LOSS,50071.79103392317,-0.046157826331609156
2019-01-25,3.9706599712371826,3.8742531895637513,2,9.624660188052957,9.624660188052957,50058.30364376466,39.40129571864019,WIN,50071.79103392317,-0.02693610490060403
2019-01-28,3.421734571456909,3.9309533715248106,2,9.765518298577586,-92.0782417150027,49966.225402049655,39.40129571864019,LOSS,50071.79103392317,-0.21082855175280835
2019-02-01,3.5883452892303467,3.5284085154533384,2,13.954855805221294,13.954855805221294,49980.180257854874,53.84740149334167,WIN,50071.79103392317,-0.18295885602779427
2019-02-04,3.698676347732544,3.5524618363380434,2,13.361473527314343,13.361473527314343,49993.54173138219,51.94370237524136,WIN,50071.79103392317,-0.15627422332060253
2019-02-05,3.7177677154541016,3.6616895842552184,2,13.30736223150327,13.30736223150327,50006.849093613695,50.69652467604587,WIN,50071.79103392317,-0.1296976580395836
2019-02-06,3.7933874130249023,3.6805900382995604,2,12.95927096843483,12.95927096843483,50019.80836458213,49.58426949253653,WIN,50071.79103392317,-0.10381627712461529
2019-02-07,3.6550400257110596,3.7554535388946535,2,13.113059029463244,-6.969643607255541,50012.838720974876,49.297076736888364,LOSS,50071.79103392317,-0.11773557871806847
2019-02-13,3.790411949157715,3.710534541606903,2,13.250468334358692,13.250468334358692,50026.089189309234,50.076013784870185,WIN,50071.79103392317,-0.09127263808672448
2019-02-14,3.8313212394714355,3.7525078296661376,2,13.412171354647922,13.412171354647922,50039.50136066388,50.10693931994783,WIN,50071.79103392317,-0.06448675510210806
2019-02-15,3.9009900093078613,3.7930080270767212,2,13.55400633400892,13.55400633400892,50053.05536699789,50.099376742678004,WIN,50071.79103392317,-0.037417608873993556
2019-02-19,3.883634567260742,3.8619801092147825,2,13.793569384431784,13.793569384431784,50066.848936382325,50.081819803477124,WIN,50071.79103392317,-0.00987002349785077
2019-02-20,3.93099045753479,3.844798221588135,2,13.542634251383765,13.542634251383765,50080.39157063371,49.597528782624906,WIN,50080.39157063371,0.0
2019-02-21,3.862064838409424,3.8916805529594423,2,13.151357037239933,7.228214127236246,50087.619784760944,48.1931804141706,LOSS,50087.619784760944,0.0
2019-02-25,3.9344613552093506,3.907389585971832,2,12.759187238520028,12.759187238520028,50100.37897199946,47.0739005531712,WIN,50100.37897199946,0.0
2019-02-26,3.895040512084961,3.895116741657257,2,12.683046238759108,12.667800324299858,50113.04677232376,46.98295444882844,LOSS,50113.04677232376,0.0
2019-03-04,3.8911125659942627,3.8440927147865294,2,5.318575218813592,5.318575218813592,50118.365347542574,28.589921066748644,WIN,50118.365347542574,0.0
2019-03-05,3.8846595287323,3.85220144033432,2,5.3291280467936435,5.3291280467936435,50123.69447558937,28.588222466103943,WIN,50123.69447558937,0.0
2019-03-06,3.7737185955047607,3.845812933444977,2,4.962857488577106,-9.45601009946612,50114.23846548991,27.675325800670493,LOSS,50123.69447558937,-0.018865349408889218
