Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-09,3.5350401401519775,3.466858386993408,144,2059.1001023780395,2059.1001023780395,52059.10010237804,39.40129571864019,WIN,52059.10010237804,0.0
2019-01-16,3.690246343612671,3.7157835960388184,140,2145.6422622528426,1788.120728286778,53847.22083066482,39.40129571864019,LOSS,53847.22083066482,0.0
2019-01-24,3.9133870601654053,3.701403856277466,145,2213.6723540692346,2213.6723540692346,56060.89318473405,39.40129571864019,WIN,56060.89318473405,0.0
2019-01-31,3.564049005508423,3.406362295150757,164,2304.164870106112,2304.164870106112,58365.05805484016,39.40129571864019,WIN,58365.05805484016,0.0
2019-02-07,3.6550400257110596,3.7933874130249023,153,3364.6640861817186,1247.9490602799242,59613.00711512009,49.297076736888364,LOSS,59613.00711512009,0.0
2019-02-14,3.8313212394714355,3.790411949157715,157,3531.3845395157296,3531.3845395157296,63144.39165463582,50.10693931994783,WIN,63144.39165463582,0.0
2019-02-22,3.9468581676483154,3.862064838409424,163,3555.5378365875918,3555.5378365875918,66699.92949122342,48.414284167027006,WIN,66699.92949122342,0.0
2019-03-01,3.8829219341278076,3.82856822013855,174,1736.8508933615271,1736.8508933615271,68436.78038458494,30.424493796589953,WIN,68436.78038458494,0.0
2019-03-08,3.7387242317199707,3.7044734954833984,184,1579.5594906404153,1579.5594906404153,70016.33987522536,28.70962875398919,WIN,70016.33987522536,0.0
2019-03-15,4.214501857757568,4.109022617340088,170,2087.0726955390783,2087.0726955390783,72103.41257076443,32.676006208203674,WIN,72103.41257076443,0.0
2019-03-22,4.405358791351318,4.565194129943848,157,2484.3411220047037,-25.07369389800624,72078.33887686642,35.506254718966574,LOSS,72103.41257076443,-0.03477462855645512
2019-03-29,4.45648717880249,4.399155616760254,163,2646.720656997787,2646.720656997787,74725.0595338642,36.83660909154169,WIN,74725.0595338642,0.0
2019-04-05,4.739174842834473,4.672411918640137,159,2564.932287782642,2564.932287782642,77289.99182164685,35.42545216043971,WIN,77289.99182164685,0.0
2019-04-12,4.715846538543701,4.753818511962891,162,2146.416074745493,1531.2701053546239,78821.26192700147,31.48884829353972,LOSS,78821.26192700147,0.0
2019-04-22,4.677624702453613,4.623766899108887,170,1751.7479509309653,1751.7479509309653,80573.00987793243,28.184412653045953,WIN,80573.00987793243,0.0
2019-04-29,4.450778484344482,4.420002460479736,182,1957.420135409312,1957.420135409312,82530.43001334174,29.395414504195802,WIN,82530.43001334174,0.0
2019-05-06,4.463686466217041,4.542112827301025,181,1830.0288431554136,410.5117075352964,82940.94172087703,28.169080851179267,LOSS,82940.94172087703,0.0
2019-05-13,3.932560682296753,4.189932823181152,197,1988.74350573443,-3081.4876696882384,79859.45405118879,29.25409045503947,LOSS,82940.94172087703,-3.715279337023252
2019-05-20,3.766272783279419,3.8849072456359863,205,2358.2236332342486,-73.78284507538274,79785.6712061134,32.51799888141143,LOSS,82940.94172087703,-3.8042376289651147
2019-05-28,3.5572969913482666,3.602468490600586,221,2283.94546907534,1285.6553355990827,81071.32654171248,31.971775884106847,LOSS,82940.94172087703,-2.2541523406575372
2019-06-04,3.553158760070801,3.324066638946533,243,2095.23114658457,2095.23114658457,83166.55768829705,30.34581535508083,WIN,83166.55768829705,0.0
2019-06-11,3.7457244396209717,3.688079357147217,225,3083.7515574255676,3083.7515574255676,86250.30924572262,36.985210522029476,WIN,86250.30924572262,0.0
2019-06-18,3.798649549484253,3.6035983562469482,239,2899.1959839789706,2899.1959839789706,89149.50522970158,34.914862649849425,WIN,89149.50522970158,0.0
2019-06-25,3.7638630867004395,3.7931830883026123,235,3040.277180809883,2351.257143158821,91500.7623728604,35.1778799647358,LOSS,91500.7623728604,0.0
2019-07-02,4.030971527099609,4.128869533538818,221,3069.3252658173315,905.7793235108129,92406.5416963712,34.900019541584626,LOSS,92406.5416963712,0.0
2019-07-10,3.977052688598633,3.9087226390838623,236,2790.8570894340346,2790.8570894340346,95197.39878580524,32.8988349479407,WIN,95197.39878580524,0.0
2019-07-17,4.216829299926758,4.151481628417969,229,2732.0873135467955,2732.0873135467955,97929.48609935204,32.0016078248881,WIN,97929.48609935204,0.0
2019-07-24,4.439211368560791,4.364670276641846,224,2482.1494028566176,2482.1494028566176,100411.63550220866,30.019742298195382,WIN,100411.63550220866,0.0
2019-07-31,4.192229270935059,4.3594512939453125,230,2280.1894794134246,-1565.9170498224153,98845.71845238625,28.453810115496676,LOSS,100411.63550220866,-1.5594976040281388
2019-08-07,3.823745012283325,3.78548002243042,261,3215.3947730710624,3215.3947730710624,102061.11322545732,34.253374467858876,WIN,102061.11322545732,0.0
2019-08-14,3.7288289070129395,3.8774147033691406,263,3430.5159608818167,-477.29048328627414,101583.82274217105,34.901942406664595,LOSS,102061.11322545732,-0.4676516532128302
2019-08-21,4.25459623336792,4.171109199523926,243,4713.307410531336,4713.307410531336,106297.13015270239,42.510719886085916,WIN,106297.13015270239,0.0
2019-08-28,4.009840488433838,4.02028751373291,264,5205.091491461456,4929.290023565948,111226.42017626834,44.01358200075069,LOSS,111226.42017626834,0.0
2019-09-05,4.470468044281006,4.19737434387207,264,4906.350051389786,4906.350051389786,116132.77022765813,41.194548798264336,WIN,116132.77022765813,0.0
2019-09-12,4.583138465881348,4.584629058837891,253,5243.238104515893,5205.526102715356,121338.29633037349,41.742923281379994,LOSS,121338.29633037349,0.0
2019-09-19,4.400826454162598,4.476436614990234,271,3942.389015777885,1893.35365734893,123231.64998772241,34.2261252856786,LOSS,123231.64998772241,0.0
2019-09-26,4.4107747077941895,4.432910442352295,277,3622.3074226993012,3009.1475754397798,126240.7975631622,32.452216887392964,LOSS,126240.7975631622,0.0
2019-10-03,4.509516716003418,4.303825855255127,293,3560.1925222234077,3560.1925222234077,129800.99008538561,31.70264286826626,WIN,129800.99008538561,0.0
2019-10-10,4.552296161651611,4.494593620300293,288,3594.963795604318,3594.963795604318,133395.95388098992,31.430304961963888,WIN,133395.95388098992,0.0
2019-10-17,4.8323540687561035,4.830363750457764,276,4274.299577846722,4274.299577846722,137670.25345883664,33.96749863098145,WIN,137670.25345883664,0.0
2019-10-24,4.896274566650391,4.852250576019287,283,4158.094710709177,4158.094710709177,141828.34816954582,32.91425465908071,WIN,141828.34816954582,0.0
2019-10-31,4.9997406005859375,5.0489888191223145,280,4267.878779657107,2888.928660638552,144717.27683018436,32.86009059691172,LOSS,144717.27683018436,0.0
2019-11-07,5.181801795959473,5.164144039154053,280,3831.9969531241104,3831.9969531241104,148549.27378330848,30.678438210110805,WIN,148549.27378330848,0.0
2019-11-14,5.21786642074585,5.187523365020752,286,3202.5964180410515,3202.5964180410515,151751.87020134952,27.770565732057207,WIN,151751.87020134952,0.0
2019-11-21,5.227566242218018,5.252439022064209,288,3775.7719760898312,3059.4359165195187,154811.30611786904,29.766795958653983,LOSS,154811.30611786904,0.0
2019-11-29,5.3947038650512695,5.432040214538574,284,4078.876570829751,3018.524245390298,157829.83036325933,30.642035571591663,LOSS,157829.83036325933,0.0
2019-12-06,5.2809553146362305,5.195582866668701,303,4129.713249526838,4129.713249526838,161959.54361278616,30.51947461085711,WIN,161959.54361278616,0.0
2019-12-13,5.575157642364502,5.577149391174316,290,4570.132144792239,4512.37142930762,166471.91504209378,31.71677527757421,LOSS,166471.91504209378,0.0
2019-12-20,5.9579691886901855,5.860647678375244,284,3983.848565602607,3983.848565602607,170455.7636076964,29.160314197695595,WIN,170455.7636076964,0.0
2019-12-30,5.782492637634277,5.8957438468933105,289,3266.868003964005,-6.091943622054714,170449.67166407435,26.34303208151005,LOSS,170455.7636076964,-0.0035739147172890477
2020-01-07,5.971907615661621,5.900472640991211,288,2962.4792215959005,2962.4792215959005,173412.15088567024,25.313594360891734,WIN,173412.15088567024,0.0
2020-01-14,6.154851913452148,6.271834850311279,276,2950.1279325302285,-278.60112478178326,173133.54976088845,25.082568371457278,LOSS,173412.15088567024,-0.16065836411052614
2020-01-22,6.225289821624756,6.171278476715088,280,3067.4422689494154,3067.4422689494154,176200.99202983786,25.502126482050425,WIN,176200.99202983786,0.0
2020-01-29,6.111542224884033,6.172024726867676,285,4188.479142457044,2464.7278359232305,178665.7198657611,29.086978831092885,LOSS,178665.7198657611,0.0
2020-02-05,6.24146842956543,6.15111780166626,290,4734.591276547546,4734.591276547546,183400.31114230864,30.702343494120207,WIN,183400.31114230864,0.0
2020-02-12,6.783577919006348,6.6678385734558105,275,5340.89756058304,5340.89756058304,188741.2087028917,32.231794208836476,WIN,188741.2087028917,0.0
2020-02-20,7.683608055114746,7.832948207855225,240,7099.9846646563865,3515.820998884902,192257.0297017766,37.3436920026099,LOSS,192257.0297017766,0.0
2020-02-27,6.2910284996032715,6.661864757537842,288,9235.118952725385,-1444.9652757902404,190812.06442598635,43.476605337095364,LOSS,192257.0297017766,-0.7515799438031674
2020-03-05,6.806313991546631,7.08574914932251,269,11091.401259781182,3574.595515610039,194386.6599415964,49.42566879514589,LOSS,194386.6599415964,0.0
2020-03-12,5.387220859527588,6.138358116149902,316,13267.368085126474,-10468.569224138662,183918.09071745773,55.46499544967381,LOSS,194386.6599415964,-5.385436031095933
2020-03-19,5.304039478302002,5.05125093460083,364,18809.95258088106,18809.95258088106,202728.0432983388,75.52313217823027,WIN,202728.0432983388,0.0
2020-03-26,6.406586647033691,6.117189407348633,331,23506.00383706215,23506.00383706215,226234.04713540096,80.0,WIN,226234.04713540096,0.0
2020-04-02,6.3625054359436035,6.053681373596191,373,25851.195522423273,25851.195522423273,252085.24265782424,80.0,WIN,252085.24265782424,0.0
2020-04-09,6.548794746398926,6.648414134979248,379,28918.709355380557,25143.134528186343,277228.3771860106,80.0,LOSS,277228.3771860106,0.0
2020-04-17,7.280258655548096,7.339530944824219,377,20951.89286080947,18717.32755509963,295945.7047411102,59.79686589653927,LOSS,295945.7047411102,0.0
2020-04-24,7.212266445159912,7.073296070098877,418,18416.28805449179,18416.28805449179,314361.992795602,51.85004332027604,WIN,314361.992795602,0.0
2020-05-01,7.042663097381592,7.279261112213135,431,17141.397170226002,6944.0227309865,321306.01552658854,47.32329840870592,LOSS,321306.01552658854,0.0
2020-05-08,7.782842636108398,7.59281587600708,423,13414.110383648067,13414.110383648067,334720.1259102366,39.70885735079102,WIN,334720.1259102366,0.0
2020-05-15,8.458517074584961,8.000016212463379,418,13246.700595761116,13246.700595761116,347966.82650599774,38.43551996689507,WIN,347966.82650599774,0.0
2020-05-22,8.991985321044922,8.741937637329102,398,11586.63226007977,11586.63226007977,359553.4587660775,34.70155337065687,WIN,359553.4587660775,0.0
2020-06-01,8.772820472717285,8.841805458068848,406,13162.034469017002,10361.244063743565,369914.7028298211,36.69152358103675,LOSS,369914.7028298211,0.0
2020-06-08,8.775577545166016,8.890193939208984,416,12731.784076748572,7963.742084561072,377878.4449143822,35.36660877268645,LOSS,377878.4449143822,0.0
2020-06-15,9.143095016479492,8.902654647827148,424,14484.228222170312,14484.228222170312,392362.6731365525,37.70094822908551,WIN,392362.6731365525,0.0
2020-06-22,9.494918823242188,9.230302810668945,425,13319.24105409666,13319.24105409666,405681.9141906492,35.08670133903439,WIN,405681.9141906492,0.0
2020-06-29,9.169258117675781,9.124408721923828,444,13137.879653284548,13137.879653284548,418819.79384393373,34.18543278110359,WIN,418819.79384393373,0.0
2020-07-07,9.838763236999512,9.806373596191406,427,14076.252929451726,14076.252929451726,432896.04677338543,34.887709809032614,WIN,432896.04677338543,0.0
2020-07-14,10.342327117919922,10.018662452697754,432,12854.197831842937,12854.197831842937,445750.24460522836,32.570556236455126,WIN,445750.24460522836,0.0
2020-07-21,10.293987274169922,10.475629806518555,425,13883.22715318546,6163.419528368566,451913.66413359693,33.448258650766164,LOSS,451913.66413359693,0.0
2020-07-28,10.181366920471191,10.386676788330078,435,12937.497155821418,4006.517903959846,455920.1820375568,31.940195383355785,LOSS,455920.1820375568,0.0
2020-08-04,11.190232276916504,10.97346019744873,415,13825.567418221697,13825.567418221697,469745.74945577845,32.960784292523506,WIN,469745.74945577845,0.0
2020-08-11,10.81374454498291,11.127692222595215,422,11833.521199425306,-1415.070795813952,468330.6786599645,29.908380180561934,LOSS,469745.74945577845,-0.30124185209836335
2020-08-18,12.219780921936035,12.29577350616455,380,15716.233131534193,12828.514930850599,481159.1935908151,34.89953981669832,LOSS,481159.1935908151,0.0
2020-08-25,12.707395553588867,12.677743911743164,379,15877.778007467767,15877.778007467767,497036.97159828286,34.54981099232705,WIN,497036.97159828286,0.0
2020-09-01,13.778938293457031,13.329812049865723,372,16135.416248564214,16135.416248564214,513172.38784684706,34.25073119531147,WIN,513172.38784684706,0.0
2020-09-09,12.676305770874023,11.876745223999023,432,26212.461932399736,26212.461932399736,539384.8497792468,45.22460597696039,WIN,539384.8497792468,0.0
2020-09-16,12.476412773132324,12.95146369934082,416,27976.023843451134,8213.905313177696,547598.7550924246,45.71905336225883,LOSS,547598.7550924246,0.0
