Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2020-10-01,9.460000038146973,9.5,2,47.457361125844564,39.457368755239095,50039.45736875524,48.04220405746553,LOSS,50039.45736875524,0.0
2020-10-02,9.199999809265137,9.460000038146973,2,47.257540848509926,-4.7425049278572615,50034.71486382738,48.04220405746553,LOSS,50039.45736875524,-0.009477530687257403
2020-10-05,9.029999732971191,9.199999809265137,2,45.95870666378914,11.958691405000074,50046.67355523238,48.04220405746553,LOSS,50046.67355523238,0.0
2020-10-06,9.899999618530273,9.029999732971191,2,45.10946929409409,45.10946929409409,50091.78302452648,48.04220405746553,WIN,50091.78302452648,0.0
2020-10-07,10.0,9.899999618530273,2,49.45556389919103,49.45556389919103,50141.238588425666,48.04220405746553,WIN,50141.238588425666,0.0
2020-10-08,10.0,10.0,2,49.95511697457323,49.95511697457323,50191.19370540024,48.04220405746553,WIN,50191.19370540024,0.0
2020-10-09,9.949999809265137,10.0,2,49.95511697457323,39.95507882760057,50231.148784227844,48.04220405746553,LOSS,50231.148784227844,0.0
2020-10-12,9.890000343322754,9.949999809265137,2,49.705340436882125,37.70544724840556,50268.85423147625,48.04220405746553,LOSS,50268.85423147625,0.0
2020-10-13,9.470000267028809,9.890000343322754,2,49.40561240292576,-34.5944028558633,50234.25982862039,48.04220405746553,LOSS,50268.85423147625,-0.06881876140754467
2020-10-14,9.34000015258789,9.470000267028809,2,47.307497108866386,21.307474220682792,50255.56730284107,48.04220405746553,LOSS,50268.85423147625,-0.026431731612584594
2020-10-15,9.90999984741211,9.34000015258789,2,46.658080016506,46.658080016506,50302.22538285757,48.04220405746553,WIN,50302.22538285757,0.0
2020-10-16,9.710000038146973,9.90999984741211,2,49.50552015954749,9.505558306520143,50311.73094116409,48.04220405746553,LOSS,50311.73094116409,0.0
2020-10-19,9.569999694824219,9.710000038146973,2,48.506418772874255,20.506350108323474,50332.23729127241,48.04220405746553,LOSS,50332.23729127241,0.0
2020-10-20,9.270000457763672,9.569999694824219,2,47.8070454201574,-12.192801991951974,50320.04448928046,48.04220405746553,LOSS,50332.23729127241,-0.02422463742549504
2020-10-21,9.199999809265137,9.270000457763672,2,46.30839572219316,32.30826602248613,50352.35275530294,48.04220405746553,LOSS,50352.35275530294,0.0
2020-10-22,9.680000305175781,9.199999809265137,2,45.95870666378914,45.95870666378914,50398.31146196673,48.04220405746553,WIN,50398.31146196673,0.0
2020-10-23,9.489999771118164,9.680000305175781,2,48.35655475589608,10.35644794437264,50408.667909911106,48.04220405746553,LOSS,50408.667909911106,0.0
2020-10-26,9.949999809265137,9.489999771118164,2,47.407404865488104,47.407404865488104,50456.07531477659,48.04220405746553,WIN,50456.07531477659,0.0
2020-10-27,10.949999809265137,9.949999809265137,2,49.705340436882125,49.705340436882125,50505.78065521348,48.04220405746553,WIN,50505.78065521348,0.0
2020-10-28,10.850000381469727,10.949999809265137,2,54.70085213433945,34.70096657525742,50540.481621788735,48.04220405746553,LOSS,50540.481621788735,0.0
2020-10-29,10.75,10.850000381469727,2,53.81823821180416,33.818161917858845,50574.29978370659,47.80867956264058,LOSS,50574.29978370659,0.0
2020-10-30,10.130000114440918,10.75,2,53.43751142988089,-70.56246568193552,50503.73731802466,47.87961998270614,LOSS,50574.29978370659,-0.1395223779344692
2020-11-02,10.539999961853027,10.130000114440918,2,52.59170643239393,52.59170643239393,50556.32902445705,49.33972721438359,WIN,50574.29978370659,-0.03553338222456081
2020-11-03,10.5,10.539999961853027,2,55.067102668476174,47.067110297870705,50603.39613475493,49.55736707992239,LOSS,50603.39613475493,0.0
2020-11-04,10.720000267028809,10.5,2,48.348970549494844,48.348970549494844,50651.74510530442,45.456988623797436,WIN,50651.74510530442,0.0
2020-11-05,11.880000114440918,10.720000267028809,2,49.58410328316104,49.58410328316104,50701.32920858758,45.59403055074402,WIN,50701.32920858758,0.0
2020-11-06,13.829999923706055,11.880000114440918,2,64.13058522334913,64.13058522334913,50765.45979381093,50.705719339128215,WIN,50765.45979381093,0.0
2020-11-09,14.670000076293945,13.829999923706055,2,93.79992000210953,93.79992000210953,50859.25971381304,59.86103808611447,WIN,50859.25971381304,0.0
2020-11-10,14.0,14.670000076293945,2,100.33041324117879,-33.66960201761027,50825.59011179543,60.23676226857269,LOSS,50859.25971381304,-0.06620151808553583
