Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2020-10-01,9.460000038146973,9.5475,4,113.9147222516889,78.91473751047819,50078.91473751048,48.04220405746553,LOSS,50078.91473751048,0.0
2020-10-02,9.199999809265137,9.507300038337707,4,113.43508177331363,-9.485009855714523,50069.429727654766,48.04220405746553,LOSS,50078.91473751048,-0.01894012660903356
2020-10-05,9.029999732971191,9.245999808311462,4,110.31741294610823,23.91738281000015,50093.34711046477,48.04220405746553,LOSS,50093.34711046477,0.0
2020-10-06,9.899999618530273,9.075149731636046,4,108.2789380541299,108.2789380541299,50201.6260485189,48.04220405746553,WIN,50201.6260485189,0.0
2020-10-07,10.0,9.949499616622925,4,118.71112703544252,118.71112703544252,50320.33717555434,48.04220405746553,WIN,50320.33717555434,0.0
2020-10-08,10.0,10.049999999999999,4,119.91023394914603,99.91023394914646,50420.247409503485,48.04220405746553,LOSS,50420.247409503485,0.0
2020-10-09,9.949999809265137,10.049999999999999,4,119.91023394914603,79.91015765520115,50500.15756715868,48.04220405746553,LOSS,50500.15756715868,0.0
2020-10-12,9.890000343322754,9.999749808311462,4,119.31068049229427,75.41089449681112,50575.56846165549,48.04220405746553,LOSS,50575.56846165549,0.0
2020-10-13,9.470000267028809,9.939450345039367,4,118.59122549249665,-69.18880571172662,50506.37965594377,48.04220405746553,LOSS,50575.56846165549,-0.13680282360875728
2020-10-14,9.34000015258789,9.517350268363952,4,113.55499475179012,42.6149484413656,50548.99460438514,48.04220405746553,LOSS,50575.56846165549,-0.05254287411619132
2020-10-15,9.90999984741211,9.386700153350828,4,111.99616033818707,111.99616033818707,50660.99076472333,48.04220405746553,WIN,50660.99076472333,0.0
2020-10-16,9.710000038146973,9.95954984664917,4,118.83104001391898,19.011116613040272,50680.001881336364,48.04220405746553,LOSS,50680.001881336364,0.0
2020-10-19,9.569999694824219,9.758550038337706,4,116.43283762204182,41.012700216646934,50721.01458155301,48.04220405746553,LOSS,50721.01458155301,0.0
2020-10-20,9.270000457763672,9.61784969329834,4,114.75409022996301,-24.38560398390395,50696.62897756911,48.04220405746553,LOSS,50721.01458155301,-0.04807791047770172
2020-10-21,9.199999809265137,9.316350460052488,4,111.15679235991296,64.61653204497226,50761.245509614084,48.04220405746553,LOSS,50761.245509614084,0.0
2020-10-22,9.680000305175781,9.245999808311462,4,110.31741294610823,110.31741294610823,50871.562922560195,48.04220405746553,WIN,50871.562922560195,0.0
2020-10-23,9.489999771118164,9.728400306701658,4,116.07311012214304,20.71289588874528,50892.27581844894,48.04220405746553,LOSS,50892.27581844894,0.0
2020-10-26,9.949999809265137,9.537449769973755,4,113.79480927321244,113.79480927321244,51006.070627722154,48.04220405746553,WIN,51006.070627722154,0.0
2020-10-27,10.949999809265137,9.999749808311462,4,119.31068049229427,119.31068049229427,51125.38130821445,48.04220405746553,WIN,51125.38130821445,0.0
2020-10-28,10.850000381469727,11.00474980831146,4,131.30170388720853,69.40193315051485,51194.78324136496,48.04220405746553,LOSS,51194.78324136496,0.0
2020-10-29,10.75,10.904250383377073,4,129.33647718654706,67.63632383571769,51262.419565200675,47.80867956264058,LOSS,51262.419565200675,0.0
2020-10-30,10.130000114440918,10.803749999999999,4,128.3750228597614,-141.12493136387107,51121.294633836806,47.87961998270614,LOSS,51262.419565200675,-0.27529900570606564
2020-11-02,10.539999961853027,10.18065011501312,4,125.44341309366898,125.44341309366898,51246.73804693048,49.33972721438359,WIN,51262.419565200675,-0.030590671301131685
2020-11-03,10.5,10.59269996166229,4,131.21420526065774,94.13422059574143,51340.87226752622,49.55736707992239,LOSS,51340.87226752622,0.0
2020-11-04,10.720000267028809,10.552499999999998,4,117.69794109898906,117.69794109898906,51458.570208625206,45.456988623797436,WIN,51458.570208625206,0.0
2020-11-05,11.880000114440918,10.773600268363952,4,120.60820710037927,120.60820710037927,51579.17841572558,45.59403055074402,WIN,51579.17841572558,0.0
2020-11-06,13.829999923706055,11.939400115013122,4,152.02117067557975,152.02117067557975,51731.19958640116,50.705719339128215,WIN,51731.19958640116,0.0
2020-11-09,14.670000076293945,13.899149923324584,4,215.25983985163091,215.25983985163091,51946.45942625279,59.86103808611447,WIN,51946.45942625279,0.0
2020-11-10,14.0,14.743350076675414,4,230.00082663494504,-67.33920403522052,51879.12022221757,60.23676226857269,LOSS,51946.45942625279,-0.12963194177038975
2020-11-11,15.960000038146973,14.069999999999999,4,220.14516886930977,220.14516886930977,52099.26539108688,60.39002968309867,WIN,52099.26539108688,0.0
2020-11-12,14.579999923706055,16.039800038337706,4,270.71038995446446,-313.209655898196,51786.05573518869,64.48151516132049,LOSS,52099.26539108688,-0.6011786414780766
2020-11-13,15.800000190734863,14.652899923324583,4,263.24983854053534,263.24983854053534,52049.30557372922,68.09872263975657,WIN,52099.26539108688,-0.09589351593085367
2020-11-16,15.930000305175781,15.879000191688537,4,287.6283068441614,287.6283068441614,52336.933880573386,68.59076102183647,WIN,52336.933880573386,0.0
2020-11-17,17.850000381469727,16.00965030670166,4,287.93607140909984,287.93607140909984,52624.86995198249,68.16333859610234,WIN,52624.86995198249,0.0
2020-11-18,17.899999618530273,17.939250383377072,4,329.18069517875585,313.4803892400365,52938.350341222525,69.37513413367103,LOSS,52938.350341222525,0.0
2020-11-19,18.979999542236328,17.989499616622922,4,328.7986811239375,328.7986811239375,53267.149022346464,69.13419436193084,WIN,53267.149022346464,0.0
2020-11-20,18.149999618530273,19.07489953994751,4,349.2124879598364,-20.747480607057923,53246.401541739404,69.23450344937959,LOSS,53267.149022346464,-0.03894986119560577
2020-11-23,21.040000915527344,18.240749616622924,4,339.34690852578836,339.34690852578836,53585.74845026519,70.21947482206407,WIN,53585.74845026519,0.0
2020-11-24,23.81999969482422,21.14520092010498,4,420.2420458730373,420.2420458730373,54005.99049613823,74.44169916127262,WIN,54005.99049613823,0.0
2020-11-25,29.049999237060547,23.93909969329834,4,485.17201988557906,485.17201988557906,54491.1625160238,75.74732009292286,WIN,54491.1625160238,0.0
2020-11-27,27.65999984741211,29.195249233245846,4,651.1200925917473,37.020338258252536,54528.18285428206,80.0,LOSS,54528.18285428206,0.0
2020-11-30,27.110000610351562,27.79829984664917,4,632.720501458898,357.4008069398555,54885.583661221914,80.0,LOSS,54885.583661221914,0.0
2020-12-01,25.670000076293945,27.245550613403317,4,606.3556267565334,-23.86458808721534,54861.7190731347,80.0,LOSS,54885.583661221914,-0.04348061274981864
2020-12-02,22.510000228881836,25.798350076675412,4,594.3771508220269,-720.9627882954034,54140.7562848393,80.0,LOSS,54885.583661221914,-1.3570546702755653
2020-12-03,24.030000686645508,22.622550230026242,4,561.6229290767187,561.6229290767187,54702.37921391602,80.0,WIN,54885.583661221914,-0.33379338450094853
2020-12-04,23.850000381469727,24.150150690078732,4,599.5526165503445,479.49249310674236,55181.871707022765,80.0,LOSS,55181.871707022765,0.0
2020-12-07,28.940000534057617,23.969250383377073,4,592.1789804731123,592.1789804731123,55774.050687495874,80.0,WIN,55774.050687495874,0.0
2020-12-08,28.59000015258789,29.0847005367279,4,746.0104487317312,548.1302950757271,56322.1809825716,80.0,LOSS,56322.1809825716,0.0
2020-12-09,26.6299991607666,28.732950153350828,4,741.1964102053527,-99.98398682833783,56222.19699574326,80.0,LOSS,56322.1809825716,-0.17752151121292178
2020-12-10,27.040000915527344,26.76314915657043,4,697.6729575104439,697.6729575104439,56919.86995325371,80.0,WIN,56919.86995325371,0.0
2020-12-11,27.200000762939453,27.175200920104977,4,689.7637836271722,689.7637836271722,57609.63373688088,80.0,WIN,57609.63373688088,0.0
2020-12-14,27.239999771118164,27.336000766754147,4,669.5300642012876,631.1296659468945,58240.763402827775,80.0,LOSS,58240.763402827775,0.0
2020-12-15,26.43000030517578,27.376199769973752,4,667.8124035816858,289.33261766249746,58530.09602049027,80.0,LOSS,58530.09602049027,0.0
2020-12-16,25.920000076293945,26.562150306701657,4,653.5135781191134,396.65348595602876,58926.7495064463,80.0,LOSS,58926.7495064463,0.0
2020-12-17,27.229999542236328,26.04960007667541,4,628.9501272294052,628.9501272294052,59555.69963367571,80.0,WIN,59555.69963367571,0.0
2020-12-18,25.969999313354492,27.366149539947507,4,661.2381232295527,102.77803259234668,59658.47766626805,80.0,LOSS,59658.47766626805,0.0
2020-12-21,28.510000228881836,26.09984930992126,4,636.3892271787438,636.3892271787438,60294.86689344679,80.0,WIN,60294.86689344679,0.0
2020-12-22,28.040000915527344,28.652550230026243,4,700.6914680459493,455.6717422463895,60750.538635693185,80.0,LOSS,60750.538635693185,0.0
2020-12-23,28.690000534057617,28.180200920104976,4,655.8578347123026,655.8578347123026,61406.39647040549,80.0,WIN,61406.39647040549,0.0
2020-12-24,27.75,28.833450536727902,4,642.772777706492,209.39256301533112,61615.78903342082,80.0,LOSS,61615.78903342082,0.0
2020-12-28,25.6299991607666,27.888749999999998,4,522.3093461402176,-381.1909895531411,61234.59804386768,70.63339817872463,LOSS,61615.78903342082,-0.6186579698693495
2020-12-29,24.65999984741211,25.758149156570433,4,490.42052943657114,51.16080577324186,61285.75884964092,71.66745947186965,LOSS,61615.78903342082,-0.53562599612396
2020-12-30,25.100000381469727,24.783299846649168,4,473.9643309372477,473.9643309372477,61759.72318057817,71.9496808126853,WIN,61759.72318057817,0.0
2020-12-31,23.549999237060547,25.22550038337707,4,477.0522130308889,-193.14824549572063,61566.57493508245,71.24227007345488,LOSS,61759.72318057817,-0.31274143656858605
2021-01-04,23.3700008392334,23.667749233245846,4,422.297831355954,303.1984737509748,61869.773408833425,67.6900313383837,LOSS,61869.773408833425,0.0
2021-01-05,24.600000381469727,23.48685084342956,4,409.72703671052653,409.72703671052653,62279.50044554395,66.36785351667898,WIN,62279.50044554395,0.0
2021-01-06,23.540000915527344,24.723000383377073,4,437.19428176977465,-36.00550537011708,62243.494940173834,67.16140049496968,LOSS,62279.50044554395,-0.05781277163839321
2021-01-07,25.0,23.65770092010498,4,295.9034157153418,295.9034157153418,62539.39835588918,49.95777654545885,WIN,62539.39835588918,0.0
2021-01-08,25.200000762939453,25.124999999999996,4,330.9810157794052,330.9810157794052,62870.37937166858,52.17029454413127,WIN,62870.37937166858,0.0
2021-01-11,25.93000030517578,25.32600076675415,4,319.4641305672495,319.4641305672495,63189.84350223583,50.31134675691094,WIN,63189.84350223583,0.0
2021-01-12,26.18000030517578,26.05965030670166,4,331.07324721209426,331.07324721209426,63520.916749447926,50.61168552684648,WIN,63520.916749447926,0.0
2021-01-13,25.5,26.310900306701658,4,334.5075500150733,10.14742733441011,63531.06417678233,50.64229564789313,LOSS,63531.06417678233,0.0
2021-01-14,24.920000076293945,25.627499999999998,4,327.89920107401014,44.89923159158917,63575.96340837392,50.91207962128934,LOSS,63575.96340837392,0.0
2021-01-15,25.639999389648438,25.04460007667541,4,319.2672365149997,319.2672365149997,63895.23064488892,50.75629322130682,WIN,63895.23064488892,0.0
2021-01-19,26.6200008392334,25.768199386596677,4,330.416421702801,330.416421702801,64225.64706659172,51.00456193916224,WIN,64225.64706659172,0.0
2021-01-20,26.34000015258789,26.753100843429564,4,338.9752309201826,173.73495458351312,64399.38202117523,50.49888869037048,LOSS,64399.38202117523,0.0
2021-01-21,25.979999542236328,26.471700153350827,4,327.5603588341013,130.8801143883016,64530.262135563535,49.51333830442095,LOSS,64530.262135563535,0.0
2021-01-22,32.58000183105469,26.109899539947506,4,283.85418650315165,283.85418650315165,64814.116322066686,44.519551635951444,WIN,64814.116322066686,0.0
2021-01-25,36.22999954223633,32.74290184020996,4,600.4267728276127,600.4267728276127,65414.543094894296,69.33481724589171,WIN,65414.543094894296,0.0
2021-01-26,35.369998931884766,36.41114953994751,4,699.9821496937658,283.5219064686685,65698.06500136296,72.28220996667062,LOSS,65698.06500136296,0.0
2021-01-27,39.0,35.546848926544186,4,680.9884843283146,680.9884843283146,66379.05348569129,72.05985941108142,WIN,66379.05348569129,0.0
