Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2020-10-07,10.0,9.899999618530273,50,2764.650068604392,2764.650068604392,52764.650068604395,48.04220405746553,WIN,52764.650068604395,0.0
2020-10-14,9.34000015258789,9.470000267028809,55,2909.0264329719994,2194.0258035469506,54958.67587215135,48.04220405746553,LOSS,54958.67587215135,0.0
2020-10-21,9.199999809265137,9.270000457763672,59,3054.6872625316387,2641.6834363902813,57600.35930854163,48.04220405746553,LOSS,57600.35930854163,0.0
2020-10-28,10.850000381469727,10.949999809265137,52,3180.1854187882336,2660.188394252101,60260.54770279373,48.04220405746553,LOSS,60260.54770279373,0.0
2020-11-04,10.720000267028809,10.5,57,3081.1801665379653,3081.1801665379653,63341.7278693317,45.456988623797436,WIN,63341.7278693317,0.0
2020-11-11,15.960000038146973,14.0,45,4833.558665324487,4833.558665324487,68175.28653465619,60.39002968309867,WIN,68175.28653465619,0.0
2020-11-18,17.899999618530273,17.850000381469727,38,6234.306436577307,6234.306436577307,74409.59297123349,69.37513413367103,WIN,74409.59297123349,0.0
2020-11-25,29.049999237060547,23.81999969482422,31,7582.222886253434,7582.222886253434,81991.81585748693,75.74732009292286,WIN,81991.81585748693,0.0
2020-12-03,24.030000686645508,22.510000228881836,36,10396.43339190712,10396.43339190712,92388.24924939405,80.0,WIN,92388.24924939405,0.0
2020-12-10,27.040000915527344,26.6299991607666,34,12248.085049789739,12248.085049789739,104636.33429918379,80.0,WIN,104636.33429918379,0.0
2020-12-17,27.229999542236328,25.920000076293945,40,12904.574746473092,12904.574746473092,117540.90904565688,80.0,WIN,117540.90904565688,0.0
2020-12-24,27.75,28.690000534057617,40,13089.780421007637,9329.778284777169,126870.68733043406,80.0,LOSS,126870.68733043406,0.0
2021-01-04,23.3700008392334,23.549999237060547,53,11116.324136180627,10162.33262769674,137033.01995813078,67.6900313383837,LOSS,137033.01995813078,0.0
2021-01-11,25.93000030517578,25.200000762939453,54,8122.216718384299,8122.216718384299,145155.23667651508,50.31134675691094,WIN,145155.23667651508,0.0
2021-01-19,26.6200008392334,25.639999389648438,56,8738.352233143227,8738.352233143227,153893.5889096583,51.00456193916224,WIN,153893.5889096583,0.0
2021-01-26,35.369998931884766,36.22999954223633,42,14733.412954567031,11121.410391090469,165014.99930074878,72.28220996667062,LOSS,165014.99930074878,0.0
2021-02-02,31.020000457763672,33.959999084472656,48,15989.797214189806,1877.8038059866813,166892.80310673546,73.03207117746882,LOSS,166892.80310673546,0.0
2021-02-09,38.16999816894531,36.04999923706055,46,16823.721272078623,16823.721272078623,183716.5243788141,75.01958596191736,WIN,183716.5243788141,0.0
2021-02-17,27.079999923706055,27.84000015258789,65,21100.03866550455,16160.037177772618,199876.5615565867,80.0,LOSS,199876.5615565867,0.0
2021-02-24,26.389999389648438,26.75,74,18741.354493577524,16077.349976975962,215953.91153356267,71.0117951135929,LOSS,215953.91153356267,0.0
2021-03-03,23.59000015258789,24.479999542236328,88,19255.48590806119,11423.49127915494,227377.4028127176,67.88036292364396,LOSS,227377.4028127176,0.0
2021-03-10,24.75,24.260000228881836,93,19742.098073070705,19742.098073070705,247119.5008857883,66.76706919844565,WIN,247119.5008857883,0.0
2021-03-17,25.209999084472656,25.610000610351562,96,19326.148327920208,15486.133679482708,262605.634565271,61.50487792980363,LOSS,262605.634565271,0.0
2021-03-24,21.8799991607666,23.260000228881836,112,15420.533292292377,-35.478670598247845,262570.15589467273,50.01915626053219,LOSS,262605.634565271,-0.013510247278956347
2021-03-31,23.290000915527344,22.040000915527344,119,14708.3636227301,14708.3636227301,277278.5195174028,48.17720609446892,WIN,277278.5195174028,0.0
2021-04-08,23.40999984741211,22.899999618530273,121,12979.688421588253,12979.688421588253,290258.2079389911,42.712610899362886,WIN,290258.2079389911,0.0
2021-04-15,23.149999618530273,23.700000762939453,122,15112.387535466889,8402.373573674897,298660.58151266596,45.92138323816242,LOSS,298660.58151266596,0.0
2021-04-22,22.860000610351562,22.6299991607666,131,15308.118643755068,15308.118643755068,313968.70015642105,45.549211707817776,WIN,313968.70015642105,0.0
2021-04-29,23.3700008392334,23.850000381469727,131,14663.097964231089,8375.10396093519,322343.80411735625,42.76515308345788,LOSS,322343.80411735625,0.0
2021-05-06,20.09000015258789,21.149999618530273,152,14869.87254486426,-1242.1193374599588,321101.6847798963,42.36448734808556,LOSS,322343.80411735625,-0.3853399139658188
2021-05-13,18.3700008392334,18.889999389648438,169,15876.13495872874,7088.15945671458,328189.84423661086,44.42118465293434,LOSS,328189.84423661086,0.0
2021-05-20,20.610000610351562,20.670000076293945,158,19211.096766903964,18263.105205014315,346452.94944162515,49.80075103474958,LOSS,346452.94944162515,0.0
2021-05-27,22.700000762939453,22.1200008392334,156,20308.401473686357,20308.401473686357,366761.3509153115,49.81769567719181,WIN,366761.3509153115,0.0
2021-06-04,24.030000686645508,23.6299991607666,155,22103.433710216017,22103.433710216017,388864.7846255275,50.702478247801984,WIN,388864.7846255275,0.0
2021-06-11,24.670000076293945,24.139999389648438,161,15410.999983493606,15410.999983493606,404275.7846090211,38.45857954501689,WIN,404275.7846090211,0.0
2021-06-18,25.3700008392334,25.450000762939453,158,10917.452860841524,9653.45406628586,413929.23867530696,31.06240088949158,LOSS,413929.23867530696,0.0
2021-06-25,26.780000686645508,26.530000686645508,156,11385.464440700634,11385.464440700634,425314.7031160076,31.275071823744923,WIN,425314.7031160076,0.0
2021-07-02,24.440000534057617,24.719999313354492,172,12640.271355875895,7824.292351969645,433138.99546797725,32.58788098766006,LOSS,433138.99546797725,0.0
2021-07-12,22.950000762939453,23.290000915527344,185,15890.14107371467,9600.138250838694,442739.1337188159,36.818281517734334,LOSS,442739.1337188159,0.0
2021-07-19,21.540000915527344,21.3700008392334,207,15605.844833223244,15605.844833223244,458344.9785520392,35.87115204850759,WIN,458344.9785520392,0.0
2021-07-26,22.1299991607666,21.809999465942383,210,16195.588903065543,16195.588903065543,474540.5674551047,35.919717567522284,WIN,474540.5674551047,0.0
2021-08-02,22.100000381469727,21.709999084472656,218,15892.618419102202,15892.618419102202,490433.18587420695,34.866125722038014,WIN,490433.18587420695,0.0
2021-08-09,22.93000030517578,21.81999969482422,224,13684.717749815709,13684.717749815709,504117.90362402267,31.56407194198859,WIN,504117.90362402267,0.0
2021-08-16,24.5,24.899999618530273,202,22406.4089407398,14326.416646428275,518444.32027045096,41.35454788997029,LOSS,518444.32027045096,0.0
2021-08-23,24.81999969482422,24.010000228881836,215,25465.685760970024,25465.685760970024,543910.006031421,44.184937914834634,WIN,543910.006031421,0.0
2021-08-30,25.760000228881836,25.709999084472656,211,26593.69862095762,26593.69862095762,570503.7046523787,44.00202004711568,WIN,570503.7046523787,0.0
2021-09-07,26.700000762939453,26.639999389648438,214,27208.28947494547,27208.28947494547,597711.9941273242,43.23496656411618,WIN,597711.9941273242,0.0
2021-09-14,26.260000228881836,25.829999923706055,231,20641.811186378898,20641.811186378898,618353.8053137031,35.46658759605292,WIN,618353.8053137031,0.0
2021-09-21,26.6200008392334,26.549999237060547,232,24434.878982632606,24434.878982632606,642788.6842963358,38.468845007089726,WIN,642788.6842963358,0.0
2021-09-28,25.34000015258789,27.469999313354492,233,26428.87584378828,-23200.104602073538,619588.5796942622,39.42857553191456,LOSS,642788.6842963358,-3.6092895175139605
