Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2020-10-07,10.0,9.602999629974365,2,73.72400182945044,73.72400182945044,50073.72400182945,48.04220405746553,WIN,50073.72400182945,0.0
2020-10-14,9.34000015258789,9.185900259017943,2,70.52185292053333,70.52185292053333,50144.24585474998,48.04220405746553,WIN,50144.24585474998,0.0
2020-10-21,9.199999809265137,8.991900444030762,2,69.03248050918958,69.03248050918958,50213.278335259165,48.04220405746553,WIN,50213.278335259165,0.0
2020-10-28,10.850000381469727,10.621499814987182,2,81.54321586636497,81.54321586636497,50294.82155112553,48.04220405746553,WIN,50294.82155112553,0.0
2020-11-04,10.720000267028809,10.185,2,72.0743898605372,72.0743898605372,50366.89594098607,45.456988623797436,WIN,50366.89594098607,0.0
2020-11-11,15.960000038146973,13.58,2,143.21655304665146,143.21655304665146,50510.11249403272,60.39002968309867,WIN,50510.11249403272,0.0
2020-11-18,17.899999618530273,17.314500370025634,2,218.74759426587045,218.74759426587045,50728.86008829859,69.37513413367103,WIN,50728.86008829859,0.0
2020-11-25,29.049999237060547,23.10539970397949,2,326.11711338724444,326.11711338724444,51054.97720168583,75.74732009292286,WIN,51054.97720168583,0.0
2020-12-03,24.030000686645508,21.834700222015382,2,385.0530885891526,385.0530885891526,51440.03029027498,80.0,WIN,51440.03029027498,0.0
2020-12-10,27.040000915527344,25.831099185943604,2,480.3170607760682,480.3170607760682,51920.34735105105,80.0,WIN,51920.34735105105,0.0
2020-12-17,27.229999542236328,25.142400074005128,2,430.1524915491031,430.1524915491031,52350.499842600155,80.0,WIN,52350.499842600155,0.0
2020-12-24,27.75,27.82930051803589,2,436.326014033588,508.4739415085635,52858.97378410872,80.0,ASSIGNED_WHEEL,52858.97378410872,0.0
2021-01-04,23.3700008392334,22.84349925994873,2,279.65595311146234,279.65595311146234,53138.62973722018,67.6900313383837,WIN,53138.62973722018,0.0
2021-01-11,25.93000030517578,24.44400074005127,2,200.5485609477605,200.5485609477605,53339.17829816794,50.31134675691094,WIN,53339.17829816794,0.0
2021-01-19,26.6200008392334,24.870799407958984,2,208.05600555102924,208.05600555102924,53547.23430371897,51.00456193916224,WIN,53547.23430371897,0.0
2021-01-26,35.369998931884766,35.143099555969236,2,467.7273953830804,467.7273953830804,54014.96169910205,72.28220996667062,WIN,54014.96169910205,0.0
2021-02-02,31.020000457763672,32.941199111938474,2,444.16103372749467,268.2532235163134,54283.21492261837,73.03207117746882,ASSIGNED_WHEEL,54283.21492261837,0.0
2021-02-09,38.16999816894531,34.96849925994873,2,487.6440948428587,487.6440948428587,54770.859017461225,75.01958596191736,WIN,54770.859017461225,0.0
2021-02-17,27.079999923706055,27.004800148010254,2,432.82130595906773,432.82130595906773,55203.680323420296,80.0,WIN,55203.680323420296,0.0
2021-02-24,26.389999389648438,25.947499999999998,2,337.6820629473428,337.6820629473428,55541.36238636764,71.0117951135929,WIN,55541.36238636764,0.0
2021-03-03,23.59000015258789,23.74559955596924,2,291.74978648577564,340.73587047015053,55882.09825683779,67.88036292364396,ASSIGNED_WHEEL,55882.09825683779,0.0
2021-03-10,24.75,23.53220022201538,2,283.0408325888273,283.0408325888273,56165.139089426615,66.76706919844565,WIN,56165.139089426615,0.0
2021-03-17,25.209999084472656,24.841700592041015,2,268.4187267766696,268.4187267766696,56433.55781620328,61.50487792980363,WIN,56433.55781620328,0.0
2021-03-24,21.8799991607666,22.56220022201538,2,183.57777728919496,153.70962619666562,56587.26744239995,50.01915626053219,ASSIGNED_WHEEL,56587.26744239995,0.0
2021-03-31,23.290000915527344,21.378800888061523,2,164.79959241154174,164.79959241154174,56752.06703481149,48.17720609446892,WIN,56752.06703481149,0.0
2021-04-08,23.40999984741211,22.212999629974366,2,143.0268696593747,143.0268696593747,56895.093904470865,42.712610899362886,WIN,56895.093904470865,0.0
2021-04-15,23.149999618530273,22.989000740051267,2,165.16270530564907,165.16270530564907,57060.256609776516,45.92138323816242,WIN,57060.256609776516,0.0
2021-04-22,22.860000610351562,21.951099185943605,2,155.8078233461076,155.8078233461076,57216.06443312262,45.549211707817776,WIN,57216.06443312262,0.0
2021-04-29,23.3700008392334,23.134500370025634,2,149.2427273713088,149.2427273713088,57365.30716049393,42.76515308345788,WIN,57365.30716049393,0.0
2021-05-06,20.09000015258789,20.515499629974364,2,130.4374784637216,131.13755208737894,57496.44471258131,42.36448734808556,ASSIGNED_WHEEL,57496.44471258131,0.0
2021-05-13,18.3700008392334,18.323299407958984,2,125.25550263296839,125.25550263296839,57621.70021521428,44.42118465293434,WIN,57621.70021521428,0.0
2021-05-20,20.610000610351562,20.049900074005127,2,162.1189600582613,162.1189600582613,57783.81917527254,49.80075103474958,WIN,57783.81917527254,0.0
2021-05-27,22.700000762939453,21.456400814056394,2,173.57608097167827,173.57608097167827,57957.39525624422,49.81769567719181,WIN,57957.39525624422,0.0
2021-06-04,24.030000686645508,22.921099185943604,2,190.13706417390125,190.13706417390125,58147.53232041812,50.702478247801984,WIN,58147.53232041812,0.0
2021-06-11,24.670000076293945,23.415799407958982,2,127.62732905584767,127.62732905584767,58275.159649473964,38.45857954501689,WIN,58275.159649473964,0.0
2021-06-18,25.3700008392334,24.68650074005127,2,92.13040388895803,92.13040388895803,58367.29005336292,31.06240088949158,WIN,58367.29005336292,0.0
2021-06-25,26.780000686645508,25.734100666046142,2,97.31166188633023,97.31166188633023,58464.60171524925,31.275071823744923,WIN,58464.60171524925,0.0
2021-07-02,24.440000534057617,23.978399333953856,2,97.9865996579527,97.9865996579527,58562.5883149072,32.58788098766006,WIN,58562.5883149072,0.0
2021-07-12,22.950000762939453,22.59130088806152,2,114.52353927001565,114.52353927001565,58677.111854177216,36.818281517734334,WIN,58677.111854177216,0.0
2021-07-19,21.540000915527344,20.728900814056395,2,100.52073966649434,100.52073966649434,58777.63259384371,35.87115204850759,WIN,58777.63259384371,0.0
2021-07-26,22.1299991607666,21.15569948196411,2,102.82913589247966,102.82913589247966,58880.461729736184,35.919717567522284,WIN,58880.461729736184,0.0
