Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-03,143.56961059570312,145.45013275146485,3,242.96783765393496,-321.18880907458237,49678.811190925415,25.828037994910215,LOSS,49678.811190925415,0.0
2019-01-04,149.71214294433594,140.69821838378905,3,235.0299806249305,235.0299806249305,49913.841171550346,25.828037994910215,WIN,49913.841171550346,0.0
2019-01-07,151.4945526123047,146.71790008544923,3,245.08558537928636,245.08558537928636,50158.926756929635,25.828037994910215,WIN,50158.926756929635,0.0
2019-01-08,152.8649139404297,148.4646615600586,3,248.00347105154106,248.00347105154106,50406.930227981175,25.828037994910215,WIN,50406.930227981175,0.0
2019-01-09,154.1107177734375,149.8076156616211,3,250.24681485572086,250.24681485572086,50657.1770428369,25.828037994910215,WIN,50657.1770428369,0.0
2019-01-10,154.5514373779297,151.02850341796875,3,252.28625237679086,252.28625237679086,50909.46329521369,25.828037994910215,WIN,50909.46329521369,0.0
2019-01-11,153.986083984375,151.4604086303711,3,253.00773040877158,253.00773040877158,51162.47102562246,25.828037994910215,WIN,51162.47102562246,0.0
2019-01-14,152.62535095214844,150.9063623046875,3,252.0822211970236,252.0822211970236,51414.55324681948,25.828037994910215,WIN,51414.55324681948,0.0
2019-01-15,155.60560607910156,149.57284393310547,3,249.85463935102615,249.85463935102615,51664.407886170506,25.828037994910215,WIN,51664.407886170506,0.0
2019-01-16,155.57684326171875,152.49349395751952,3,254.73345250541735,254.73345250541735,51919.14133867592,25.828037994910215,WIN,51919.14133867592,0.0
2019-01-17,156.803466796875,152.46530639648438,3,254.68636646552244,254.68636646552244,52173.82770514145,25.828037994910215,WIN,52173.82770514145,0.0
2019-01-18,158.35586547851562,153.6673974609375,3,256.69440496688543,256.69440496688543,52430.52211010833,25.828037994910215,WIN,52430.52211010833,0.0
2019-01-22,155.1838836669922,155.18874816894532,3,259.2357521959701,257.7764016100292,52688.298511718356,25.828037994910215,LOSS,52688.298511718356,0.0
2019-01-23,155.38516235351562,152.08020599365233,3,254.0430737411656,254.0430737411656,52942.34158545952,25.828037994910215,WIN,52942.34158545952,0.0
2019-01-24,156.3914031982422,152.27745910644532,3,254.37257610310365,254.37257610310365,53196.714161562624,25.828037994910215,WIN,53196.714161562624,0.0
2019-01-25,158.26002502441406,153.26357513427735,3,256.01983811947906,256.01983811947906,53452.7339996821,25.828037994910215,WIN,53452.7339996821,0.0
2019-01-28,156.3051300048828,155.09482452392578,3,259.07885701476073,259.07885701476073,53711.812856696866,25.828037994910215,WIN,53711.812856696866,0.0
2019-01-29,154.82936096191406,153.17902740478516,3,255.8786049791259,255.8786049791259,53967.69146167599,25.828037994910215,WIN,53967.69146167599,0.0
2019-01-30,158.7678985595703,151.7327737426758,3,253.46270395288047,253.46270395288047,54221.15416562887,25.828037994910215,WIN,54221.15416562887,0.0
2019-01-31,161.14447021484375,155.5925405883789,3,259.9102690847135,259.9102690847135,54481.06443471358,25.828037994910215,WIN,54481.06443471358,0.0
2019-02-01,160.46405029296875,157.92158081054689,3,318.9241114204159,318.9241114204159,54799.988546133995,28.090642899438276,WIN,54799.988546133995,0.0
2019-02-04,162.45733642578125,157.25476928710938,3,273.6149299758906,273.6149299758906,55073.603476109885,26.278492883434957,WIN,55073.603476109885,0.0
2019-02-05,163.89468383789062,159.20818969726562,3,221.7586361067996,221.7586361067996,55295.36211221669,24.028804348388157,WIN,55295.36211221669,0.0
2019-02-06,163.40603637695312,160.6167901611328,3,221.96108138969117,221.96108138969117,55517.32319360638,23.957792411878145,WIN,55517.32319360638,0.0
2019-02-07,161.2115020751953,160.13791564941405,3,222.03399291708877,222.03399291708877,55739.35718652347,23.987531013024245,WIN,55739.35718652347,0.0
2019-02-08,161.5277862548828,157.9872720336914,3,229.47850557057342,229.47850557057342,55968.83569209404,24.41531852812978,WIN,55968.83569209404,0.0
2019-02-11,161.37440490722656,158.29723052978514,3,229.9200936192482,229.9200936192482,56198.75578571329,24.414965115867652,WIN,56198.75578571329,0.0
2019-02-12,163.76060485839844,158.14691680908203,3,228.6174897501129,228.6174897501129,56427.373275463404,24.37052290892089,WIN,56427.373275463404,0.0
2019-02-13,163.87554931640625,160.48539276123046,3,231.9408002377396,231.9408002377396,56659.31407570114,24.36821277695254,WIN,56659.31407570114,0.0
2019-02-14,164.0767822265625,160.5980383300781,3,220.25989575175112,220.25989575175112,56879.57397145289,23.890174745272446,WIN,56879.57397145289,0.0
2019-02-15,164.7667694091797,160.79524658203124,3,220.24709420286433,220.24709420286433,57099.82106565576,23.878755274478102,WIN,57099.82106565576,0.0
2019-02-19,165.09254455566406,161.4714340209961,3,220.00165860417857,220.00165860417857,57319.82272425994,23.831721329118338,WIN,57319.82272425994,0.0
2019-02-20,165.0638427734375,161.7906936645508,3,217.7487692386715,217.7487692386715,57537.57149349861,23.724032530458548,WIN,57537.57149349861,0.0
2019-02-21,164.46011352539062,161.76256591796874,3,192.22196530962174,192.22196530962174,57729.79345880823,22.70264868714156,WIN,57729.79345880823,0.0
2019-02-22,165.67715454101562,161.1709112548828,3,193.7290583207487,193.7290583207487,57923.52251712898,22.79153831066,WIN,57923.52251712898,0.0
2019-02-25,166.2808380126953,162.36361145019532,3,195.55914074909958,195.55914074909958,58119.08165787808,22.8073656935529,WIN,58119.08165787808,0.0
2019-02-26,166.45330810546875,162.9552212524414,3,191.72382654158895,191.72382654158895,58310.80548441967,22.626458518870358,WIN,58310.80548441967,0.0
2019-02-27,166.34788513183594,163.12424194335938,3,179.02047310190522,179.02047310190522,58489.82595752157,22.113761462713875,WIN,58489.82595752157,0.0
2019-02-28,165.96461486816406,163.02092742919922,3,169.96294766665602,169.96294766665602,58659.78890518823,21.758121560503643,WIN,58659.78890518823,0.0
2019-03-01,167.1145477294922,162.64532257080077,3,149.36815338134767,149.36815338134767,58809.15705856958,20.458177014722644,WIN,58809.15705856958,0.0
2019-03-04,167.14328002929688,163.77225677490233,3,150.403092956543,150.403092956543,58959.56015152612,20.0041874462061,WIN,58959.56015152612,0.0
2019-03-05,167.2678680419922,163.80041442871092,3,150.42895202636717,150.42895202636717,59109.98910355249,19.88709090280502,WIN,59109.98910355249,0.0
2019-03-06,166.31919860839844,163.92251068115235,3,150.54108123779298,150.54108123779298,59260.53018479029,19.489325209660375,WIN,59260.53018479029,0.0
2019-03-07,164.27806091308594,162.99281463623046,3,149.6872787475586,149.6872787475586,59410.21746353785,19.438023071894754,WIN,59410.21746353785,0.0
2019-03-08,164.0288543701172,160.9924996948242,3,147.85025482177736,147.85025482177736,59558.06771835963,19.971304653365905,WIN,59558.06771835963,0.0
2019-03-11,167.44033813476562,160.74827728271484,3,147.62596893310547,147.62596893310547,59705.69368729273,19.28362202842322,WIN,59705.69368729273,0.0
2019-03-12,168.3603057861328,164.0915313720703,3,150.69630432128906,150.69630432128906,59856.38999161402,20.55666619412731,WIN,59856.38999161402,0.0
2019-03-13,169.625244140625,164.99309967041015,3,151.5242752075195,151.5242752075195,60007.91426682154,20.567768305572976,WIN,60007.91426682154,0.0
2019-03-14,169.33773803710938,166.23273925781248,3,152.6627197265625,152.6627197265625,60160.576986548105,20.15446939356509,WIN,60160.576986548105,0.0
2019-03-15,170.90933227539062,165.9509832763672,3,152.40396423339845,152.40396423339845,60312.9809507815,20.188545580832262,WIN,60312.9809507815,0.0
2019-03-18,171.31642150878906,167.49114562988282,3,153.81839904785159,153.81839904785159,60466.79934982935,20.360272021040437,WIN,60466.79934982935,0.0
2019-03-19,171.89239501953125,167.8900930786133,3,154.18477935791017,154.18477935791017,60620.98412918726,20.345865120227746,WIN,60620.98412918726,0.0
2019-03-20,172.57400512695312,168.4545471191406,3,154.70315551757812,154.70315551757812,60775.687284704836,20.35155345556202,WIN,60775.687284704836,0.0
2019-03-21,175.2716827392578,169.12252502441405,3,155.3166046142578,155.3166046142578,60931.003889319094,20.345153675768643,WIN,60931.003889319094,0.0
2019-03-22,171.4219970703125,171.76624908447266,3,157.74451446533203,54.46891021728345,60985.47279953638,20.721558567416512,LOSS,60985.47279953638,0.0
2019-03-25,171.09555053710938,167.99355712890625,3,186.4261897737453,186.4261897737453,61171.898989310124,22.193320350368317,WIN,61171.898989310124,0.0
2019-03-26,171.89239501953125,167.6736395263672,3,186.55773501245469,186.55773501245469,61358.456724322576,22.212130450630674,WIN,61358.456724322576,0.0
2019-03-27,170.78839111328125,168.4545471191406,3,187.98341442819043,187.98341442819043,61546.44013875077,22.233556858714877,WIN,61546.44013875077,0.0
2019-03-28,171.18197631835938,167.37262329101563,3,190.1926628405332,190.1926628405332,61736.6328015913,22.365876623479636,WIN,61736.6328015913,0.0
2019-03-29,172.47804260253906,167.75833679199218,3,189.83793425094257,189.83793425094257,61926.470735842246,22.33523432543109,WIN,61926.470735842246,0.0
2019-04-01,174.7628631591797,169.02848175048828,3,191.70225263862153,191.70225263862153,62118.17298848087,22.351609494743908,WIN,62118.17298848087,0.0
2019-04-02,175.42527770996094,171.2676058959961,3,201.52365701818303,201.52365701818303,62319.69664549905,22.6272136729751,WIN,62319.69664549905,0.0
2019-04-03,176.43333435058594,171.91677215576172,3,202.258166482382,202.258166482382,62521.95481198143,22.626107481913607,WIN,62521.95481198143,0.0
2019-04-04,176.36614990234375,172.9046676635742,3,199.84589248285357,199.84589248285357,62721.80070446428,22.492100826546938,WIN,62721.80070446428,0.0
2019-04-05,177.27818298339844,172.83882690429687,3,185.7766632658072,185.7766632658072,62907.57736773009,21.967307086321195,WIN,62907.57736773009,0.0
2019-04-08,177.7293243408203,173.73261932373046,3,185.08087833910844,185.08087833910844,63092.6582460692,21.90550253107765,WIN,63092.6582460692,0.0
2019-04-09,177.1053466796875,174.1747378540039,3,165.11404359665644,165.11404359665644,63257.77228966586,21.14488772380787,WIN,63257.77228966586,0.0
2019-04-10,178.05575561523438,173.56323974609376,3,166.8572133552713,166.8572133552713,63424.62950302113,21.231639801842373,WIN,63424.62950302113,0.0
2019-04-11,177.63336181640625,174.49464050292968,3,166.5400209259999,166.5400209259999,63591.16952394713,21.186594153994157,WIN,63591.16952394713,0.0
2019-04-12,178.40135192871094,174.08069458007813,3,166.58052684250242,166.58052684250242,63757.75005078963,21.20281351972188,WIN,63757.75005078963,0.0
2019-04-15,178.43016052246094,174.8333248901367,3,164.05078566207146,164.05078566207146,63921.8008364517,21.082319115777256,WIN,63921.8008364517,0.0
2019-04-16,179.04461669921875,174.8615573120117,3,164.35402802562155,164.35402802562155,64086.15486447732,21.092578236973516,WIN,64086.15486447732,0.0
2019-04-17,179.66859436035156,175.46372436523438,3,164.93608145320664,164.93608145320664,64251.090945930526,21.09317193936864,WIN,64251.090945930526,0.0
2019-04-18,179.89901733398438,176.07522247314452,3,165.3923792198091,165.3923792198091,64416.48332515034,21.08880903363747,WIN,64416.48332515034,0.0
2019-04-22,180.4077911376953,176.30103698730468,3,161.90911560058595,161.90911560058595,64578.392440750926,20.534424292461175,WIN,64578.392440750926,0.0
2019-04-23,182.70230102539062,176.7996353149414,3,162.36701202392578,162.36701202392578,64740.75945277485,18.420256170890973,WIN,64740.75945277485,0.0
2019-04-24,182.12628173828125,179.0482550048828,3,164.43207092285158,164.43207092285158,64905.1915236977,18.75474072121243,WIN,64905.1915236977,0.0
2019-04-25,182.86549377441406,178.48375610351562,3,163.91365356445314,163.91365356445314,65069.10517726215,18.913483054547115,WIN,65069.10517726215,0.0
2019-04-26,183.02870178222656,179.20818389892577,3,164.57894439697267,164.57894439697267,65233.68412165912,18.505834367553135,WIN,65233.68412165912,0.0
2019-04-29,183.3839111328125,179.36812774658202,3,164.7258316040039,164.7258316040039,65398.40995326312,18.529758264101424,WIN,65398.40995326312,0.0
2019-04-30,181.96304321289062,179.71623291015624,3,165.04552001953124,165.04552001953124,65563.45547328265,18.447557026939062,WIN,65563.45547328265,0.0
2019-05-01,181.37744140625,178.32378234863282,3,163.76673889160156,163.76673889160156,65727.22221217425,18.40792321881423,WIN,65727.22221217425,0.0
2019-05-02,180.59024047851562,177.74989257812499,3,163.239697265625,163.239697265625,65890.46190943988,18.513232693197047,WIN,65890.46190943988,0.0
2019-05-03,183.47030639648438,176.9784356689453,3,162.53121643066405,162.53121643066405,66052.99312587055,18.581468284891287,WIN,66052.99312587055,0.0
2019-05-06,182.34707641601562,179.80090026855467,3,165.12327575683597,165.12327575683597,66218.11640162738,19.420568830180635,WIN,66218.11640162738,0.0
