Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2021-11-11,122.98999786376953,100.7300033569336,2,583.1211633812253,583.1211633812253,50583.12116338123,53.29031894942328,WIN,50583.12116338123,0.0
2021-11-12,129.9499969482422,122.98999786376953,2,711.9832050878125,711.9832050878125,51295.10436846904,53.29031894942328,WIN,51295.10436846904,0.0
2021-11-15,149.36000061035156,129.9499969482422,2,752.2743063289066,752.2743063289066,52047.37867479795,53.29031894942328,WIN,52047.37867479795,0.0
2021-11-16,172.00999450683594,149.36000061035156,2,864.6378875806288,864.6378875806288,52912.01656237857,53.29031894942328,WIN,52912.01656237857,0.0
2021-11-17,146.07000732421875,172.00999450683594,2,995.7576170687199,-4192.239819454718,48719.77674292385,53.29031894942328,LOSS,52912.01656237857,-7.92303921078578
2021-11-18,123.37999725341797,146.07000732421875,2,845.592274073319,-3692.4097400868372,45027.36700283702,53.29031894942328,LOSS,52912.01656237857,-14.901434630158638
2021-11-19,128.60000610351562,123.37999725341797,2,714.2408928693162,714.2408928693162,45741.60789570634,53.29031894942328,WIN,52912.01656237857,-13.551569440221506
2021-11-22,118.11000061035156,128.60000610351562,2,744.459274007886,-1353.5418246249264,44388.06607108141,53.29031894942328,LOSS,52912.01656237857,-16.109668549956282
2021-11-23,119.8499984741211,118.11000061035156,2,683.7331347922039,683.7331347922039,45071.79920587361,53.29031894942328,WIN,52912.01656237857,-14.817460882939585
2021-11-24,114.8499984741211,119.8499984741211,2,693.8058990609276,-306.1941009390724,44765.60510493454,53.29031894942328,LOSS,52912.01656237857,-15.396146256947391
2021-11-26,112.12999725341797,114.8499984741211,2,664.8611386147796,120.86089447415463,44886.4659994087,53.29031894942328,LOSS,52912.01656237857,-15.16772764369784
2021-11-29,119.7699966430664,112.12999725341797,2,649.1151818654831,649.1151818654831,45535.58118127418,53.29031894942328,WIN,52912.01656237857,-13.940945479574054
2021-11-30,119.76000213623047,119.7699966430664,2,693.3427722939014,691.3438709267139,46226.925052200895,53.29031894942328,LOSS,52912.01656237857,-12.634354055087934
2021-12-01,115.69000244140625,119.76000213623047,2,693.2849145726726,-120.71502439217113,46106.210027808724,53.29031894942328,LOSS,52912.01656237857,-12.862496984114008
2021-12-02,110.7699966430664,115.69000244140625,2,669.7238813361561,-314.2772783318127,45791.93274947691,53.29031894942328,LOSS,52912.01656237857,-13.456458996431774
2021-12-03,104.66999816894531,110.7699966430664,2,641.242203490835,-578.7574913333838,45213.17525814353,53.29031894942328,LOSS,52912.01656237857,-14.550270060410178
2021-12-06,116.77999877929688,104.66999816894531,2,605.9296045797743,605.9296045797743,45819.1048627233,53.29031894942328,WIN,52912.01656237857,-13.405105608275875
2021-12-07,116.18000030517578,116.77999877929688,2,676.0338179136407,556.034123089422,46375.13898581272,53.29031894942328,LOSS,52912.01656237857,-12.354240116438298
2021-12-08,122.12000274658203,116.18000030517578,2,672.5604554933428,672.5604554933428,47047.69944130607,53.29031894942328,WIN,52912.01656237857,-11.083148029633298
2021-12-09,115.4000015258789,122.12000274658203,2,706.9468450365504,-637.0533991040746,46410.646042201995,53.29031894942328,LOSS,52912.01656237857,-12.287134270363781
2021-12-10,114.66000366210938,115.4000015258789,2,1356.5430979106518,1208.5435251567455,47619.18956735874,80.0,LOSS,52912.01656237857,-10.003071776295005
2021-12-13,118.9000015258789,114.66000366210938,2,1164.416678399997,1164.416678399997,48783.60624575874,80.0,WIN,52912.01656237857,-7.8024059274943784
2021-12-14,117.13999938964844,118.9000015258789,2,1199.2052237942667,847.2047965481729,49630.811042306916,80.0,LOSS,52912.01656237857,-6.201248285828242
2021-12-15,115.0,117.13999938964844,2,1071.6504444607365,643.650566531049,50274.46160883796,75.51136638228246,LOSS,52912.01656237857,-4.98479386139284
2021-12-16,108.87000274658203,115.0,2,913.0358431014303,-312.9636075821635,49961.4980012558,67.51447345509942,LOSS,52912.01656237857,-5.576273128135973
2021-12-17,97.69999694824219,108.87000274658203,2,771.5063859677049,-1462.494773700264,48499.003227555535,61.87273768422961,LOSS,52912.01656237857,-8.340285669551992
2021-12-20,89.9800033569336,97.69999694824219,2,624.3212510801793,-919.6774671815394,47579.325760374,57.267114129131734,LOSS,52912.01656237857,-10.078411575408026
2021-12-21,96.81999969482422,89.9800033569336,2,581.5046788966557,581.5046788966557,48160.830439270656,57.74607438271635,WIN,52912.01656237857,-8.979408519625574
2021-12-22,96.33999633789062,96.81999969482422,2,642.6745625317744,546.6738911450557,48707.504330415715,58.90510926889627,LOSS,52912.01656237857,-7.946233209626607
2021-12-23,96.83999633789062,96.33999633789062,2,636.4866420495479,636.4866420495479,49343.99097246526,58.6990199213703,WIN,52912.01656237857,-6.743318099976261
2021-12-27,107.08999633789062,96.83999633789062,2,634.5546841287925,634.5546841287925,49978.545656594055,58.34143822192185,WIN,52912.01656237857,-5.544054255286633
2021-12-28,102.87000274658203,107.08999633789062,2,770.4374375274916,-73.56128073422713,49904.98437585983,62.585814038131176,LOSS,52912.01656237857,-5.683079916210941
2021-12-29,99.33999633789062,102.87000274658203,2,719.1978326135842,13.196550875302933,49918.180926735135,61.24328175726196,LOSS,52912.01656237857,-5.658139360676174
2021-12-30,103.41999816894531,99.33999633789062,2,698.3257330806788,698.3257330806788,50616.506659815816,61.496786087147015,WIN,52912.01656237857,-4.338352706434
2021-12-31,103.69000244140625,103.41999816894531,2,734.8028297888472,734.8028297888472,51351.30948960466,61.995397038973856,WIN,52912.01656237857,-2.9496268979542233
2022-01-03,102.72000122070312,103.69000244140625,2,728.1132516729159,534.1130075322909,51885.422497136955,61.44629532402858,LOSS,52912.01656237857,-1.940190776950174
2022-01-04,101.38999938964844,102.72000122070312,2,705.0704599443949,439.0700937334574,52324.49259087041,60.40111642382892,LOSS,52912.01656237857,-1.1103790966188634
2022-01-05,90.01000213623047,101.38999938964844,2,613.2694629634454,-1662.7299877201483,50661.76260315026,55.00785322613068,LOSS,52912.01656237857,-4.25282214783
2022-01-06,87.33000183105469,90.01000213623047,2,602.0015021479436,66.00144111278735,50727.76404426304,59.23803537856125,LOSS,52912.01656237857,-4.128084053535342
2022-01-07,86.27999877929688,87.33000183105469,2,564.6267570127864,354.62614666122386,51082.39019092427,57.76485604336459,LOSS,52912.01656237857,-3.4578655101858287
2022-01-10,81.44000244140625,86.27999877929688,2,549.3507838639312,-418.64848371419384,50663.74170721008,57.114208889833534,LOSS,52912.01656237857,-4.249081779973319
2022-01-11,83.55000305175781,81.44000244140625,2,526.6236889491835,526.6236889491835,51190.365396159264,57.77122033724838,WIN,52912.01656237857,-3.2537999457828906
2022-01-12,86.4800033569336,83.55000305175781,2,535.1167392861298,535.1167392861298,51725.482135445396,57.36342797204423,WIN,52912.01656237857,-2.242466842166859
2022-01-13,80.30999755859375,86.4800033569336,2,566.5027268162668,-667.498432851702,51057.983702593694,58.32866772708196,LOSS,52912.01656237857,-3.503992061234593
2022-01-14,79.94999694824219,80.30999755859375,2,540.6062177586278,468.60609568831535,51526.58979828201,59.52464365850008,LOSS,52912.01656237857,-2.6183594088939466
