Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2021-11-11,122.98999786376953,100.7300033569336,9,2624.045235215514,2624.045235215514,52624.04523521551,53.29031894942328,WIN,52624.04523521551,0.0
2021-11-12,129.9499969482422,122.98999786376953,8,2847.93282035125,2847.93282035125,55471.97805556676,53.29031894942328,WIN,55471.97805556676,0.0
2021-11-15,149.36000061035156,129.9499969482422,8,3009.0972253156265,3009.0972253156265,58481.07528088239,53.29031894942328,WIN,58481.07528088239,0.0
2021-11-16,172.00999450683594,149.36000061035156,7,3026.232606532201,3026.232606532201,61507.30788741459,53.29031894942328,WIN,61507.30788741459,0.0
2021-11-17,146.07000732421875,172.00999450683594,7,3485.15165974052,-14672.83936809151,46834.468519323076,53.29031894942328,LOSS,61507.30788741459,-23.855440714376993
2021-11-18,123.37999725341797,146.07000732421875,6,2536.776822219957,-11077.229220260511,35757.23929906257,53.29031894942328,LOSS,61507.30788741459,-41.86505550769019
2021-11-19,128.60000610351562,123.37999725341797,5,1785.6022321732905,1785.6022321732905,37542.841531235856,53.29031894942328,WIN,61507.30788741459,-38.96198220875516
2021-11-22,118.11000061035156,128.60000610351562,5,1861.1481850197151,-3383.854561562316,34158.98696967354,53.29031894942328,LOSS,61507.30788741459,-44.46353101293345
2021-11-23,119.8499984741211,118.11000061035156,5,1709.33283698051,1709.33283698051,35868.31980665405,53.29031894942328,WIN,61507.30788741459,-41.68445825606798
2021-11-24,114.8499984741211,119.8499984741211,5,1734.5147476523189,-765.4852523476811,35102.83455430637,53.29031894942328,LOSS,61507.30788741459,-42.92900183737518
2021-11-26,112.12999725341797,114.8499984741211,6,1994.583415844339,362.582683422464,35465.417237728834,53.29031894942328,LOSS,61507.30788741459,-42.33950654669175
2021-11-29,119.7699966430664,112.12999725341797,6,1947.3455455964495,1947.3455455964495,37412.762783325285,53.29031894942328,WIN,61507.30788741459,-39.17346723773525
2021-11-30,119.76000213623047,119.7699966430664,6,2080.028316881704,2074.0316127801416,39486.794396105426,53.29031894942328,LOSS,61507.30788741459,-35.80145879838601
