Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-03,20.02400016784668,20.881414031982423,2,134.0210275575195,-37.46174526962923,49962.538254730374,44.648149663254074,LOSS,49962.538254730374,0.0
2019-01-04,21.179332733154297,20.224240169525146,2,129.8031562871363,129.8031562871363,50092.34141101751,44.648149663254074,WIN,50092.34141101751,0.0
2019-01-07,22.33066749572754,21.39112606048584,2,137.29245973705562,137.29245973705562,50229.633870754566,44.648149663254074,WIN,50229.633870754566,0.0
2019-01-08,22.356666564941406,22.553974170684814,2,144.75584791486258,105.29432676618103,50334.92819752075,44.648149663254074,LOSS,50334.92819752075,0.0
2019-01-09,22.568666458129883,22.58023323059082,2,144.92438373269135,142.61102924050374,50477.539226761255,44.648149663254074,LOSS,50477.539226761255,0.0
2019-01-10,22.99799919128418,22.794353122711183,2,146.29864736821554,146.29864736821554,50623.83787412947,44.648149663254074,WIN,50623.83787412947,0.0
2019-01-11,23.150667190551758,23.22797918319702,2,149.08174482095592,133.61934629190318,50757.45722042138,44.648149663254074,LOSS,50757.45722042138,0.0
2019-01-14,22.293333053588867,23.382173862457275,2,150.07139663891752,-67.69676513476409,50689.76045528661,44.648149663254074,LOSS,50757.45722042138,-0.1333730427842025
2019-01-15,22.961999893188477,22.516266384124755,2,144.5138319147028,144.5138319147028,50834.27428720131,44.648149663254074,WIN,50834.27428720131,0.0
2019-01-16,23.06999969482422,23.19161989212036,2,148.84838373037576,124.52434427114733,50958.79863147246,44.648149663254074,LOSS,50958.79863147246,0.0
2019-01-17,23.15399932861328,23.30069969177246,2,149.54847936627263,120.20840673443661,51079.007038206895,44.648149663254074,LOSS,51079.007038206895,0.0
2019-01-18,20.150667190551758,23.385539321899415,2,150.09299682039722,-496.88142944913426,50582.125608757764,44.648149663254074,LOSS,51079.007038206895,-0.9727703380715014
2019-01-22,19.92799949645996,20.352173862457274,2,130.62425992311267,45.78938672365004,50627.91499548141,44.648149663254074,LOSS,51079.007038206895,-0.8831260999025827
2019-01-23,19.172666549682617,20.12727949142456,2,129.18084356004732,-61.74174478834112,50566.17325069307,44.648149663254074,LOSS,51079.007038206895,-1.004001090174338
2019-01-24,19.43400001525879,19.364393215179444,2,124.28448919940409,124.28448919940409,50690.457739892474,44.648149663254074,WIN,51079.007038206895,-0.7606829514594675
2019-01-25,19.80266761779785,19.62834001541138,2,125.97855174389593,125.97855174389593,50816.43629163637,44.648149663254074,WIN,51079.007038206895,-0.514048259344833
2019-01-28,19.7586669921875,20.00069429397583,2,128.36839483365057,79.96293447598464,50896.39922611235,44.648149663254074,LOSS,51079.007038206895,-0.35750070857476907
2019-01-29,19.83066749572754,19.956253662109376,2,128.08316610637561,102.96593283000831,50999.36515894236,44.648149663254074,LOSS,51079.007038206895,-0.15591900446491197
