Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-09,22.568666458129883,22.13309989929199,2,66.80736706853895,66.80736706853895,50066.80736706854,44.648149663254074,WIN,50066.80736706854,0.0
2019-01-10,22.99799919128418,22.342979793548583,2,67.44087630130373,67.44087630130373,50134.248243369846,44.648149663254074,WIN,50134.248243369846,0.0
2019-01-11,23.150667190551758,22.768019199371338,2,68.72383095892503,68.72383095892503,50202.97207432877,44.648149663254074,WIN,50202.97207432877,0.0
2019-01-14,22.293333053588867,22.91916051864624,2,69.18004150520936,-55.98545150626528,50146.9866228225,44.648149663254074,LOSS,50202.97207432877,-0.11151820139926928
2019-01-16,23.06999969482422,22.732379894256592,2,68.61625596266595,68.61625596266595,50215.60287878517,44.648149663254074,WIN,50215.60287878517,0.0
2019-01-17,23.15399932861328,22.839299697875976,2,68.93898665108273,68.93898665108273,50284.54186543625,44.648149663254074,WIN,50284.54186543625,0.0
2019-01-18,20.150667190551758,22.922459335327147,2,69.18999877544697,-485.16843017963095,49799.37343525662,44.648149663254074,LOSS,50284.54186543625,-0.9648460782997031
2019-01-28,19.7586669921875,19.604640941619873,2,59.17537306536996,59.17537306536996,49858.54880832199,44.648149663254074,WIN,50284.54186543625,-0.84716503583594
2019-01-29,19.83066749572754,19.561080322265624,2,59.04388808133368,59.04388808133368,49917.59269640332,44.648149663254074,WIN,50284.54186543625,-0.729745475289212
2019-01-30,20.584667205810547,19.632360820770263,2,59.25904377349137,59.25904377349137,49976.85174017681,44.648149663254074,WIN,50284.54186543625,-0.6118980383331974
2019-01-31,20.468000411987305,20.378820533752442,2,61.51218537019432,61.51218537019432,50038.363925547004,44.648149663254074,WIN,50284.54186543625,-0.48956981759529655
2019-02-01,20.81399917602539,20.263320407867432,2,65.6073211117833,65.6073211117833,50103.97124665879,46.80220081707583,WIN,50284.54186543625,-0.35909767113058005
2019-02-04,20.859333038330078,20.605859184265135,2,65.7798399420153,65.7798399420153,50169.7510866008,46.355776999478046,WIN,50284.54186543625,-0.22828243944756424
2019-02-05,21.42333221435547,20.650739707946776,2,62.29149354529222,62.29149354529222,50232.042580146095,44.62842826987547,WIN,50284.54186543625,-0.10440442200039621
2019-02-06,21.148000717163086,21.209098892211912,2,61.178186115183394,48.95855110541811,50281.00113125151,43.33282385238693,LOSS,50284.54186543625,-0.007041396925149894
2019-02-07,20.500667572021484,20.936520709991456,2,60.53391614522344,-26.63671144877081,50254.36441980274,43.399437755442236,LOSS,50284.54186543625,-0.06001336497062608
2019-02-13,20.544666290283203,20.57945920944214,2,58.971856636445786,52.01327280465876,50306.3776926074,43.14662488873877,LOSS,50306.3776926074,0.0
2019-02-26,19.857332229614258,19.718819274902344,2,29.697897420149044,29.697897420149044,50336.07559002755,29.793136972431775,WIN,50336.07559002755,0.0
2019-02-27,20.982667922973633,19.658758907318116,2,29.618782114717707,29.618782114717707,50365.694372142265,29.798802787179536,WIN,50365.694372142265,0.0
2019-02-28,21.325332641601562,20.772841243743898,2,37.768719790965875,37.768719790965875,50403.463091933234,32.85878235390604,WIN,50403.463091933234,0.0
2019-03-01,19.652666091918945,21.112079315185547,2,36.18860484215775,-255.6940398111625,50147.76905212207,31.83667442306774,LOSS,50403.463091933234,-0.5072945867723209
2019-03-11,19.39466667175293,18.753240337371825,2,42.716720704429555,42.716720704429555,50190.485772826505,37.37366175068515,WIN,50403.463091933234,-0.42254501187402443
2019-03-12,18.890666961669922,19.2007200050354,2,44.745163228235924,-17.265445444859722,50173.22032738165,37.88990891384918,LOSS,50403.463091933234,-0.456799494375287
2019-03-13,19.263999938964844,18.701760292053223,2,43.33393139934054,43.33393139934054,50216.55425878099,37.75941461847674,WIN,50403.463091933234,-0.3708253792231135
2019-03-14,19.33066749572754,19.071359939575196,2,44.978905871124056,44.978905871124056,50261.533164652115,38.16555483463082,WIN,50403.463091933234,-0.28158765008318165
2019-03-15,18.36199951171875,19.137360820770265,2,45.088238608570954,-109.9840232017321,50151.549141450385,38.14177713442622,LOSS,50403.463091933234,-0.49979492485143606
2019-03-22,17.635332107543945,18.085319652557374,2,44.696194231805904,-45.301314770879756,50106.24782667951,39.27503354778125,LOSS,50403.463091933234,-0.5896723102371384
2019-03-28,18.57466697692871,18.138780498504637,2,43.17105922141201,43.17105922141201,50149.41888590092,38.37760958056187,WIN,50403.463091933234,-0.5040213319647264
2019-03-29,18.657333374023438,18.388920307159424,2,43.62139034871944,43.62139034871944,50193.040276249645,38.3001520664412,WIN,50403.463091933234,-0.4174769009418834
2019-04-01,19.278667449951172,18.470760040283203,2,35.86240417639851,35.86240417639851,50228.90268042604,34.0708529252645,WIN,50403.463091933234,-0.34632622601506985
2019-04-02,19.058666229248047,19.08588077545166,2,37.351858334202355,31.908949093479784,50260.81162951952,34.22274874838374,LOSS,50403.463091933234,-0.2830191690470234
2019-04-03,19.45400047302246,18.868079566955565,2,35.43601743436096,35.43601743436096,50296.24764695388,33.44729487981999,WIN,50403.463091933234,-0.21271444143390944
2019-04-04,17.851999282836914,19.259460468292236,2,36.73312419704868,-244.75911289401566,50051.48853405986,33.73394465291577,LOSS,50403.463091933234,-0.6983142353361476
2019-04-11,17.89466667175293,18.219959335327147,2,42.799378697727455,-22.259154017115954,50029.22938004275,38.073078495133785,LOSS,50403.463091933234,-0.7424761890029283
2019-04-17,18.082000732421875,18.04176092147827,2,40.30653197926411,40.30653197926411,50069.53591202202,36.9438078321047,WIN,50403.463091933234,-0.6625084060239117
2019-04-18,18.21733283996582,17.901180725097657,2,39.40725979610481,39.40725979610481,50108.94317181812,36.6227059467611,WIN,50403.463091933234,-0.5843247706569746
2019-04-22,17.516666412353516,18.03515951156616,2,39.7764111614062,-63.922208681122726,50045.020963137,36.6631242559405,LOSS,50403.463091933234,-0.7111458356392157
2019-05-03,17.00200080871582,16.110599269866942,2,39.251252920984534,39.251252920984534,50084.27221605799,38.93080518352101,WIN,50403.463091933234,-0.6332717164553948
