Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-03,20.02400016784668,20.26117401123047,3,92.67169284072236,21.519539825585426,50021.51953982558,44.648149663254074,LOSS,50021.51953982558,0.0
2019-01-04,21.179332733154297,19.623520164489747,3,89.75515595144303,89.75515595144303,50111.27469577702,44.648149663254074,WIN,50111.27469577702,0.0
2019-01-07,22.33066749572754,20.75574607849121,3,94.93379427074734,94.93379427074734,50206.20849004777,44.648149663254074,WIN,50206.20849004777,0.0
2019-01-08,22.356666564941406,21.88405414581299,3,100.09451292340762,100.09451292340762,50306.30300297118,44.648149663254074,WIN,50306.30300297118,0.0
2019-01-09,22.568666458129883,21.909533233642577,3,100.21105060280843,100.21105060280843,50406.51405357399,44.648149663254074,WIN,50406.51405357399,0.0
2019-01-15,22.961999893188477,21.847466392517088,3,99.92716580752526,99.92716580752526,50506.441219381515,44.648149663254074,WIN,50506.441219381515,0.0
2019-01-22,19.92799949645996,19.74765384674072,3,90.32292554200941,90.32292554200941,50596.76414492352,44.648149663254074,WIN,50596.76414492352,0.0
2019-01-23,19.172666549682617,19.52943950653076,3,89.32484456712763,-17.70704248731535,50579.05710243621,44.648149663254074,LOSS,50596.76414492352,-0.03499639312229207
2019-01-24,19.43400001525879,18.789213218688964,3,85.93915610003879,85.93915610003879,50664.996258536245,44.648149663254074,WIN,50664.996258536245,0.0
2019-01-25,19.80266761779785,19.045320014953614,3,87.11055171337804,87.11055171337804,50752.10681024962,44.648149663254074,WIN,50752.10681024962,0.0
2019-01-28,19.7586669921875,19.406614265441895,3,88.76305959805494,88.76305959805494,50840.86986984767,44.648149663254074,WIN,50840.86986984767,0.0
2019-01-29,19.83066749572754,19.36349365234375,3,88.56583212200051,88.56583212200051,50929.435701969676,44.648149663254074,WIN,50929.435701969676,0.0
2019-02-07,20.500667572021484,20.725040702819825,3,90.80087421783517,23.48893497833288,50952.92463694801,43.399437755442236,LOSS,50952.92463694801,0.0
2019-02-08,20.386667251586914,20.090654220581055,3,89.09333554395712,89.09333554395712,51042.017972491965,43.745260184141756,WIN,51042.017972491965,0.0
2019-02-11,20.856000900268555,19.978933906555174,3,87.58884608732073,87.58884608732073,51129.60681857928,43.41787496582169,WIN,51129.60681857928,0.0
2019-02-12,20.78733253479004,20.438880882263184,3,90.78985212620506,90.78985212620506,51220.396670705486,43.79355580234635,WIN,51220.396670705486,0.0
2019-02-13,20.544666290283203,20.371585884094237,3,88.45778495466868,88.45778495466868,51308.854455660156,43.14662488873877,WIN,51308.854455660156,0.0
2019-02-14,20.251333236694336,20.13377296447754,3,85.41107261881118,85.41107261881118,51394.265528278964,42.498190304937,WIN,51394.265528278964,0.0
2019-02-15,20.525333404541016,19.846306571960447,3,84.14765382168288,84.14765382168288,51478.413182100645,42.48384054763444,WIN,51478.413182100645,0.0
2019-02-19,20.375999450683594,20.114826736450194,3,85.81125827627183,85.81125827627183,51564.224440376915,42.653052524632706,WIN,51564.224440376915,0.0
2019-02-20,20.17066764831543,19.968479461669922,3,46.46540346255838,46.46540346255838,51610.68984383947,30.083419886684943,WIN,51610.68984383947,0.0
2019-02-21,19.415332794189453,19.767254295349122,3,45.92329645745606,-59.65315389044471,51551.036689949025,30.059196840823155,LOSS,51610.68984383947,-0.11558294235349396
2019-02-22,19.6473331451416,19.027026138305665,3,44.09011836641976,44.09011836641976,51595.12680831544,30.02053682384716,WIN,51610.68984383947,-0.030154674489176442
2019-02-25,19.917999267578125,19.25438648223877,3,44.48412076103518,44.48412076103518,51639.61092907648,29.975813760017576,WIN,51639.61092907648,0.0
