Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-03,20.02400016784668,20.778040695190427,4,226.69272039824043,-74.92349053925844,49925.07650946074,44.648149663254074,LOSS,49925.07650946074,0.0
2019-01-04,21.179332733154297,20.12412016868591,4,219.55831223857788,219.55831223857788,50144.63482169932,44.648149663254074,WIN,50144.63482169932,0.0
2019-01-07,22.33066749572754,21.285229396820068,4,232.22625400780294,232.22625400780294,50376.86107570712,44.648149663254074,WIN,50376.86107570712,0.0
2019-01-08,22.356666564941406,22.442320833206175,4,244.85036083826947,210.58865353236206,50587.44972923948,44.648149663254074,LOSS,50587.44972923948,0.0
2019-01-09,22.568666458129883,22.46844989776611,4,245.13543433549833,245.13543433549833,50832.58516357498,44.648149663254074,WIN,50832.58516357498,0.0
2019-01-10,22.99799919128418,22.68150979042053,4,247.4599618201704,247.4599618201704,51080.04512539515,44.648149663254074,WIN,51080.04512539515,0.0
2019-01-11,23.150667190551758,23.112989187240597,4,252.16749125934203,252.16749125934203,51332.21261665449,44.648149663254074,WIN,51332.21261665449,0.0
2019-01-14,22.293333053588867,23.266420526504515,4,253.8414588967308,-135.3935302695282,51196.81908638496,44.648149663254074,LOSS,51332.21261665449,-0.2637593888279111
2019-01-15,22.961999893188477,22.404799718856808,4,244.4409977222266,244.4409977222266,51441.26008410718,44.648149663254074,WIN,51441.26008410718,0.0
2019-01-16,23.06999969482422,23.076809892654417,4,251.77276767437397,249.04868854229468,51690.30877264948,44.648149663254074,LOSS,51690.30877264948,0.0
2019-01-17,23.15399932861328,23.18534969329834,4,252.95695934289603,240.41681346887322,51930.72558611835,44.648149663254074,LOSS,51930.72558611835,0.0
2019-01-18,20.150667190551758,23.269769325256345,4,253.87799498356625,-993.7628588982685,50936.96272722008,44.648149663254074,LOSS,51930.72558611835,-1.9136317617020036
2019-01-22,19.92799949645996,20.251420526504514,4,220.94718546512135,91.57877344730005,51028.54150066738,44.648149663254074,LOSS,51930.72558611835,-1.7372838050468826
2019-01-23,19.172666549682617,20.02763949394226,4,218.50568812717492,-123.48348957668227,50905.058011090696,44.648149663254074,LOSS,51930.72558611835,-1.9750688315085425
2019-01-24,19.43400001525879,19.26852988243103,4,210.22364529944215,210.22364529944215,51115.281656390136,44.648149663254074,WIN,51930.72558611835,-1.5702532951825194
2019-01-25,19.80266761779785,19.531170015335082,4,213.08910345727327,213.08910345727327,51328.37075984741,44.648149663254074,WIN,51930.72558611835,-1.1599199115214378
2019-01-28,19.7586669921875,19.90168095588684,4,217.1314544317048,159.92586895196928,51488.29662879938,44.648149663254074,LOSS,51930.72558611835,-0.8519598991261553
2019-01-29,19.83066749572754,19.857460327148434,4,216.64899822837472,205.93186566001665,51694.22849445939,44.648149663254074,LOSS,51930.72558611835,-0.455408795062508
2019-01-30,20.584667205810547,19.929820833206175,4,217.43846631192864,217.43846631192864,51911.66696077132,44.648149663254074,WIN,51930.72558611835,-0.03670009446609099
2019-01-31,20.468000411987305,20.687590541839597,4,225.70589052220313,137.86983858128607,52049.53679935261,44.648149663254074,LOSS,52049.53679935261,0.0
2019-02-01,20.81399917602539,20.57034041404724,4,237.75796415932433,237.75796415932433,52287.294763511934,46.80220081707583,WIN,52287.294763511934,0.0
