Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-09,22.568666458129883,22.356666564941406,22,2464.8659336900596,2464.8659336900596,52464.86593369006,44.648149663254074,WIN,52464.86593369006,0.0
2019-01-16,23.06999969482422,22.961999893188477,22,2531.6051094517634,2531.6051094517634,54996.47104314182,44.648149663254074,WIN,54996.47104314182,0.0
2019-01-24,19.43400001525879,19.172666549682617,28,2690.3211295611336,2690.3211295611336,57686.79217270295,44.648149663254074,WIN,57686.79217270295,0.0
2019-01-31,20.468000411987305,20.584667205810547,28,2888.4539865787733,2561.786963873695,60248.57913657665,44.648149663254074,LOSS,60248.57913657665,0.0
2019-02-07,20.500667572021484,21.148000717163086,28,2842.5169803448243,1029.98417394834,61278.56331052499,43.399437755442236,LOSS,61278.56331052499,0.0
2019-02-14,20.251333236694336,20.544666290283203,29,2769.2819838990745,1918.6161284913596,63197.17943901635,42.498190304937,LOSS,63197.17943901635,0.0
2019-02-22,19.6473331451416,19.415332794189453,32,1577.4160288532244,1577.4160288532244,64774.59546786957,30.02053682384716,WIN,64774.59546786957,0.0
2019-03-01,19.652666091918945,21.325332641601562,30,1820.7040598537124,-3197.295589194139,61577.29987867543,31.83667442306774,LOSS,64774.59546786957,-4.936033279868351
2019-03-08,18.94266700744629,18.439332962036133,33,2271.457106852662,2271.457106852662,63848.756985528096,37.08408530286218,WIN,64774.59546786957,-1.4293234495006955
2019-03-15,18.36199951171875,19.33066749572754,33,2495.304071233755,-701.3002759952487,63147.456709532846,38.14177713442622,LOSS,64774.59546786957,-2.5120014205937293
2019-03-22,17.635332107543945,18.26799964904785,34,2548.565080265225,397.49543915194363,63544.95214868479,39.27503354778125,LOSS,64774.59546786957,-1.8983419507339543
2019-03-29,18.657333374023438,18.57466697692871,34,2487.280049366143,2487.280049366143,66032.23219805093,38.3001520664412,WIN,66032.23219805093,0.0
2019-04-05,18.33066749572754,17.851999282836914,36,2618.147937507516,2618.147937507516,68650.38013555844,39.10120979985763,WIN,68650.38013555844,0.0
2019-04-12,17.84666633605957,17.89466667175293,38,2700.243609845361,2517.8423342105953,71168.22246976904,38.492528340958415,LOSS,71168.22246976904,0.0
2019-04-22,17.516666412353516,18.21733283996582,39,2601.5757082931536,-131.02335939483464,71037.1991103742,36.6631242559405,LOSS,71168.22246976904,-0.1841037401917581
2019-04-29,16.097999572753906,15.675999641418457,45,2745.9542992433835,2745.9542992433835,73783.15340961759,38.02923802369219,WIN,73783.15340961759,0.0
2019-05-06,17.022666931152344,17.00200080871582,43,2646.729710057801,2646.729710057801,76429.88311967539,36.41781320419529,WIN,76429.88311967539,0.0
2019-05-13,15.133999824523926,15.968000411987305,47,2633.3642003704176,-1286.4385607074632,75143.44455896792,35.75852810060809,LOSS,76429.88311967539,-1.6831617532282956
2019-05-20,13.690667152404785,14.0686674118042,53,3158.422002157506,1155.0206273406116,76298.46518630853,40.05966990805739,LOSS,76429.88311967539,-0.1719457468763642
2019-05-28,12.579999923706055,12.708666801452637,60,3229.0817941502237,2457.0805276707315,78755.54571397926,40.053120334861546,LOSS,78755.54571397926,0.0
2019-06-04,12.90666675567627,11.9313325881958,66,2593.2284690329243,2593.2284690329243,81348.77418301218,34.48237576222692,WIN,81348.77418301218,0.0
2019-06-11,14.473333358764648,14.192000389099121,57,4045.7116823303563,4045.7116823303563,85394.48586534253,44.587650611006964,WIN,85394.48586534253,0.0
2019-06-18,14.982666969299316,15.001999855041504,56,3820.5641433084866,3712.2999831522366,89106.78584849476,41.904463341393004,LOSS,89106.78584849476,0.0
2019-06-25,14.650667190551758,14.909333229064941,59,3493.702208045268,1967.5725808174848,91074.35842931225,38.4968515672917,LOSS,91074.35842931225,0.0
2019-07-02,14.970000267028809,15.14466667175293,60,3342.2298443132736,2294.231415968547,93368.5898452808,36.760023777097885,LOSS,93368.5898452808,0.0
2019-07-10,15.928000450134277,15.337332725524902,60,2616.4814789885327,2616.4814789885327,95985.07132426933,31.82095300588288,WIN,95985.07132426933,0.0
2019-07-17,16.99066734313965,16.825332641601562,57,2498.283195113699,2498.283195113699,98483.35451938304,30.411225460682118,WIN,98483.35451938304,0.0
2019-07-24,17.658666610717773,17.344667434692383,56,2390.484590069018,2390.484590069018,100873.83910945205,29.560153933239828,WIN,100873.83910945205,0.0
