Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-09,22.568666458129883,21.685966567993162,5,373.46453540758483,373.46453540758483,50373.464535407584,44.648149663254074,WIN,50373.464535407584,0.0
2019-01-16,23.06999969482422,22.27313989639282,5,383.57653173511574,383.57653173511574,50757.0410671427,44.648149663254074,WIN,50757.0410671427,0.0
2019-01-24,19.43400001525879,18.597486553192137,5,320.276324947754,320.276324947754,51077.31739209046,44.648149663254074,WIN,51077.31739209046,0.0
2019-01-31,20.468000411987305,19.96712718963623,5,343.8635698308064,343.8635698308064,51421.180961921265,44.648149663254074,WIN,51421.180961921265,0.0
2019-02-07,20.500667572021484,20.51356069564819,5,338.3948786124791,331.9483167991255,51753.12927872039,43.399437755442236,LOSS,51753.12927872039,0.0
2019-02-14,20.251333236694336,19.928326301574707,5,318.3082740113879,318.3082740113879,52071.43755273178,42.498190304937,WIN,52071.43755273178,0.0
2019-02-22,19.6473331451416,18.832872810363767,5,164.31416967221088,164.31416967221088,52235.75172240399,30.02053682384716,WIN,52235.75172240399,0.0
2019-03-01,19.652666091918945,20.685572662353515,5,202.3004510948569,-314.1528341224278,51921.598888281565,31.83667442306774,LOSS,52235.75172240399,-0.6014134453198365
2019-03-08,18.94266700744629,17.886152973175047,5,229.4401118032992,229.4401118032992,52151.039000084864,37.08408530286218,WIN,52235.75172240399,-0.16217383597601018
2019-03-15,18.36199951171875,18.750747470855714,5,252.05091628623794,57.67693671775592,52208.71593680262,38.14177713442622,LOSS,52235.75172240399,-0.051757244243460926
2019-03-22,17.635332107543945,17.719959659576414,5,249.85932159462993,207.5455455783955,52416.261482381015,39.27503354778125,LOSS,52416.261482381015,0.0
2019-03-29,18.657333374023438,18.01742696762085,5,243.8509852319748,243.8509852319748,52660.11246761299,38.3001520664412,WIN,52660.11246761299,0.0
2019-04-05,18.33066749572754,17.316439304351807,5,242.42110532477,242.42110532477,52902.53357293776,39.10120979985763,WIN,52902.53357293776,0.0
2019-04-12,17.84666633605957,17.357826671600343,5,236.86347454783868,236.86347454783868,53139.3970474856,38.492528340958415,WIN,53139.3970474856,0.0
2019-04-22,17.516666412353516,17.670812854766844,5,222.35689814471402,145.28367693804998,53284.680724423655,36.6631242559405,LOSS,53284.680724423655,0.0
2019-04-29,16.097999572753906,15.205719652175903,5,203.40402216617656,203.40402216617656,53488.08474658983,38.02923802369219,WIN,53488.08474658983,0.0
2019-05-06,17.022666931152344,16.491940784454346,5,205.17284574091485,205.17284574091485,53693.257592330745,36.41781320419529,WIN,53693.257592330745,0.0
2019-05-13,15.133999824523926,15.488960399627684,5,186.76341846598712,9.28313091410783,53702.540723244856,35.75852810060809,LOSS,53702.540723244856,0.0
2019-05-20,13.690667152404785,13.646607389450073,5,198.64289321745326,198.64289321745326,53901.18361646231,40.05966990805739,WIN,53901.18361646231,0.0
2019-05-28,12.579999923706055,12.327406797409058,5,179.3934330083458,179.3934330083458,54080.57704947065,40.053120334861546,WIN,54080.57704947065,0.0
2019-06-04,12.90666675567627,11.573392610549927,5,130.97113479964264,130.97113479964264,54211.548184270294,34.48237576222692,WIN,54211.548184270294,0.0
2019-06-11,14.473333358764648,13.766240377426147,5,236.59132645206765,236.59132645206765,54448.13951072236,44.587650611006964,WIN,54448.13951072236,0.0
2019-06-18,14.982666969299316,14.551939859390258,5,227.4145323397909,227.4145323397909,54675.55404306215,41.904463341393004,WIN,54675.55404306215,0.0
2019-06-25,14.650667190551758,14.462053232192993,5,197.38430553928066,197.38430553928066,54872.93834860143,38.4968515672917,WIN,54872.93834860143,0.0
2019-07-02,14.970000267028809,14.690326671600342,5,185.67943579518186,185.67943579518186,55058.61778439661,36.760023777097885,WIN,55058.61778439661,0.0
2019-07-10,15.928000450134277,14.877212743759156,5,145.3600821660296,145.3600821660296,55203.977866562636,31.82095300588288,WIN,55203.977866562636,0.0
2019-07-17,16.99066734313965,16.320572662353516,5,146.09843246278942,146.09843246278942,55350.07629902542,30.411225460682118,WIN,55350.07629902542,0.0
2019-07-24,17.658666610717773,16.824327411651613,5,142.29074940887014,142.29074940887014,55492.367048434295,29.560153933239828,WIN,55492.367048434295,0.0
2019-07-31,16.107332229614258,15.666147174835205,5,273.3274489531914,273.3274489531914,55765.694497387485,45.036412288852176,WIN,55765.694497387485,0.0
2019-08-07,15.561332702636719,14.921833209991455,5,258.6848611675715,258.6848611675715,56024.37935855506,44.84529276268118,WIN,56024.37935855506,0.0
2019-08-14,14.641332626342773,15.196666975021362,5,256.1096473229167,-21.55752701637749,56002.821831538684,44.01379932842079,LOSS,56024.37935855506,-0.03847883236404564
2019-08-21,14.722000122070312,14.6056130027771,5,267.2207220319608,267.2207220319608,56270.042553570645,46.49759214371561,WIN,56270.042553570645,0.0
2019-08-28,14.37266731262207,13.84384030342102,5,163.18962804813827,163.18962804813827,56433.23218161878,35.293781631456085,WIN,56433.23218161878,0.0
2019-09-05,15.305333137512207,14.270639896392822,5,170.49138984487396,170.49138984487396,56603.723571463655,35.56771353949246,WIN,56603.723571463655,0.0
2019-09-12,16.391332626342773,15.97913335800171,5,209.13889896722142,209.13889896722142,56812.862470430875,37.53245991737419,WIN,56812.862470430875,0.0
2019-09-19,16.440000534057617,15.745687885284424,5,161.2403923689323,161.2403923689323,56974.10286279981,32.62946848982564,WIN,56974.10286279981,0.0
2019-09-26,16.17066764831543,14.789266901016235,5,179.64462202881907,179.64462202881907,57153.74748482863,35.911952551764664,WIN,57153.74748482863,0.0
2019-10-03,15.535332679748535,15.722407722473145,5,206.08325912751465,112.5457377652098,57266.29322259384,37.565796672103225,LOSS,57266.29322259384,0.0
2019-10-10,16.31599998474121,15.812940044403076,5,198.71113123805083,198.71113123805083,57465.00435383189,36.633987907493605,WIN,57465.00435383189,0.0
2019-10-17,17.46466636657715,16.797167530059813,5,219.0521414933352,219.0521414933352,57684.056495325225,37.45114323790254,WIN,57684.056495325225,0.0
2019-10-24,19.978666305541992,16.469306316375732,5,161.47679864313756,161.47679864313756,57845.533293968365,31.87958771379749,WIN,57845.533293968365,0.0
2019-10-31,20.994667053222656,20.37064754486084,5,445.6016685254384,445.6016685254384,58291.1349624938,52.65901745891566,WIN,58291.1349624938,0.0
