Date,NVDA_Price,Strike,Contracts,Allocation,Premium,Hedge_Cost,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-07,3.6899993419647217,3.163455935133436,1,10%,40,0,40.0,50040.0,33.208531116776825,OTM,50040.0,0.0
2019-01-14,3.8908252716064453,3.457061773248533,1,10%,40,0,40.0,50080.0,33.208531116776825,OTM,50080.0,0.0
2019-01-21,3.970658540725708,3.6452102199287006,1,10%,40,0,40.0,50120.0,33.208531116776825,OTM,50120.0,0.0
2019-01-28,3.588346004486084,3.7200038763304706,1,10%,40,30,-3.16578718443866,50116.834212815564,33.208531116776825,ASSIGNED,50120.0,-0.00631641497293763
2019-02-04,3.673635482788086,3.3618254779126597,1,10%,40,0,40.0,50156.834212815564,33.208531116776825,OTM,50156.834212815564,0.0
2019-02-11,3.9009902477264404,3.4417309108879324,1,10%,40,0,40.0,50196.834212815564,33.208531116776825,OTM,50196.834212815564,0.0
2019-02-18,3.9468576908111572,3.654733514410295,1,10%,40,0,40.0,50236.834212815564,33.208531116776825,OTM,50236.834212815564,0.0
2019-02-25,3.8829216957092285,3.6977054960910287,1,10%,40,30,10.0,50246.834212815564,33.208531116776825,OTM,50246.834212815564,0.0
2019-03-04,3.7387237548828125,3.6378055708829673,1,10%,40,0,40.0,50286.834212815564,33.208531116776825,OTM,50286.834212815564,0.0
2019-03-11,4.214503288269043,3.502710373617503,1,10%,40,0,40.0,50326.834212815564,33.208531116776825,OTM,50326.834212815564,0.0
2019-03-18,4.405361652374268,3.9484555038829727,1,10%,40,0,40.0,50366.834212815564,33.208531116776825,OTM,50366.834212815564,0.0
2019-03-25,4.456488609313965,4.127265604781693,1,10%,40,30,10.0,50376.834212815564,33.208531116776825,OTM,50376.834212815564,0.0
2019-04-01,4.739175319671631,4.193395806979914,1,10%,40,0,40.0,50416.834212815564,32.02855628601212,OTM,50416.834212815564,0.0
2019-04-08,4.715845584869385,4.471304854838463,1,10%,40,0,40.0,50456.834212815564,31.30360779656122,OTM,50456.834212815564,0.0
2019-04-15,4.623766899108887,4.45141654674039,1,10%,40,0,40.0,50496.834212815564,31.17376885714325,OTM,50496.834212815564,0.0
