Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-07,82.77662658691406,75.08055267333985,1,123.53613435680064,123.53613435680064,50123.5361343568,25.693169925654338,OTM_WIN,50123.5361343568,0.0
2019-01-14,86.65404510498047,74.49896392822266,1,122.57919913457616,122.57919913457616,50246.115333491376,25.693169925654338,OTM_WIN,50246.115333491376,0.0
2019-01-21,85.65984344482422,77.98864059448242,1,128.32104772458973,128.32104772458973,50374.436381215965,25.693169925654338,OTM_WIN,50374.436381215965,0.0
2019-01-28,86.06581115722656,77.0938591003418,1,126.84879102236404,126.84879102236404,50501.28517223833,25.693169925654338,OTM_WIN,50501.28517223833,0.0
2019-02-04,83.97795867919922,77.45923004150391,1,127.44996552188927,127.44996552188927,50628.73513776022,25.693169925654338,OTM_WIN,50628.73513776022,0.0
2019-02-11,87.44942474365234,75.5801628112793,1,124.35818351505657,124.35818351505657,50753.09332127527,25.693169925654338,OTM_WIN,50753.09332127527,0.0
2019-02-18,86.99373626708984,78.70448226928711,1,129.49888020141796,129.49888020141796,50882.59220147669,25.693169925654338,OTM_WIN,50882.59220147669,0.0
2019-02-25,86.5215072631836,78.29436264038087,1,128.82407704967028,128.82407704967028,51011.41627852636,25.693169925654338,OTM_WIN,51011.41627852636,0.0
2019-03-04,85.34501647949219,77.86935653686524,1,128.12477997157342,128.12477997157342,51139.54105849793,25.693169925654338,OTM_WIN,51139.54105849793,0.0
2019-03-11,88.2779312133789,76.81051483154297,1,126.38258167236293,126.38258167236293,51265.923640170295,25.693169925654338,OTM_WIN,51265.923640170295,0.0
2019-03-18,82.65235137939453,79.45013809204102,1,130.7257683185637,130.7257683185637,51396.64940848886,25.693169925654338,OTM_WIN,51396.64940848886,0.0
2019-03-25,83.8702621459961,74.38711624145508,1,122.39516704679794,122.39516704679794,51519.04457553566,25.693169925654338,OTM_WIN,51519.04457553566,0.0
2019-04-01,87.918212890625,75.4832359313965,1,102.99751533568806,102.99751533568806,51622.04209087135,23.86780551695457,OTM_WIN,51622.04209087135,0.0
2019-04-08,92.84385681152344,79.1263916015625,1,117.46464808799936,117.46464808799936,51739.506738959346,24.64774336572674,OTM_WIN,51739.506738959346,0.0
2019-04-15,94.72225189208984,83.5594711303711,1,128.18848201944323,128.18848201944323,51867.69522097879,24.969956050263328,OTM_WIN,51867.69522097879,0.0
2019-04-22,95.5654525756836,85.25002670288086,1,129.75051977717615,129.75051977717615,51997.44574075597,24.891325740542946,OTM_WIN,51997.44574075597,0.0
2019-04-29,96.94297790527344,86.00890731811523,1,130.80821829638495,130.80821829638495,52128.25395905235,24.883972346427583,OTM_WIN,52128.25395905235,0.0
2019-05-06,93.92914581298828,87.2486801147461,1,126.2448873537978,126.2448873537978,52254.498846406146,24.403615325139715,OTM_WIN,52254.498846406146,0.0
2019-05-13,92.47650146484375,84.53623123168946,1,125.59808868087075,125.59808868087075,52380.096935087015,24.655617869242036,OTM_WIN,52380.096935087015,0.0
2019-05-20,91.59156036376953,83.22885131835938,1,125.33156271773349,125.33156271773349,52505.42849780475,24.78647916109648,OTM_WIN,52505.42849780475,0.0
2019-05-27,88.46087646484375,82.43240432739258,1,124.65731611656423,124.65731611656423,52630.085813921316,24.827877322332128,OTM_WIN,52630.085813921316,0.0
2019-06-03,91.13239288330078,79.61478881835937,1,125.77270005045469,125.77270005045469,52755.85851397177,25.266739873535077,OTM_WIN,52755.85851397177,0.0
2019-06-10,91.68339538574219,82.0191535949707,1,128.44766085238288,128.44766085238288,52884.30617482415,25.17772795429528,OTM_WIN,52884.30617482415,0.0
2019-06-17,91.36616516113281,82.51505584716797,1,103.6719696379125,103.6719696379125,52987.97814446207,23.165223435358904,OTM_WIN,52987.97814446207,0.0
2019-06-24,93.33641815185547,82.22954864501953,1,103.87625524659497,103.87625524659497,53091.85439970866,23.209719144091515,OTM_WIN,53091.85439970866,0.0
2019-07-01,95.4180679321289,84.00277633666992,1,96.63044341796561,96.63044341796561,53188.48484312663,22.475844410449056,OTM_WIN,53188.48484312663,0.0
2019-07-08,96.93988037109375,85.87626113891602,1,81.34610922809037,81.34610922809037,53269.83095235472,21.156070421382058,OTM_WIN,53269.83095235472,0.0
2019-07-15,95.46012115478516,87.24589233398437,1,81.52131414513303,81.52131414513303,53351.35226649985,21.072480163073724,OTM_WIN,53351.35226649985,0.0
2019-07-22,97.7133560180664,85.91410903930664,1,81.97365260400305,81.97365260400305,53433.32591910385,21.200828470786476,OTM_WIN,53433.32591910385,0.0
2019-07-29,94.94725036621094,87.94202041625977,1,86.67005212599761,86.67005212599761,53519.99597122985,21.404902756215115,OTM_WIN,53519.99597122985,0.0
2019-08-05,92.26521301269531,85.45252532958985,1,82.8805552943982,82.8805552943982,53602.87652652425,21.303295567949945,OTM_WIN,53602.87652652425,0.0
2019-08-12,90.56687927246094,83.03869171142578,1,84.82362734950476,84.82362734950476,53687.70015387375,21.63859636697449,OTM_WIN,53687.70015387375,0.0
2019-08-19,89.13758850097656,81.51019134521485,1,84.9714698701101,84.9714698701101,53772.67162374387,21.774872711080874,OTM_WIN,53772.67162374387,0.0
2019-08-26,92.36611938476562,80.22382965087891,1,77.01316807336767,77.01316807336767,53849.684791817235,21.23880656963049,OTM_WIN,53849.684791817235,0.0
2019-09-02,94.67820739746094,83.12950744628907,1,82.74569897337781,82.74569897337781,53932.43049079061,21.468895616243614,OTM_WIN,53932.43049079061,0.0
2019-09-09,101.0848388671875,85.21038665771485,1,88.63040123036184,88.63040123036184,54021.06089202097,21.759741697117747,OTM_WIN,54021.06089202097,0.0
2019-09-16,99.96658325195312,90.97635498046876,1,120.33326704439382,120.33326704439382,54141.39415906536,23.596013661102248,OTM_WIN,54141.39415906536,0.0
2019-09-23,98.97450256347656,89.96992492675781,1,119.89313193316684,119.89313193316684,54261.28729099853,23.660378413859693,OTM_WIN,54261.28729099853,0.0
2019-09-30,97.14010620117188,89.07705230712891,1,118.1657792837349,118.1657792837349,54379.45307028227,23.621162038606336,OTM_WIN,54379.45307028227,0.0
2019-10-07,98.42830657958984,87.4260955810547,1,117.31588817269154,117.31588817269154,54496.76895845496,23.72078683827032,OTM_WIN,54496.76895845496,0.0
2019-10-14,102.17424774169922,88.58547592163086,1,117.9327633546379,117.9327633546379,54614.70172180959,23.651907622906396,OTM_WIN,54614.70172180959,0.0
2019-10-21,106.81005096435547,91.9568229675293,1,127.20291852629089,127.20291852629089,54741.90464033588,23.989862290782227,OTM_WIN,54741.90464033588,0.0
2019-10-28,108.31011962890625,96.12904586791993,1,134.15852748072786,134.15852748072786,54876.06316781661,24.069922429118648,OTM_WIN,54876.06316781661,0.0
2019-11-04,110.49667358398438,97.47910766601562,1,125.49370073165407,125.49370073165407,55001.556868548265,23.36662498722518,OTM_WIN,55001.556868548265,0.0
2019-11-11,109.77631378173828,99.44700622558594,1,120.00974534732956,120.00974534732956,55121.56661389559,22.842684102502652,OTM_WIN,55121.56661389559,0.0
2019-11-18,110.8441390991211,98.79868240356446,1,115.28073328474872,115.28073328474872,55236.847347180345,22.583077580485927,OTM_WIN,55236.847347180345,0.0
2019-11-25,111.66622924804688,99.759725189209,1,113.8343774283397,113.8343774283397,55350.68172460869,22.415801803610027,OTM_WIN,55350.68172460869,0.0
