Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-07,38.439823150634766,,0,0.0,0.0,50000.0,22.477199500080694,SKIPPED_LOW_VOL,50000.0,0.0
2019-01-14,38.6590576171875,,0,0.0,0.0,50000.0,22.477199500080694,SKIPPED_LOW_VOL,50000.0,0.0
2019-01-21,38.464176177978516,,0,0.0,0.0,50000.0,22.477199500080694,SKIPPED_LOW_VOL,50000.0,0.0
2019-01-28,39.54413604736328,,0,0.0,0.0,50000.0,22.477199500080694,SKIPPED_LOW_VOL,50000.0,0.0
2019-02-04,40.1937141418457,,0,0.0,0.0,50000.0,22.477199500080694,SKIPPED_LOW_VOL,50000.0,0.0
2019-02-11,36.7346305847168,,0,0.0,0.0,50000.0,22.477199500080694,SKIPPED_LOW_VOL,50000.0,0.0
2019-02-18,36.76709747314453,,0,0.0,0.0,50000.0,22.477199500080694,SKIPPED_LOW_VOL,50000.0,0.0
2019-02-25,36.848304748535156,,0,0.0,0.0,50000.0,22.477199500080694,SKIPPED_LOW_VOL,50000.0,0.0
2019-03-04,36.409828186035156,,0,0.0,0.0,50000.0,22.477199500080694,SKIPPED_LOW_VOL,50000.0,0.0
2019-03-11,37.10444641113281,,0,0.0,0.0,50000.0,22.477199500080694,SKIPPED_LOW_VOL,50000.0,0.0
2019-03-18,37.62047576904297,,0,0.0,0.0,50000.0,22.477199500080694,SKIPPED_LOW_VOL,50000.0,0.0
2019-03-25,38.38222122192383,,0,0.0,0.0,50000.0,22.477199500080694,SKIPPED_LOW_VOL,50000.0,0.0
2019-04-01,38.06278610229492,,0,0.0,0.0,50000.0,23.547936709489854,SKIPPED_LOW_VOL,50000.0,0.0
2019-04-08,38.283931732177734,,0,0.0,0.0,50000.0,23.56743346187414,SKIPPED_LOW_VOL,50000.0,0.0
2019-04-15,38.890052795410156,,0,0.0,0.0,50000.0,23.568012929641377,SKIPPED_LOW_VOL,50000.0,0.0
2019-04-22,39.5289421081543,,0,0.0,0.0,50000.0,23.65812710342764,SKIPPED_LOW_VOL,50000.0,0.0
2019-04-29,39.90572738647461,,0,0.0,0.0,50000.0,23.437659703488926,SKIPPED_LOW_VOL,50000.0,0.0
2019-05-06,39.47159957885742,,0,0.0,0.0,50000.0,23.357623843232798,SKIPPED_LOW_VOL,50000.0,0.0
2019-05-13,40.29888153076172,,0,0.0,0.0,50000.0,18.374367729488707,SKIPPED_LOW_VOL,50000.0,0.0
2019-05-20,40.634700775146484,,0,0.0,0.0,50000.0,18.55048307144081,SKIPPED_LOW_VOL,50000.0,0.0
2019-05-27,40.24154281616211,,0,0.0,0.0,50000.0,18.51473523319089,SKIPPED_LOW_VOL,50000.0,0.0
2019-06-03,42.174583435058594,,0,0.0,0.0,50000.0,18.421939321436902,SKIPPED_LOW_VOL,50000.0,0.0
2019-06-10,42.355228424072266,,0,0.0,0.0,50000.0,19.710075946674994,SKIPPED_LOW_VOL,50000.0,0.0
