Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-07,233.59768676757812,,0,0.0,0.0,50000.0,21.69112585309857,SKIPPED_LOW_VOL,50000.0,0.0
2019-01-14,240.34461975097656,,0,0.0,0.0,50000.0,21.69112585309857,SKIPPED_LOW_VOL,50000.0,0.0
2019-01-21,239.731201171875,,0,0.0,0.0,50000.0,21.69112585309857,SKIPPED_LOW_VOL,50000.0,0.0
2019-01-28,243.5916748046875,,0,0.0,0.0,50000.0,21.69112585309857,SKIPPED_LOW_VOL,50000.0,0.0
2019-02-04,243.96153259277344,,0,0.0,0.0,50000.0,21.69112585309857,SKIPPED_LOW_VOL,50000.0,0.0
2019-02-11,250.1853485107422,,0,0.0,0.0,50000.0,21.69112585309857,SKIPPED_LOW_VOL,50000.0,0.0
2019-02-18,251.78179931640625,,0,0.0,0.0,50000.0,21.69112585309857,SKIPPED_LOW_VOL,50000.0,0.0
2019-02-25,252.9364776611328,,0,0.0,0.0,50000.0,21.69112585309857,SKIPPED_LOW_VOL,50000.0,0.0
2019-03-04,247.56051635742188,,0,0.0,0.0,50000.0,21.69112585309857,SKIPPED_LOW_VOL,50000.0,0.0
2019-03-11,254.85678100585938,,0,0.0,0.0,50000.0,21.69112585309857,SKIPPED_LOW_VOL,50000.0,0.0
2019-03-18,252.99058532714844,,0,0.0,0.0,50000.0,21.69112585309857,SKIPPED_LOW_VOL,50000.0,0.0
2019-03-25,255.91677856445312,,0,0.0,0.0,50000.0,21.69112585309857,SKIPPED_LOW_VOL,50000.0,0.0
2019-04-01,261.4341735839844,,0,0.0,0.0,50000.0,19.62191002138583,SKIPPED_LOW_VOL,50000.0,0.0
2019-04-08,262.8746337890625,,0,0.0,0.0,50000.0,19.51562130950311,SKIPPED_LOW_VOL,50000.0,0.0
2019-04-15,262.7477722167969,,0,0.0,0.0,50000.0,19.163974426652146,SKIPPED_LOW_VOL,50000.0,0.0
2019-04-22,265.8189697265625,,0,0.0,0.0,50000.0,19.129267185668457,SKIPPED_LOW_VOL,50000.0,0.0
2019-04-29,266.3807067871094,,0,0.0,0.0,50000.0,19.077861878025686,SKIPPED_LOW_VOL,50000.0,0.0
2019-05-06,261.00823974609375,,0,0.0,0.0,50000.0,19.071674308470858,SKIPPED_LOW_VOL,50000.0,0.0
2019-05-13,258.9608154296875,,0,0.0,0.0,50000.0,19.308273324913312,SKIPPED_LOW_VOL,50000.0,0.0
2019-05-20,256.1885681152344,,0,0.0,0.0,50000.0,19.401574316136134,SKIPPED_LOW_VOL,50000.0,0.0
2019-05-27,249.38473510742188,,0,0.0,0.0,50000.0,19.527847982353336,SKIPPED_LOW_VOL,50000.0,0.0
2019-06-03,260.6005859375,,0,0.0,0.0,50000.0,19.743012675541266,SKIPPED_LOW_VOL,50000.0,0.0
2019-06-10,262.0592346191406,,0,0.0,0.0,50000.0,20.55885332228685,SKIPPED_LOW_VOL,50000.0,0.0
2019-06-17,267.6489562988281,,0,0.0,0.0,50000.0,20.49825219058146,SKIPPED_LOW_VOL,50000.0,0.0
2019-06-24,266.73858642578125,,0,0.0,0.0,50000.0,20.669351952637932,SKIPPED_LOW_VOL,50000.0,0.0
2019-07-01,271.7092590332031,,0,0.0,0.0,50000.0,20.458943693971303,SKIPPED_LOW_VOL,50000.0,0.0
2019-07-08,273.70294189453125,,0,0.0,0.0,50000.0,20.63236621134548,SKIPPED_LOW_VOL,50000.0,0.0
2019-07-15,270.53497314453125,,0,0.0,0.0,50000.0,20.63415224342914,SKIPPED_LOW_VOL,50000.0,0.0
2019-07-22,274.9409484863281,,0,0.0,0.0,50000.0,20.713442524526222,SKIPPED_LOW_VOL,50000.0,0.0
2019-07-29,266.3926086425781,,0,0.0,0.0,50000.0,20.84265404775077,SKIPPED_LOW_VOL,50000.0,0.0
2019-08-05,265.48223876953125,,0,0.0,0.0,50000.0,21.226022088673997,SKIPPED_LOW_VOL,50000.0,0.0
2019-08-12,262.96051025390625,,0,0.0,0.0,50000.0,21.184306659509275,SKIPPED_LOW_VOL,50000.0,0.0
2019-08-19,259.31903076171875,,0,0.0,0.0,50000.0,21.165926374477667,SKIPPED_LOW_VOL,50000.0,0.0
2019-08-26,266.2379455566406,,0,0.0,0.0,50000.0,20.7943031538304,SKIPPED_LOW_VOL,50000.0,0.0
2019-09-02,271.3359680175781,,0,0.0,0.0,50000.0,19.939813114118717,SKIPPED_LOW_VOL,50000.0,0.0
2019-09-09,274.1034851074219,,0,0.0,0.0,50000.0,20.140896916959264,SKIPPED_LOW_VOL,50000.0,0.0
2019-09-16,272.7993469238281,,0,0.0,0.0,50000.0,19.92033804671319,SKIPPED_LOW_VOL,50000.0,0.0
2019-09-23,270.1653137207031,,0,0.0,0.0,50000.0,19.93313376231751,SKIPPED_LOW_VOL,50000.0,0.0
2019-09-30,269.2050476074219,,0,0.0,0.0,50000.0,19.771729949140635,SKIPPED_LOW_VOL,50000.0,0.0
2019-10-07,270.9701843261719,,0,0.0,0.0,50000.0,19.72497846804614,SKIPPED_LOW_VOL,50000.0,0.0
2019-10-14,272.5157775878906,,0,0.0,0.0,50000.0,19.666351594022093,SKIPPED_LOW_VOL,50000.0,0.0
2019-10-21,275.83575439453125,,0,0.0,0.0,50000.0,19.470439902471426,SKIPPED_LOW_VOL,50000.0,0.0
2019-10-28,279.9879150390625,,0,0.0,0.0,50000.0,18.609209062176316,SKIPPED_LOW_VOL,50000.0,0.0
2019-11-04,282.5486755371094,,0,0.0,0.0,50000.0,18.68845659438115,SKIPPED_LOW_VOL,50000.0,0.0
2019-11-11,285.15521240234375,,0,0.0,0.0,50000.0,18.47299767905376,SKIPPED_LOW_VOL,50000.0,0.0
2019-11-18,284.3961486816406,,0,0.0,0.0,50000.0,17.966529228730828,SKIPPED_LOW_VOL,50000.0,0.0
2019-11-25,287.4599304199219,,0,0.0,0.0,50000.0,17.544639880914538,SKIPPED_LOW_VOL,50000.0,0.0
2019-12-02,287.97216796875,,0,0.0,0.0,50000.0,17.288781808417532,SKIPPED_LOW_VOL,50000.0,0.0
2019-12-09,290.21282958984375,,0,0.0,0.0,50000.0,17.24693342559906,SKIPPED_LOW_VOL,50000.0,0.0
2019-12-16,294.77374267578125,,0,0.0,0.0,50000.0,17.109329290797177,SKIPPED_LOW_VOL,50000.0,0.0
2019-12-23,296.7312927246094,,0,0.0,0.0,50000.0,16.792464058059206,SKIPPED_LOW_VOL,50000.0,0.0
2019-12-30,296.3177490234375,,0,0.0,0.0,50000.0,16.50274798924092,SKIPPED_LOW_VOL,50000.0,0.0
2020-01-06,299.35064697265625,,0,0.0,0.0,50000.0,16.69973561145559,SKIPPED_LOW_VOL,50000.0,0.0
2020-01-13,305.0856628417969,,0,0.0,0.0,50000.0,16.705476342417192,SKIPPED_LOW_VOL,50000.0,0.0
2020-01-20,302.1630554199219,,0,0.0,0.0,50000.0,16.92373165683088,SKIPPED_LOW_VOL,50000.0,0.0
2020-01-27,295.6927490234375,,0,0.0,0.0,50000.0,17.334288034652516,SKIPPED_LOW_VOL,50000.0,0.0
2020-02-03,305.3155517578125,,0,0.0,0.0,50000.0,18.26422334051413,SKIPPED_LOW_VOL,50000.0,0.0
2020-02-10,310.2784423828125,,0,0.0,0.0,50000.0,19.039707601561307,SKIPPED_LOW_VOL,50000.0,0.0
2020-02-17,306.49188232421875,,0,0.0,0.0,50000.0,19.047136218727257,SKIPPED_LOW_VOL,50000.0,0.0
2020-02-24,272.2839660644531,,0,0.0,0.0,50000.0,19.342637605509584,SKIPPED_LOW_VOL,50000.0,0.0
2020-03-02,273.38690185546875,,0,0.0,0.0,50000.0,25.69188761930916,SKIPPED_LOW_VOL,50000.0,0.0
2020-03-09,247.52426147460938,,0,0.0,0.0,50000.0,25.66530709553316,SKIPPED_LOW_VOL,50000.0,0.0
2020-03-16,211.52003479003906,,0,0.0,0.0,50000.0,27.834458846204278,SKIPPED_LOW_VOL,50000.0,0.0
2020-03-23,234.28062438964844,200.9440330505371,1,489.09698679115985,489.09698679115985,50489.09698679116,31.697093926934024,OTM_WIN,50489.09698679116,0.0
2020-03-30,229.44561767578125,222.56659317016602,1,650.5192068102892,650.5192068102892,51139.616193601454,35.05031330160855,OTM_WIN,51139.616193601454,0.0
2020-04-06,257.1890869140625,217.97333679199218,1,632.2015203477384,632.2015203477384,51771.81771394919,34.89633940857665,OTM_WIN,51771.81771394919,0.0
2020-04-13,264.99169921875,244.32963256835936,1,817.950889398461,817.950889398461,52589.76860334765,37.965299023757,OTM_WIN,52589.76860334765,0.0
