Period,Ticker,Market_Type,Strategy,Description,Final_Capital,Total_Return_%,Annualized_%,Max_DD_%,Win_Rate_%,Sharpe,Total_Trades,Years,Blown_Up,Stopped_Out,Over_100%,Safe_100%
Full_2019_2024,TSLA,stock,Weekly_All_In_ATM,"Weekly ATM, 100% capital - proven winner",8039149.590481166,15978.299180962333,140.0421419584744,-9.558864418390328,89.419795221843,0.908107516868491,293,5.801505817932923,False,False,True,True
Full_2019_2024,TSLA,stock,Weekly_All_In_95,"Weekly 5% OTM, 100% capital - safer",7177326.857721036,14254.653715442071,135.3958319923837,-7.522895394340982,96.9283276450512,1.2624565711867537,293,5.801505817932923,False,False,True,True
Full_2019_2024,TSLA,stock,Weekly_All_In_97,"Weekly 3% OTM, 100% capital",6173088.876464773,12246.177752929547,129.35882640047507,-9.297148881730651,94.19795221843003,1.0307784664702209,293,5.801505817932923,False,False,True,True
Full_2019_2024,TSLA,stock,Daily_50pct_ATM,Daily ATM with 50% capital - safer compounding,5793422.746452326,11486.845492904653,126.07839807659329,-18.05387712824941,76.29427792915531,0.23816408947946807,1468,5.8261464750171115,False,False,True,True
Full_2019_2024,TSLA,stock,Daily_75pct_ATM,Daily ATM with 75% capital,9000874.199627405,17901.74839925481,143.83851105722326,-26.208045286514263,76.29427792915531,0.2622587074256568,1468,5.8261464750171115,False,False,True,True
Full_2019_2024,TSLA,stock,Daily_50pct_OTM5,Daily 5% OTM with 50% capital,14314714.799666291,28529.429599332583,164.05076095670555,-10.61112384730974,96.04904632152589,0.8901802923426513,1468,5.8261464750171115,False,False,True,True
Full_2019_2024,TSLA,stock,Weekly_All_In_ATM_SL20,"Weekly ATM 100%, stop at -20%",8039149.590481166,15978.299180962333,140.0421419584744,-9.558864418390328,89.419795221843,0.908107516868491,293,5.801505817932923,False,False,True,True
Full_2019_2024,TSLA,stock,Weekly_All_In_ATM_SL30,"Weekly ATM 100%, stop at -30%",8039149.590481166,15978.299180962333,140.0421419584744,-9.558864418390328,89.419795221843,0.908107516868491,293,5.801505817932923,False,False,True,True
Full_2019_2024,TSLA,stock,Weekly_75pct_ATM_SL25,"Weekly ATM 75%, stop at -25%",6966076.45311204,13832.152906224079,134.18677649790456,-7.082586746521168,89.419795221843,0.8727077882089802,293,5.801505817932923,False,False,True,True
Full_2019_2024,TSLA,stock,Daily_Compound_Max5,"Daily compounding, max 5% of capital per trade",231334.20491959396,362.6684098391879,30.07293553141599,-5.330818786505642,76.29427792915531,0.26377430504119986,1468,5.8261464750171115,False,False,False,False
